Sex,Length,Diameter,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
M,0.35,0.265,0.2255,0.0995,0.0485,0.07,negative
I,0.33,0.255,0.205,0.0895,0.0395,0.055,negative
I,0.425,0.3,0.3515,0.141,0.0775,0.12,negative
F,0.53,0.415,0.7775,0.237,0.1415,0.33,negative
M,0.455,0.365,0.514,0.2245,0.101,0.15,negative
F,0.545,0.425,0.768,0.294,0.1495,0.26,negative
M,0.475,0.37,0.5095,0.2165,0.1125,0.165,negative
F,0.55,0.44,0.8945,0.3145,0.151,0.32,positive
F,0.525,0.38,0.6065,0.194,0.1475,0.21,negative
M,0.43,0.35,0.406,0.1675,0.081,0.135,negative
F,0.53,0.42,0.677,0.2565,0.1415,0.21,negative
M,0.44,0.365,0.516,0.2155,0.114,0.155,negative
M,0.49,0.38,0.5415,0.2175,0.095,0.19,negative
F,0.535,0.405,0.6845,0.2725,0.171,0.205,negative
F,0.47,0.355,0.4755,0.1675,0.0805,0.185,negative
M,0.5,0.4,0.6645,0.258,0.133,0.24,negative
I,0.355,0.28,0.2905,0.095,0.0395,0.115,negative
F,0.44,0.34,0.451,0.188,0.087,0.13,negative
M,0.365,0.295,0.2555,0.097,0.043,0.1,negative
M,0.45,0.32,0.381,0.1705,0.075,0.115,negative
M,0.355,0.28,0.2455,0.0955,0.062,0.075,negative
F,0.565,0.44,0.9395,0.4275,0.214,0.27,negative
F,0.56,0.44,0.9285,0.3825,0.188,0.3,negative
F,0.58,0.45,0.9955,0.3945,0.272,0.285,negative
I,0.38,0.275,0.2255,0.08,0.049,0.085,negative
M,0.59,0.445,0.931,0.356,0.234,0.28,negative
F,0.55,0.415,0.7635,0.318,0.21,0.2,negative
F,0.615,0.48,1.1615,0.513,0.301,0.305,negative
M,0.58,0.47,0.9975,0.3935,0.242,0.33,negative
M,0.605,0.475,0.9365,0.394,0.219,0.295,negative
M,0.575,0.425,0.8635,0.393,0.227,0.2,negative
F,0.68,0.56,1.639,0.6055,0.2805,0.46,negative
M,0.665,0.525,1.338,0.5515,0.3575,0.35,negative
F,0.68,0.55,1.798,0.815,0.3925,0.455,positive
M,0.465,0.355,0.4795,0.227,0.124,0.125,negative
F,0.54,0.475,1.217,0.5305,0.3075,0.34,negative
M,0.355,0.29,0.3275,0.134,0.086,0.09,negative
F,0.45,0.355,0.5225,0.237,0.1165,0.145,negative
F,0.575,0.445,0.883,0.381,0.2035,0.26,negative
F,0.45,0.335,0.425,0.1865,0.091,0.115,negative
F,0.55,0.425,0.8515,0.362,0.196,0.27,negative
F,0.705,0.55,1.7095,0.633,0.4115,0.49,negative
I,0.24,0.175,0.07,0.0315,0.0235,0.02,negative
I,0.205,0.15,0.042,0.0255,0.015,0.012,negative
F,0.46,0.375,0.4605,0.1775,0.11,0.15,negative
I,0.325,0.245,0.161,0.0755,0.0255,0.045,negative
F,0.525,0.425,0.8355,0.3545,0.2135,0.245,negative
I,0.52,0.41,0.595,0.2385,0.111,0.19,negative
M,0.4,0.32,0.303,0.1335,0.06,0.1,negative
M,0.485,0.36,0.5415,0.2595,0.096,0.16,negative
F,0.47,0.36,0.4775,0.2105,0.1055,0.15,negative
M,0.405,0.31,0.385,0.173,0.0915,0.11,negative
I,0.21,0.15,0.042,0.0175,0.0125,0.015,negative
F,0.5,0.4,0.6615,0.2565,0.1755,0.22,negative
M,0.445,0.35,0.4425,0.192,0.0955,0.135,negative
I,0.39,0.295,0.203,0.0875,0.045,0.075,negative
M,0.47,0.37,0.5795,0.293,0.227,0.14,negative
M,0.47,0.385,0.5895,0.2765,0.12,0.17,negative
I,0.245,0.19,0.086,0.042,0.014,0.025,negative
F,0.505,0.4,0.583,0.246,0.13,0.175,negative
M,0.45,0.345,0.4115,0.18,0.1125,0.135,negative
F,0.53,0.41,0.6965,0.302,0.1935,0.2,negative
M,0.505,0.405,0.625,0.305,0.16,0.175,negative
M,0.425,0.325,0.3785,0.1705,0.08,0.1,negative
M,0.52,0.4,0.58,0.234,0.1315,0.185,negative
M,0.475,0.355,0.48,0.234,0.1015,0.135,negative
F,0.565,0.44,0.915,0.354,0.1935,0.32,negative
F,0.595,0.495,1.285,0.416,0.224,0.485,negative
F,0.475,0.39,0.5305,0.2135,0.1155,0.17,negative
I,0.31,0.235,0.151,0.063,0.0405,0.045,negative
F,0.4,0.32,0.353,0.1405,0.0985,0.1,negative
M,0.555,0.425,0.7665,0.264,0.168,0.275,negative
F,0.595,0.475,1.247,0.48,0.225,0.425,negative
M,0.57,0.48,1.185,0.474,0.261,0.38,negative
F,0.605,0.45,1.098,0.481,0.2895,0.315,negative
F,0.6,0.475,1.0075,0.4425,0.221,0.28,negative
M,0.595,0.475,0.944,0.3625,0.189,0.315,negative
F,0.575,0.445,0.941,0.3845,0.252,0.285,negative
F,0.6,0.47,0.922,0.363,0.194,0.305,negative
F,0.555,0.425,0.788,0.282,0.1595,0.285,negative
M,0.62,0.51,1.615,0.5105,0.192,0.675,negative
M,0.58,0.45,1.013,0.38,0.216,0.36,negative
F,0.615,0.475,1.1025,0.4695,0.2355,0.345,negative
F,0.52,0.425,0.9885,0.396,0.225,0.32,negative
M,0.625,0.465,1.195,0.4825,0.205,0.4,negative
M,0.595,0.475,1.3175,0.408,0.234,0.58,negative
F,0.46,0.355,0.517,0.2205,0.114,0.165,negative
