Sex,Length,Diameter,Whole_weight,Shucked_weight,Shell_weight,Class
M,0.35,0.265,0.2255,0.0995,0.07,negative
I,0.33,0.255,0.205,0.0895,0.055,negative
I,0.425,0.3,0.3515,0.141,0.12,negative
F,0.53,0.415,0.7775,0.237,0.33,negative
M,0.455,0.365,0.514,0.2245,0.15,negative
F,0.545,0.425,0.768,0.294,0.26,negative
M,0.475,0.37,0.5095,0.2165,0.165,negative
F,0.55,0.44,0.8945,0.3145,0.32,positive
F,0.525,0.38,0.6065,0.194,0.21,negative
M,0.43,0.35,0.406,0.1675,0.135,negative
F,0.53,0.42,0.677,0.2565,0.21,negative
M,0.44,0.365,0.516,0.2155,0.155,negative
M,0.49,0.38,0.5415,0.2175,0.19,negative
F,0.535,0.405,0.6845,0.2725,0.205,negative
F,0.47,0.355,0.4755,0.1675,0.185,negative
M,0.5,0.4,0.6645,0.258,0.24,negative
I,0.355,0.28,0.2905,0.095,0.115,negative
F,0.44,0.34,0.451,0.188,0.13,negative
M,0.365,0.295,0.2555,0.097,0.1,negative
M,0.45,0.32,0.381,0.1705,0.115,negative
M,0.355,0.28,0.2455,0.0955,0.075,negative
F,0.565,0.44,0.9395,0.4275,0.27,negative
F,0.56,0.44,0.9285,0.3825,0.3,negative
F,0.58,0.45,0.9955,0.3945,0.285,negative
I,0.38,0.275,0.2255,0.08,0.085,negative
M,0.59,0.445,0.931,0.356,0.28,negative
F,0.55,0.415,0.7635,0.318,0.2,negative
F,0.615,0.48,1.1615,0.513,0.305,negative
M,0.58,0.47,0.9975,0.3935,0.33,negative
M,0.605,0.475,0.9365,0.394,0.295,negative
M,0.575,0.425,0.8635,0.393,0.2,negative
F,0.68,0.56,1.639,0.6055,0.46,negative
M,0.665,0.525,1.338,0.5515,0.35,negative
F,0.68,0.55,1.798,0.815,0.455,positive
M,0.465,0.355,0.4795,0.227,0.125,negative
F,0.54,0.475,1.217,0.5305,0.34,negative
M,0.355,0.29,0.3275,0.134,0.09,negative
F,0.45,0.355,0.5225,0.237,0.145,negative
F,0.575,0.445,0.883,0.381,0.26,negative
F,0.45,0.335,0.425,0.1865,0.115,negative
F,0.55,0.425,0.8515,0.362,0.27,negative
F,0.705,0.55,1.7095,0.633,0.49,negative
I,0.24,0.175,0.07,0.0315,0.02,negative
I,0.205,0.15,0.042,0.0255,0.012,negative
F,0.46,0.375,0.4605,0.1775,0.15,negative
I,0.325,0.245,0.161,0.0755,0.045,negative
F,0.525,0.425,0.8355,0.3545,0.245,negative
I,0.52,0.41,0.595,0.2385,0.19,negative
M,0.4,0.32,0.303,0.1335,0.1,negative
M,0.485,0.36,0.5415,0.2595,0.16,negative
F,0.47,0.36,0.4775,0.2105,0.15,negative
M,0.405,0.31,0.385,0.173,0.11,negative
I,0.21,0.15,0.042,0.0175,0.015,negative
F,0.5,0.4,0.6615,0.2565,0.22,negative
M,0.445,0.35,0.4425,0.192,0.135,negative
I,0.39,0.295,0.203,0.0875,0.075,negative
M,0.47,0.37,0.5795,0.293,0.14,negative
M,0.47,0.385,0.5895,0.2765,0.17,negative
I,0.245,0.19,0.086,0.042,0.025,negative
F,0.505,0.4,0.583,0.246,0.175,negative
M,0.45,0.345,0.4115,0.18,0.135,negative
F,0.53,0.41,0.6965,0.302,0.2,negative
M,0.505,0.405,0.625,0.305,0.175,negative
M,0.425,0.325,0.3785,0.1705,0.1,negative
M,0.52,0.4,0.58,0.234,0.185,negative
M,0.475,0.355,0.48,0.234,0.135,negative
F,0.565,0.44,0.915,0.354,0.32,negative
F,0.595,0.495,1.285,0.416,0.485,negative
F,0.475,0.39,0.5305,0.2135,0.17,negative
I,0.31,0.235,0.151,0.063,0.045,negative
F,0.4,0.32,0.353,0.1405,0.1,negative
M,0.555,0.425,0.7665,0.264,0.275,negative
F,0.595,0.475,1.247,0.48,0.425,negative
M,0.57,0.48,1.185,0.474,0.38,negative
F,0.605,0.45,1.098,0.481,0.315,negative
F,0.6,0.475,1.0075,0.4425,0.28,negative
M,0.595,0.475,0.944,0.3625,0.315,negative
F,0.575,0.445,0.941,0.3845,0.285,negative
F,0.6,0.47,0.922,0.363,0.305,negative
F,0.555,0.425,0.788,0.282,0.285,negative
M,0.62,0.51,1.615,0.5105,0.675,negative
M,0.58,0.45,1.013,0.38,0.36,negative
F,0.615,0.475,1.1025,0.4695,0.345,negative
F,0.52,0.425,0.9885,0.396,0.32,negative
M,0.625,0.465,1.195,0.4825,0.4,negative
M,0.595,0.475,1.3175,0.408,0.58,negative
F,0.46,0.355,0.517,0.2205,0.165,negative
F,0.57,0.465,1.295,0.339,0.44,negative
M,0.56,0.44,0.8645,0.3305,0.26,negative
F,0.575,0.45,0.9775,0.3135,0.33,negative
M,0.595,0.465,1.115,0.4015,0.39,negative
M,0.565,0.425,0.8115,0.341,0.255,negative
M,0.555,0.44,0.755,0.307,0.26,negative
F,0.625,0.495,1.262,0.507,0.39,negative
M,0.695,0.56,1.494,0.588,0.485,negative
M,0.665,0.535,1.606,0.5755,0.48,negative
M,0.535,0.435,0.725,0.269,0.25,negative
M,0.47,0.375,0.523,0.214,0.145,negative
M,0.47,0.37,0.5225,0.201,0.165,negative
F,0.475,0.375,0.5785,0.2775,0.155,negative
M,0.55,0.435,0.843,0.328,0.255,negative
I,0.36,0.265,0.2315,0.105,0.075,negative
M,0.53,0.435,0.883,0.316,0.335,negative
M,0.53,0.415,0.724,0.3105,0.205,negative
M,0.605,0.47,1.1735,0.4975,0.345,negative
F,0.51,0.39,0.6335,0.231,0.2,negative
F,0.435,0.395,0.3635,0.136,0.13,negative
M,0.495,0.395,0.5415,0.2375,0.155,negative
M,0.465,0.36,0.431,0.172,0.175,negative
I,0.435,0.32,0.3325,0.1485,0.105,negative
F,0.52,0.41,0.727,0.291,0.235,negative
F,0.545,0.43,0.802,0.2935,0.28,negative
F,0.5,0.4,0.6675,0.261,0.22,negative
M,0.425,0.35,0.393,0.13,0.165,negative
F,0.545,0.41,0.6935,0.2975,0.21,negative
F,0.53,0.415,0.5915,0.233,0.18,negative
F,0.49,0.375,0.6125,0.2555,0.22,negative
F,0.56,0.43,0.8825,0.3465,0.31,negative
M,0.44,0.34,0.402,0.1305,0.165,negative
M,0.405,0.305,0.2605,0.1145,0.085,negative
F,0.47,0.365,0.4205,0.163,0.14,negative
I,0.385,0.295,0.2535,0.103,0.085,negative
F,0.515,0.425,0.766,0.304,0.255,negative
M,0.37,0.265,0.214,0.09,0.07,negative
I,0.36,0.28,0.1755,0.081,0.07,negative
I,0.375,0.275,0.238,0.1075,0.07,negative
I,0.27,0.195,0.073,0.0285,0.03,negative
I,0.385,0.29,0.2505,0.112,0.08,negative
F,0.44,0.35,0.4035,0.175,0.129,negative
F,0.325,0.26,0.1915,0.085,0.062,negative
M,0.71,0.54,1.959,0.7665,0.78,negative
M,0.7,0.535,1.7255,0.63,0.54,positive
M,0.595,0.48,1.262,0.4835,0.41,negative
I,0.35,0.26,0.211,0.086,0.068,negative
F,0.425,0.33,0.406,0.1635,0.1355,negative
I,0.265,0.2,0.0975,0.04,0.028,negative
F,0.305,0.23,0.156,0.0675,0.048,negative
F,0.565,0.445,0.826,0.341,0.2475,negative
M,0.345,0.255,0.2005,0.094,0.063,negative
F,0.405,0.325,0.3555,0.151,0.117,negative
M,0.375,0.285,0.253,0.096,0.0925,negative
F,0.55,0.45,0.741,0.295,0.2665,negative
M,0.65,0.52,1.3445,0.519,0.4465,negative
M,0.56,0.455,0.797,0.34,0.2425,negative
M,0.475,0.375,0.5175,0.2075,0.17,negative
F,0.49,0.38,0.549,0.245,0.174,negative
M,0.46,0.35,0.515,0.224,0.1565,negative
I,0.28,0.205,0.127,0.052,0.042,negative
I,0.175,0.13,0.0315,0.0105,0.0125,negative
I,0.17,0.13,0.03,0.013,0.01,negative
M,0.59,0.475,1.053,0.4415,0.325,negative
F,0.605,0.5,1.1185,0.469,0.335,negative
F,0.635,0.515,1.3715,0.5065,0.45,negative
F,0.605,0.485,1.0565,0.37,0.355,negative
F,0.565,0.45,0.9885,0.387,0.31,negative
M,0.515,0.405,0.722,0.32,0.21,negative
F,0.575,0.46,0.994,0.392,0.34,negative
F,0.58,0.455,0.9075,0.374,0.285,negative
M,0.645,0.485,1.514,0.546,0.635,negative
F,0.575,0.46,1.124,0.2985,0.44,negative
M,0.605,0.465,1.056,0.4215,0.34,negative
F,0.605,0.485,1.222,0.53,0.28,negative
M,0.61,0.485,1.2445,0.544,0.345,negative
M,0.725,0.57,2.55,1.0705,0.725,negative
F,0.725,0.56,2.141,0.65,1.005,negative
F,0.725,0.575,2.124,0.765,0.85,negative
F,0.65,0.545,1.752,0.5605,0.815,negative
F,0.68,0.57,1.842,0.625,0.65,negative
M,0.705,0.56,1.981,0.8175,0.76,negative
M,0.695,0.55,1.9565,0.7125,0.59,negative
F,0.68,0.515,1.6185,0.5125,0.62,negative
F,0.53,0.395,0.775,0.308,0.255,negative
M,0.525,0.435,1.065,0.486,0.285,negative
I,0.235,0.16,0.048,0.0185,0.015,negative
F,0.52,0.405,0.776,0.32,0.22,negative
I,0.36,0.26,0.1785,0.0645,0.075,negative
I,0.315,0.21,0.125,0.06,0.035,negative
