Diameter,Whole_weight,Shell_weight,Class
0.265,0.2255,0.07,negative
0.255,0.205,0.055,negative
0.3,0.3515,0.12,negative
0.415,0.7775,0.33,negative
0.365,0.514,0.15,negative
0.425,0.768,0.26,negative
0.37,0.5095,0.165,negative
0.44,0.8945,0.32,positive
0.38,0.6065,0.21,negative
0.35,0.406,0.135,negative
0.42,0.677,0.21,negative
0.365,0.516,0.155,negative
0.38,0.5415,0.19,negative
0.405,0.6845,0.205,negative
0.355,0.4755,0.185,negative
0.4,0.6645,0.24,negative
0.28,0.2905,0.115,negative
0.34,0.451,0.13,negative
0.295,0.2555,0.1,negative
0.32,0.381,0.115,negative
0.28,0.2455,0.075,negative
0.44,0.9395,0.27,negative
0.44,0.9285,0.3,negative
0.45,0.9955,0.285,negative
0.275,0.2255,0.085,negative
0.445,0.931,0.28,negative
0.415,0.7635,0.2,negative
0.48,1.1615,0.305,negative
0.47,0.9975,0.33,negative
0.475,0.9365,0.295,negative
0.425,0.8635,0.2,negative
0.56,1.639,0.46,negative
0.525,1.338,0.35,negative
0.55,1.798,0.455,positive
0.355,0.4795,0.125,negative
0.475,1.217,0.34,negative
0.29,0.3275,0.09,negative
0.355,0.5225,0.145,negative
0.445,0.883,0.26,negative
0.335,0.425,0.115,negative
0.425,0.8515,0.27,negative
0.55,1.7095,0.49,negative
0.175,0.07,0.02,negative
0.15,0.042,0.012,negative
0.375,0.4605,0.15,negative
0.245,0.161,0.045,negative
0.425,0.8355,0.245,negative
0.41,0.595,0.19,negative
0.32,0.303,0.1,negative
0.36,0.5415,0.16,negative
0.36,0.4775,0.15,negative
0.31,0.385,0.11,negative
0.15,0.042,0.015,negative
0.4,0.6615,0.22,negative
0.35,0.4425,0.135,negative
0.295,0.203,0.075,negative
0.37,0.5795,0.14,negative
0.385,0.5895,0.17,negative
0.19,0.086,0.025,negative
0.4,0.583,0.175,negative
0.345,0.4115,0.135,negative
0.41,0.6965,0.2,negative
0.405,0.625,0.175,negative
0.325,0.3785,0.1,negative
0.4,0.58,0.185,negative
0.355,0.48,0.135,negative
0.44,0.915,0.32,negative
0.495,1.285,0.485,negative
0.39,0.5305,0.17,negative
0.235,0.151,0.045,negative
0.32,0.353,0.1,negative
0.425,0.7665,0.275,negative
0.475,1.247,0.425,negative
0.48,1.185,0.38,negative
0.45,1.098,0.315,negative
0.475,1.0075,0.28,negative
0.475,0.944,0.315,negative
0.445,0.941,0.285,negative
0.47,0.922,0.305,negative
0.425,0.788,0.285,negative
0.51,1.615,0.675,negative
0.45,1.013,0.36,negative
0.475,1.1025,0.345,negative
0.425,0.9885,0.32,negative
0.465,1.195,0.4,negative
0.475,1.3175,0.58,negative
0.355,0.517,0.165,negative
0.465,1.295,0.44,negative
0.44,0.8645,0.26,negative
0.45,0.9775,0.33,negative
0.465,1.115,0.39,negative
0.425,0.8115,0.255,negative
0.44,0.755,0.26,negative
0.495,1.262,0.39,negative
0.56,1.494,0.485,negative
0.535,1.606,0.48,negative
0.435,0.725,0.25,negative
0.375,0.523,0.145,negative
0.37,0.5225,0.165,negative
0.375,0.5785,0.155,negative
0.435,0.843,0.255,negative
0.265,0.2315,0.075,negative
0.435,0.883,0.335,negative
0.415,0.724,0.205,negative
0.47,1.1735,0.345,negative
0.39,0.6335,0.2,negative
0.395,0.3635,0.13,negative
0.395,0.5415,0.155,negative
0.36,0.431,0.175,negative
0.32,0.3325,0.105,negative
0.41,0.727,0.235,negative
0.43,0.802,0.28,negative
0.4,0.6675,0.22,negative
0.35,0.393,0.165,negative
0.41,0.6935,0.21,negative
0.415,0.5915,0.18,negative
0.375,0.6125,0.22,negative
0.43,0.8825,0.31,negative
0.34,0.402,0.165,negative
0.305,0.2605,0.085,negative
0.365,0.4205,0.14,negative
0.295,0.2535,0.085,negative
0.425,0.766,0.255,negative
0.265,0.214,0.07,negative
0.28,0.1755,0.07,negative
0.275,0.238,0.07,negative
0.195,0.073,0.03,negative
0.29,0.2505,0.08,negative
0.35,0.4035,0.129,negative
0.26,0.1915,0.062,negative
0.54,1.959,0.78,negative
0.535,1.7255,0.54,positive
0.48,1.262,0.41,negative
0.26,0.211,0.068,negative
0.33,0.406,0.1355,negative
0.2,0.0975,0.028,negative
0.23,0.156,0.048,negative
0.445,0.826,0.2475,negative
0.255,0.2005,0.063,negative
0.325,0.3555,0.117,negative
0.285,0.253,0.0925,negative
0.45,0.741,0.2665,negative
0.52,1.3445,0.4465,negative
0.455,0.797,0.2425,negative
0.375,0.5175,0.17,negative
0.38,0.549,0.174,negative
0.35,0.515,0.1565,negative
0.205,0.127,0.042,negative
0.13,0.0315,0.0125,negative
0.13,0.03,0.01,negative
0.475,1.053,0.325,negative
0.5,1.1185,0.335,negative
0.515,1.3715,0.45,negative
0.485,1.0565,0.355,negative
0.45,0.9885,0.31,negative
0.405,0.722,0.21,negative
0.46,0.994,0.34,negative
0.455,0.9075,0.285,negative
0.485,1.514,0.635,negative
0.46,1.124,0.44,negative
0.465,1.056,0.34,negative
0.485,1.222,0.28,negative
0.485,1.2445,0.345,negative
0.57,2.55,0.725,negative
0.56,2.141,1.005,negative
0.575,2.124,0.85,negative
0.545,1.752,0.815,negative
0.57,1.842,0.65,negative
0.56,1.981,0.76,negative
0.55,1.9565,0.59,negative
0.515,1.6185,0.62,negative
0.395,0.775,0.255,negative
0.435,1.065,0.285,negative
0.16,0.048,0.015,negative
0.405,0.776,0.22,negative
0.26,0.1785,0.075,negative
0.21,0.125,0.035,negative
0.245,0.1435,0.05,negative
0.16,0.0465,0.015,negative
0.475,0.97,0.35,negative
0.48,0.9395,0.295,negative
0.51,1.368,0.57,negative
0.45,1.0235,0.3,negative
0.475,1.0165,0.325,negative
0.51,1.5675,0.46,negative
0.49,1.218,0.355,negative
0.48,1.0525,0.285,negative
0.5,1.383,0.38,negative
0.48,1.199,0.315,negative
0.46,0.9325,0.29,negative
0.48,1.1595,0.325,negative
0.485,1.0225,0.36,negative
0.45,0.927,0.36,negative
0.275,0.22,0.15,negative
0.4,0.8145,0.195,negative
0.405,0.772,0.245,negative
0.41,0.644,0.21,negative
0.5,1.3035,0.465,negative
0.45,0.922,0.26,negative
0.46,0.922,0.285,negative
0.345,0.4165,0.135,negative
0.4,0.825,0.285,negative
0.4,0.63,0.23,negative
0.435,0.8155,0.275,negative
0.335,0.369,0.12,negative
0.34,0.482,0.16,negative
0.3,0.315,0.12,negative
0.34,0.3795,0.12,negative
0.415,0.8325,0.31,negative
0.28,0.2655,0.08,negative
0.365,0.6345,0.22,negative
0.325,0.38,0.12,negative
0.25,0.181,0.06,negative
0.405,0.6155,0.205,negative
0.395,0.66,0.235,negative
0.35,0.46,0.135,negative
0.405,0.8025,0.255,negative
0.3,0.324,0.11,negative
0.36,0.501,0.165,negative
0.305,0.32,0.105,negative
0.35,0.5175,0.18,negative
0.375,0.5755,0.19,negative
0.355,0.485,0.155,negative
0.325,0.455,0.14,negative
0.38,0.3265,0.1,negative
0.37,0.45,0.155,negative
0.29,0.3055,0.09,negative
0.27,0.205,0.07,negative
0.465,1.1015,0.35,negative
0.415,0.783,0.245,negative
0.44,0.9025,0.325,negative
0.445,0.836,0.275,negative
0.505,1.4455,0.435,negative
0.215,0.1155,0.035,negative
0.225,0.124,0.04,negative
0.35,0.435,0.125,negative
0.055,0.002,0.0015,negative
0.1,0.013,0.004,negative
0.12,0.021,0.005,negative
0.09,0.008,0.003,negative
0.425,0.9425,0.275,negative
0.2,0.1,0.035,negative
0.175,0.0645,0.02,negative
0.23,0.1275,0.04,negative
0.255,0.1655,0.06,negative
0.26,0.174,0.06,negative
0.245,0.1585,0.05,negative
0.25,0.1715,0.06,negative
0.245,0.156,0.045,negative
0.47,1.1235,0.36,negative
0.455,1.0605,0.3,negative
0.46,1.094,0.345,negative
0.495,1.2415,0.34,negative
0.45,1.011,0.37,negative
0.275,0.1975,0.07,negative
0.27,0.2135,0.07,negative
0.45,1.07,0.41,positive
0.46,0.8975,0.345,negative
0.505,1.415,0.365,negative
0.42,0.8945,0.245,negative
0.475,1.1015,0.295,negative
0.475,0.928,0.26,negative
0.2,0.1205,0.04,negative
0.38,0.639,0.16,negative
0.45,0.895,0.235,negative
0.44,0.865,0.27,negative
0.195,0.095,0.026,negative
0.275,0.2925,0.0905,negative
0.39,0.6355,0.255,negative
0.36,0.4995,0.17,negative
0.525,1.779,0.55,negative
0.5,1.187,0.37,negative
0.485,1.219,0.385,negative
0.505,1.525,0.45,negative
0.515,1.259,0.41,negative
0.54,1.844,0.585,negative
0.53,1.3485,0.49,negative
0.5,1.642,0.69,negative
0.525,1.484,0.43,negative
0.425,0.712,0.25,negative
0.415,0.8415,0.3,negative
0.285,0.2415,0.075,negative
0.395,0.6295,0.225,negative
0.355,0.4495,0.15,negative
0.38,0.9565,0.31,negative
0.4,0.6445,0.205,negative
0.415,0.879,0.285,negative
0.435,0.699,0.205,negative
0.505,1.2765,0.355,negative
0.475,1.116,0.315,negative
0.455,1.013,0.35,positive
0.495,1.0575,0.375,negative
0.215,0.128,0.04,negative
0.205,0.1105,0.035,negative
0.21,0.1065,0.03,negative
0.395,0.549,0.15,negative
0.28,0.234,0.075,negative
0.305,0.3485,0.1,negative
0.435,0.892,0.335,negative
0.28,0.252,0.074,negative
0.27,0.217,0.0715,negative
0.36,0.472,0.15,negative
0.145,0.037,0.011,negative
0.12,0.0215,0.005,negative
0.355,0.4775,0.19,negative
0.435,0.8105,0.24,negative
0.435,0.996,0.325,negative
0.515,1.5415,0.535,negative
0.41,0.7605,0.195,negative
0.435,0.9055,0.275,negative
0.485,1.2435,0.39,negative
0.44,0.971,0.265,negative
0.455,1.3305,0.345,positive
0.47,1.2255,0.435,negative
0.485,1.3,0.46,negative
0.535,1.242,0.39,negative
0.355,0.4585,0.14,negative
0.35,0.3675,0.12,negative
0.455,0.8365,0.32,negative
0.21,0.0965,0.03,negative
0.205,0.1055,0.035,negative
0.255,0.172,0.06,negative
0.145,0.038,0.015,negative
0.31,0.2845,0.1,negative
0.265,0.222,0.075,negative
0.275,0.251,0.08,negative
0.255,0.1755,0.065,negative
0.4,0.6435,0.205,negative
0.295,0.241,0.095,negative
0.28,0.2255,0.09,negative
0.38,0.5955,0.2,negative
0.325,0.3185,0.095,negative
0.22,0.121,0.035,negative
0.175,0.0705,0.02,negative
0.6,1.974,0.71,negative
0.475,1.0875,0.325,negative
0.465,1.3415,0.355,negative
0.45,1.0035,0.285,negative
0.45,1.283,0.425,negative
0.475,1.325,0.33,negative
0.455,1.165,0.3,negative
0.51,1.3475,0.48,negative
0.465,1.274,0.32,negative
0.375,0.568,0.17,negative
0.425,0.746,0.24,negative
0.39,0.707,0.18,negative
0.42,0.756,0.275,negative
0.26,0.2,0.055,negative
0.305,0.2715,0.09,negative
0.48,1.2,0.28,negative
0.495,1.153,0.245,negative
0.46,0.9535,0.245,negative
0.45,0.8685,0.27,negative
0.58,2.13,0.58,negative
0.525,1.587,0.395,negative
0.585,2.499,0.7,negative
0.545,1.768,0.485,negative
0.49,1.227,0.35,negative
0.455,0.93,0.22,negative
0.515,1.275,0.34,negative
0.465,0.997,0.34,negative
0.525,1.4225,0.445,negative
0.48,1.029,0.295,negative
0.525,1.8085,0.395,negative
0.5,1.186,0.35,negative
0.515,1.016,0.355,positive
0.49,1.13,0.315,negative
0.455,1.0735,0.265,negative
0.465,0.887,0.265,negative
0.545,1.566,0.415,negative
0.56,1.719,0.47,negative
0.565,1.7605,0.5,negative
0.58,1.787,0.6,positive
0.575,1.31,0.42,negative
0.52,1.343,0.4,negative
0.545,1.7345,0.605,negative
0.49,1.1775,0.285,negative
0.45,1.077,0.25,negative
0.465,0.995,0.37,negative
0.495,1.1085,0.33,negative
0.42,0.791,0.25,negative
0.47,1.1405,0.385,negative
0.4,0.663,0.2,negative
0.375,0.5565,0.195,negative
0.425,0.8445,0.235,negative
0.37,0.4925,0.135,negative
0.42,0.7385,0.215,negative
0.38,0.482,0.145,negative
0.42,0.609,0.22,negative
0.375,0.471,0.14,negative
0.325,0.3215,0.105,negative
0.375,0.593,0.18,negative
0.375,0.5615,0.18,negative
0.295,0.25,0.08,negative
0.275,0.1995,0.07,negative
0.31,0.302,0.115,negative
0.395,0.7155,0.24,negative
0.44,0.6765,0.26,negative
0.38,0.5865,0.185,negative
0.365,0.5885,0.175,negative
0.455,0.7225,0.235,negative
0.325,0.4335,0.155,negative
0.455,0.987,0.31,negative
0.415,0.6935,0.2,negative
0.44,0.8425,0.24,negative
0.345,0.365,0.11,negative
0.355,0.479,0.15,negative
0.485,0.911,0.29,negative
0.45,0.915,0.285,negative
0.5,1.1045,0.34,negative
0.44,0.827,0.235,negative
0.475,0.945,0.28,negative
0.46,0.9935,0.28,negative
0.44,0.8565,0.24,negative
0.495,1.2385,0.39,negative
0.5,1.3135,0.4,negative
0.47,1.0325,0.36,negative
0.5,1.005,0.36,negative
0.515,1.352,0.45,negative
0.41,0.625,0.235,negative
0.54,1.5015,0.505,negative
0.38,0.529,0.155,negative
0.39,0.5785,0.2,negative
0.225,0.101,0.035,negative
0.2,0.092,0.03,negative
0.45,1.068,0.32,negative
0.5,1.015,0.33,positive
0.485,1.0915,0.33,negative
0.455,0.943,0.375,negative
0.45,1.0475,0.385,negative
0.45,0.9555,0.295,negative
0.455,0.9065,0.32,negative
0.47,1.036,0.325,negative
0.42,0.7505,0.255,negative
0.345,0.366,0.12,negative
0.41,0.662,0.22,negative
0.275,0.217,0.09,negative
0.305,0.252,0.09,negative
0.3,0.3055,0.085,negative
0.415,0.6885,0.25,negative
0.26,0.192,0.07,negative
0.275,0.2335,0.085,negative
0.325,0.3635,0.12,negative
0.455,0.714,0.275,negative
0.425,0.85,0.285,positive
0.295,0.2715,0.085,negative
0.435,0.9815,0.39,negative
0.455,0.9265,0.375,negative
0.5,1.098,0.375,negative
0.455,0.8205,0.26,negative
0.565,1.891,0.58,negative
0.535,1.41,0.42,negative
0.555,1.4385,0.36,negative
0.49,0.9245,0.255,negative
0.55,1.2915,0.33,negative
0.47,0.8375,0.24,negative
0.54,1.221,0.39,negative
0.28,0.199,0.08,negative
0.31,0.2965,0.0995,negative
0.41,0.7085,0.235,negative
0.285,0.2665,0.075,negative
0.465,0.9915,0.265,negative
0.185,0.0715,0.025,negative
0.165,0.0545,0.02,negative
0.195,0.0735,0.025,negative
0.125,0.0235,0.008,negative
0.53,1.388,0.41,negative
0.55,1.3905,0.4,negative
0.555,1.4385,0.465,negative
0.44,0.7835,0.2185,negative
0.405,0.646,0.177,negative
0.55,1.7445,0.625,negative
0.34,0.3575,0.1045,negative
0.405,0.627,0.181,negative
0.415,0.7715,0.2765,negative
0.415,0.7395,0.2645,negative
0.35,0.421,0.1345,negative
0.54,1.347,0.415,negative
0.59,1.756,0.58,negative
0.545,1.32,0.455,negative
0.585,1.8075,0.475,negative
0.4,0.9325,0.3,negative
0.465,0.849,0.24,negative
0.48,1.0115,0.305,negative
0.46,0.9955,0.26,positive
0.465,0.908,0.315,negative
0.515,1.2415,0.36,negative
0.45,0.92,0.29,negative
0.42,0.8075,0.235,negative
0.455,1.073,0.285,negative
0.455,1.0595,0.285,negative
0.51,1.2895,0.41,negative
0.53,1.2635,0.415,negative
0.5,1.369,0.37,negative
0.485,1.0105,0.3,positive
0.52,1.248,0.48,negative
0.5,0.953,0.305,negative
0.525,1.0385,0.345,negative
0.46,0.921,0.29,negative
0.45,0.874,0.305,negative
0.44,0.854,0.245,negative
0.52,1.1835,0.395,negative
0.505,1.129,0.36,negative
0.47,1.115,0.36,negative
0.485,1.1745,0.42,negative
0.47,1.105,0.315,negative
0.46,0.8395,0.305,negative
0.455,1.055,0.365,negative
0.435,0.889,0.25,negative
0.445,0.8735,0.275,negative
0.53,1.1095,0.34,negative
0.35,0.5185,0.135,negative
0.38,0.6725,0.21,negative
0.22,0.146,0.045,negative
0.195,0.08,0.025,negative
0.23,0.147,0.045,negative
0.29,0.2795,0.075,negative
0.195,0.1,0.03,negative
0.2,0.0915,0.03,negative
0.25,0.203,0.055,negative
0.15,0.0385,0.01,negative
0.27,0.1885,0.055,negative
0.26,0.218,0.07,negative
0.14,0.035,0.01,negative
0.16,0.0545,0.015,negative
0.125,0.024,0.005,negative
0.445,0.733,0.235,negative
0.45,0.9715,0.26,negative
0.11,0.0155,0.005,negative
0.3,0.24,0.085,negative
0.42,0.752,0.205,negative
0.355,0.458,0.13,negative
0.37,0.4705,0.155,negative
0.335,0.38,0.11,negative
0.37,0.4985,0.145,negative
0.38,0.454,0.155,negative
0.405,0.5775,0.179,negative
0.23,0.1165,0.04,negative
0.205,0.094,0.0325,negative
0.29,0.2705,0.0885,negative
0.375,0.604,0.179,negative
0.325,0.2885,0.1135,negative
0.35,0.3615,0.117,negative
0.355,0.415,0.131,negative
0.29,0.257,0.085,negative
0.245,0.1555,0.049,negative
0.155,0.0425,0.0155,negative
0.195,0.08,0.027,negative
0.45,0.795,0.23,negative
0.425,0.875,0.255,negative
0.49,0.9885,0.345,negative
0.515,1.1625,0.33,negative
0.44,0.8,0.25,negative
0.37,0.514,0.155,negative
0.385,0.6265,0.16,negative
0.39,0.591,0.12,negative
0.405,0.795,0.255,negative
0.5,1.1905,0.37,negative
0.53,1.326,0.44,negative
0.4,0.66,0.22,negative
0.4,0.659,0.17,negative
0.34,0.364,0.1175,negative
0.35,0.452,0.155,negative
0.415,0.7335,0.2185,negative
0.355,0.5465,0.185,negative
0.255,0.179,0.06,negative
0.21,0.1085,0.0345,negative
0.355,0.581,0.168,negative
0.33,0.406,0.096,negative
0.32,0.387,0.0985,negative
0.35,0.474,0.1275,negative
0.345,0.443,0.1175,negative
0.455,1.066,0.415,negative
0.44,0.9535,0.305,negative
0.475,0.9665,0.345,negative
0.475,1.133,0.35,negative
0.425,0.9175,0.26,negative
0.435,0.982,0.27,negative
0.445,0.8865,0.255,negative
0.425,0.806,0.245,negative
0.355,0.4935,0.115,negative
0.305,0.363,0.11,negative
0.49,1.233,0.365,negative
0.48,1.3675,0.515,negative
0.525,1.4635,0.435,positive
0.425,0.6805,0.195,negative
0.41,0.8285,0.25,negative
0.39,0.6655,0.2,negative
0.335,0.4625,0.15,negative
0.29,0.25,0.075,negative
0.41,0.874,0.205,negative
0.31,0.3095,0.095,negative
0.4,0.745,0.235,negative
0.52,1.514,0.42,positive
0.42,0.6995,0.24,negative
0.455,0.8525,0.3,negative
0.43,0.7135,0.225,negative
0.495,1.054,0.36,negative
0.47,0.939,0.32,negative
0.445,0.981,0.335,negative
0.42,0.926,0.25,negative
0.315,0.286,0.0835,negative
0.345,0.4885,0.166,negative
0.3,0.265,0.0865,negative
0.39,0.5555,0.2235,negative
0.345,0.425,0.154,negative
0.27,0.195,0.059,negative
0.37,0.458,0.136,negative
0.285,0.228,0.081,negative
0.265,0.1775,0.068,negative
0.345,0.4085,0.1515,negative
0.145,0.032,0.012,negative
0.24,0.155,0.06,negative
0.35,0.525,0.1655,negative
0.37,0.4775,0.169,negative
