Shell_weight,Class
0.07,negative
0.055,negative
0.12,negative
0.33,negative
0.15,negative
0.26,negative
0.165,negative
0.32,positive
0.21,negative
0.135,negative
0.21,negative
0.155,negative
0.19,negative
0.205,negative
0.185,negative
0.24,negative
0.115,negative
0.13,negative
0.1,negative
0.115,negative
0.075,negative
0.27,negative
0.3,negative
0.285,negative
0.085,negative
0.28,negative
0.2,negative
0.305,negative
0.33,negative
0.295,negative
0.2,negative
0.46,negative
0.35,negative
0.455,positive
0.125,negative
0.34,negative
0.09,negative
0.145,negative
0.26,negative
0.115,negative
0.27,negative
0.49,negative
0.02,negative
0.012,negative
0.15,negative
0.045,negative
0.245,negative
0.19,negative
0.1,negative
0.16,negative
0.15,negative
0.11,negative
0.015,negative
0.22,negative
0.135,negative
0.075,negative
0.14,negative
0.17,negative
0.025,negative
0.175,negative
0.135,negative
0.2,negative
0.175,negative
0.1,negative
0.185,negative
0.135,negative
0.32,negative
0.485,negative
0.17,negative
0.045,negative
0.1,negative
0.275,negative
0.425,negative
0.38,negative
0.315,negative
0.28,negative
0.315,negative
0.285,negative
0.305,negative
0.285,negative
0.675,negative
0.36,negative
0.345,negative
0.32,negative
0.4,negative
0.58,negative
0.165,negative
0.44,negative
0.26,negative
0.33,negative
0.39,negative
0.255,negative
0.26,negative
0.39,negative
0.485,negative
0.48,negative
0.25,negative
0.145,negative
0.165,negative
0.155,negative
0.255,negative
0.075,negative
0.335,negative
0.205,negative
0.345,negative
0.2,negative
0.13,negative
0.155,negative
0.175,negative
0.105,negative
0.235,negative
0.28,negative
0.22,negative
0.165,negative
0.21,negative
0.18,negative
0.22,negative
0.31,negative
0.165,negative
0.085,negative
0.14,negative
0.085,negative
0.255,negative
0.07,negative
0.07,negative
0.07,negative
0.03,negative
0.08,negative
0.129,negative
0.062,negative
0.78,negative
0.54,positive
0.41,negative
0.068,negative
0.1355,negative
0.028,negative
0.048,negative
0.2475,negative
0.063,negative
0.117,negative
0.0925,negative
0.2665,negative
0.4465,negative
0.2425,negative
0.17,negative
0.174,negative
0.1565,negative
0.042,negative
0.0125,negative
0.01,negative
0.325,negative
0.335,negative
0.45,negative
0.355,negative
0.31,negative
0.21,negative
0.34,negative
0.285,negative
0.635,negative
0.44,negative
0.34,negative
0.28,negative
0.345,negative
0.725,negative
1.005,negative
0.85,negative
0.815,negative
0.65,negative
0.76,negative
0.59,negative
0.62,negative
0.255,negative
0.285,negative
0.015,negative
0.22,negative
0.075,negative
0.035,negative
0.05,negative
0.015,negative
0.35,negative
0.295,negative
0.57,negative
0.3,negative
0.325,negative
0.46,negative
0.355,negative
0.285,negative
0.38,negative
0.315,negative
0.29,negative
0.325,negative
0.36,negative
0.36,negative
0.15,negative
0.195,negative
0.245,negative
0.21,negative
0.465,negative
0.26,negative
0.285,negative
0.135,negative
0.285,negative
0.23,negative
0.275,negative
0.12,negative
0.16,negative
0.12,negative
0.12,negative
0.31,negative
0.08,negative
0.22,negative
0.12,negative
0.06,negative
0.205,negative
0.235,negative
0.135,negative
0.255,negative
0.11,negative
0.165,negative
0.105,negative
0.18,negative
0.19,negative
0.155,negative
0.14,negative
0.1,negative
0.155,negative
0.09,negative
0.07,negative
0.35,negative
0.245,negative
0.325,negative
0.275,negative
0.435,negative
0.035,negative
0.04,negative
0.125,negative
0.0015,negative
0.004,negative
0.005,negative
0.003,negative
0.275,negative
0.035,negative
0.02,negative
0.04,negative
0.06,negative
0.06,negative
0.05,negative
0.06,negative
0.045,negative
0.36,negative
0.3,negative
0.345,negative
0.34,negative
0.37,negative
0.07,negative
0.07,negative
0.41,positive
0.345,negative
0.365,negative
0.245,negative
0.295,negative
0.26,negative
0.04,negative
0.16,negative
0.235,negative
0.27,negative
0.026,negative
0.0905,negative
0.255,negative
0.17,negative
0.55,negative
0.37,negative
0.385,negative
0.45,negative
0.41,negative
0.585,negative
0.49,negative
0.69,negative
0.43,negative
0.25,negative
0.3,negative
0.075,negative
0.225,negative
0.15,negative
0.31,negative
0.205,negative
0.285,negative
0.205,negative
0.355,negative
0.315,negative
0.35,positive
0.375,negative
0.04,negative
0.035,negative
0.03,negative
0.15,negative
0.075,negative
0.1,negative
0.335,negative
0.074,negative
0.0715,negative
0.15,negative
0.011,negative
0.005,negative
0.19,negative
0.24,negative
0.325,negative
0.535,negative
0.195,negative
0.275,negative
0.39,negative
0.265,negative
0.345,positive
0.435,negative
0.46,negative
0.39,negative
0.14,negative
0.12,negative
0.32,negative
0.03,negative
0.035,negative
0.06,negative
0.015,negative
0.1,negative
0.075,negative
0.08,negative
0.065,negative
0.205,negative
0.095,negative
0.09,negative
0.2,negative
0.095,negative
0.035,negative
0.02,negative
0.71,negative
0.325,negative
0.355,negative
0.285,negative
0.425,negative
0.33,negative
0.3,negative
0.48,negative
0.32,negative
0.17,negative
0.24,negative
0.18,negative
0.275,negative
0.055,negative
0.09,negative
0.28,negative
0.245,negative
0.245,negative
0.27,negative
0.58,negative
0.395,negative
0.7,negative
0.485,negative
0.35,negative
0.22,negative
0.34,negative
0.34,negative
0.445,negative
0.295,negative
0.395,negative
0.35,negative
0.355,positive
0.315,negative
0.265,negative
0.265,negative
0.415,negative
0.47,negative
0.5,negative
0.6,positive
0.42,negative
0.4,negative
0.605,negative
0.285,negative
0.25,negative
0.37,negative
0.33,negative
0.25,negative
0.385,negative
0.2,negative
0.195,negative
0.235,negative
0.135,negative
0.215,negative
0.145,negative
0.22,negative
0.14,negative
0.105,negative
0.18,negative
0.18,negative
0.08,negative
0.07,negative
0.115,negative
0.24,negative
0.26,negative
0.185,negative
0.175,negative
0.235,negative
0.155,negative
0.31,negative
0.2,negative
0.24,negative
0.11,negative
0.15,negative
0.29,negative
0.285,negative
0.34,negative
0.235,negative
0.28,negative
0.28,negative
0.24,negative
0.39,negative
0.4,negative
0.36,negative
0.36,negative
0.45,negative
0.235,negative
0.505,negative
0.155,negative
0.2,negative
0.035,negative
0.03,negative
0.32,negative
0.33,positive
0.33,negative
0.375,negative
0.385,negative
0.295,negative
0.32,negative
0.325,negative
0.255,negative
0.12,negative
0.22,negative
0.09,negative
0.09,negative
0.085,negative
0.25,negative
0.07,negative
0.085,negative
0.12,negative
0.275,negative
0.285,positive
0.085,negative
0.39,negative
0.375,negative
0.375,negative
0.26,negative
0.58,negative
0.42,negative
0.36,negative
0.255,negative
0.33,negative
0.24,negative
0.39,negative
0.08,negative
0.0995,negative
0.235,negative
0.075,negative
0.265,negative
0.025,negative
0.02,negative
0.025,negative
0.008,negative
0.41,negative
0.4,negative
0.465,negative
0.2185,negative
0.177,negative
0.625,negative
0.1045,negative
0.181,negative
0.2765,negative
0.2645,negative
0.1345,negative
0.415,negative
0.58,negative
0.455,negative
0.475,negative
0.3,negative
0.24,negative
0.305,negative
0.26,positive
0.315,negative
0.36,negative
0.29,negative
0.235,negative
0.285,negative
0.285,negative
0.41,negative
0.415,negative
0.37,negative
0.3,positive
0.48,negative
0.305,negative
0.345,negative
0.29,negative
0.305,negative
0.245,negative
0.395,negative
0.36,negative
0.36,negative
0.42,negative
0.315,negative
0.305,negative
0.365,negative
0.25,negative
0.275,negative
0.34,negative
0.135,negative
0.21,negative
0.045,negative
0.025,negative
0.045,negative
0.075,negative
0.03,negative
0.03,negative
0.055,negative
0.01,negative
0.055,negative
0.07,negative
0.01,negative
0.015,negative
0.005,negative
0.235,negative
0.26,negative
0.005,negative
0.085,negative
0.205,negative
0.13,negative
0.155,negative
0.11,negative
0.145,negative
0.155,negative
0.179,negative
0.04,negative
0.0325,negative
0.0885,negative
0.179,negative
0.1135,negative
0.117,negative
0.131,negative
0.085,negative
0.049,negative
0.0155,negative
0.027,negative
0.23,negative
0.255,negative
0.345,negative
0.33,negative
0.25,negative
0.155,negative
0.16,negative
0.12,negative
0.255,negative
0.37,negative
0.44,negative
0.22,negative
0.17,negative
0.1175,negative
0.155,negative
0.2185,negative
0.185,negative
0.06,negative
0.0345,negative
0.168,negative
0.096,negative
0.0985,negative
0.1275,negative
0.1175,negative
0.415,negative
0.305,negative
0.345,negative
0.35,negative
0.26,negative
0.27,negative
0.255,negative
0.245,negative
0.115,negative
0.11,negative
0.365,negative
0.515,negative
0.435,positive
0.195,negative
0.25,negative
0.2,negative
0.15,negative
0.075,negative
0.205,negative
0.095,negative
0.235,negative
0.42,positive
0.24,negative
0.3,negative
0.225,negative
0.36,negative
0.32,negative
0.335,negative
0.25,negative
0.0835,negative
0.166,negative
0.0865,negative
0.2235,negative
0.154,negative
