Sex,Length,Diameter,Height,Shucked_weight,Viscera_weight,Shell_weight,Class
M,0.45,0.32,0.1,0.1705,0.075,0.115,negative
F,0.53,0.42,0.135,0.2565,0.1415,0.21,negative
M,0.665,0.525,0.165,0.5515,0.3575,0.35,positive
M,0.475,0.37,0.125,0.2165,0.1125,0.165,negative
M,0.355,0.29,0.09,0.134,0.086,0.09,negative
F,0.55,0.415,0.135,0.318,0.21,0.2,negative
F,0.45,0.335,0.105,0.1865,0.091,0.115,negative
F,0.525,0.425,0.16,0.3545,0.2135,0.245,negative
M,0.505,0.405,0.11,0.305,0.16,0.175,negative
M,0.47,0.37,0.12,0.293,0.227,0.14,negative
M,0.595,0.475,0.14,0.3625,0.189,0.315,negative
F,0.575,0.445,0.14,0.3845,0.252,0.285,negative
F,0.46,0.355,0.13,0.2205,0.114,0.165,negative
M,0.535,0.435,0.15,0.269,0.1385,0.25,negative
F,0.51,0.39,0.135,0.231,0.179,0.2,negative
F,0.435,0.395,0.105,0.136,0.098,0.13,negative
M,0.495,0.395,0.125,0.2375,0.1345,0.155,negative
M,0.465,0.36,0.105,0.172,0.107,0.175,negative
I,0.435,0.32,0.08,0.1485,0.0635,0.105,negative
M,0.425,0.35,0.105,0.13,0.063,0.165,negative
F,0.56,0.43,0.15,0.3465,0.172,0.31,negative
F,0.47,0.365,0.105,0.163,0.1035,0.14,negative
M,0.71,0.54,0.165,0.7665,0.261,0.78,positive
F,0.44,0.35,0.125,0.175,0.063,0.129,negative
M,0.345,0.255,0.09,0.094,0.0295,0.063,negative
F,0.405,0.325,0.11,0.151,0.063,0.117,negative
M,0.375,0.285,0.095,0.096,0.0575,0.0925,negative
I,0.28,0.205,0.08,0.052,0.039,0.042,negative
F,0.725,0.56,0.21,0.65,0.398,1.005,positive
F,0.605,0.5,0.185,0.469,0.2585,0.335,negative
F,0.585,0.46,0.17,0.365,0.271,0.29,negative
F,0.45,0.345,0.12,0.1655,0.095,0.135,negative
F,0.44,0.34,0.14,0.186,0.1085,0.16,negative
M,0.5,0.405,0.14,0.241,0.1355,0.205,negative
F,0.445,0.325,0.125,0.1785,0.1125,0.14,negative
I,0.4,0.3,0.11,0.109,0.067,0.12,negative
F,0.49,0.375,0.15,0.22,0.144,0.19,negative
F,0.5,0.37,0.135,0.1715,0.1055,0.155,negative
I,0.295,0.225,0.08,0.0485,0.032,0.04,negative
M,0.61,0.5,0.24,0.532,0.3345,0.69,positive
M,0.47,0.39,0.15,0.2185,0.0885,0.255,negative
M,0.44,0.355,0.125,0.132,0.0815,0.19,negative
I,0.36,0.275,0.085,0.0745,0.0415,0.07,negative
F,0.455,0.355,0.12,0.177,0.104,0.15,negative
F,0.525,0.42,0.16,0.2745,0.173,0.275,negative
M,0.37,0.28,0.105,0.0905,0.0585,0.075,negative
F,0.405,0.305,0.095,0.1455,0.0895,0.1,negative
F,0.58,0.455,0.155,0.315,0.1385,0.32,positive
M,0.58,0.455,0.17,0.408,0.259,0.22,negative
F,0.455,0.37,0.105,0.216,0.1245,0.135,negative
F,0.645,0.525,0.19,0.7035,0.3885,0.395,positive
M,0.605,0.49,0.18,0.48,0.287,0.35,positive
I,0.465,0.375,0.12,0.222,0.119,0.14,negative
I,0.365,0.295,0.095,0.1075,0.0545,0.08,negative
F,0.485,0.365,0.12,0.27,0.131,0.175,negative
M,0.515,0.455,0.135,0.295,0.1625,0.235,negative
F,0.61,0.485,0.165,0.3935,0.2435,0.33,positive
F,0.575,0.45,0.17,0.3775,0.1705,0.385,positive
M,0.565,0.455,0.17,0.342,0.156,0.32,positive
F,0.57,0.45,0.175,0.38,0.1665,0.295,positive
M,0.39,0.3,0.09,0.143,0.0645,0.085,negative
F,0.56,0.455,0.19,0.283,0.129,0.275,negative
F,0.565,0.455,0.15,0.365,0.159,0.26,positive
I,0.36,0.28,0.105,0.0695,0.045,0.08,negative
F,0.53,0.44,0.135,0.313,0.1715,0.2185,negative
I,0.43,0.34,0.12,0.151,0.0645,0.1045,negative
M,0.4,0.29,0.115,0.1115,0.0575,0.075,negative
F,0.435,0.335,0.11,0.1695,0.086,0.11,negative
F,0.465,0.35,0.115,0.1565,0.091,0.1345,negative
I,0.485,0.39,0.125,0.287,0.141,0.12,negative
I,0.365,0.26,0.115,0.0935,0.0445,0.07,negative
M,0.385,0.3,0.095,0.0885,0.059,0.085,negative
F,0.37,0.29,0.115,0.111,0.057,0.075,negative
I,0.525,0.41,0.175,0.3585,0.207,0.205,positive
F,0.55,0.43,0.14,0.2565,0.186,0.225,negative
M,0.345,0.27,0.09,0.078,0.0455,0.059,negative
I,0.495,0.37,0.125,0.185,0.0705,0.169,positive
M,0.325,0.24,0.075,0.0475,0.0355,0.06,negative
M,0.31,0.225,0.075,0.0455,0.0335,0.044,negative
I,0.485,0.38,0.14,0.2175,0.13,0.195,positive
I,0.475,0.365,0.115,0.223,0.1235,0.1335,negative
I,0.47,0.36,0.13,0.198,0.1065,0.165,negative
M,0.36,0.295,0.1,0.066,0.0525,0.075,negative
M,0.45,0.34,0.13,0.1605,0.0795,0.105,negative
M,0.48,0.375,0.145,0.216,0.13,0.17,negative
F,0.475,0.36,0.125,0.1695,0.081,0.14,negative
I,0.58,0.49,0.195,0.5305,0.254,0.41,positive
I,0.65,0.525,0.18,0.597,0.3445,0.53,positive
M,0.35,0.255,0.08,0.08,0.0385,0.063,negative
F,0.445,0.33,0.105,0.18,0.103,0.123,negative
M,0.38,0.29,0.12,0.1175,0.0655,0.085,negative
M,0.4,0.3,0.125,0.191,0.09,0.1175,negative
M,0.52,0.385,0.14,0.2485,0.2035,0.16,negative
M,0.525,0.425,0.12,0.2825,0.176,0.29,positive
M,0.345,0.27,0.095,0.0665,0.05,0.07,negative
M,0.455,0.34,0.135,0.1675,0.158,0.12,negative
F,0.515,0.39,0.13,0.1975,0.13,0.1845,negative
F,0.505,0.39,0.16,0.2475,0.2025,0.1635,negative
M,0.47,0.37,0.18,0.1915,0.1285,0.1625,negative
M,0.44,0.335,0.11,0.157,0.096,0.122,negative
M,0.425,0.33,0.13,0.152,0.0935,0.155,negative
I,0.44,0.365,0.115,0.2435,0.084,0.1465,negative
I,0.485,0.355,0.105,0.2175,0.096,0.1525,negative
I,0.475,0.365,0.125,0.229,0.1185,0.172,negative
F,0.495,0.41,0.125,0.3355,0.129,0.214,negative
M,0.5,0.4,0.125,0.27,0.1275,0.166,negative
M,0.54,0.405,0.125,0.4815,0.1915,0.202,negative
M,0.555,0.435,0.145,0.4985,0.168,0.2385,negative
M,0.57,0.455,0.15,0.3895,0.2155,0.2745,negative
F,0.575,0.465,0.14,0.442,0.1815,0.2705,negative
M,0.59,0.475,0.165,0.4545,0.244,0.3095,negative
M,0.605,0.455,0.16,0.421,0.3015,0.325,negative
M,0.615,0.51,0.15,0.545,0.3315,0.32,negative
M,0.62,0.5,0.165,0.6355,0.2545,0.315,negative
M,0.635,0.51,0.17,0.619,0.305,0.39,negative
F,0.635,0.485,0.165,0.668,0.2605,0.2715,negative
M,0.655,0.52,0.165,0.586,0.291,0.405,negative
F,0.675,0.525,0.155,0.628,0.3405,0.42,negative
M,0.475,0.37,0.125,0.222,0.1215,0.15,negative
F,0.505,0.39,0.13,0.3165,0.141,0.1785,negative
M,0.505,0.41,0.125,0.289,0.133,0.155,negative
F,0.55,0.445,0.155,0.544,0.178,0.218,negative
F,0.55,0.43,0.14,0.368,0.161,0.275,negative
F,0.56,0.455,0.16,0.4525,0.207,0.274,negative
M,0.575,0.475,0.16,0.4955,0.2745,0.29,negative
F,0.575,0.46,0.16,0.538,0.221,0.249,negative
M,0.58,0.49,0.13,0.586,0.2565,0.237,negative
M,0.595,0.475,0.165,0.621,0.2435,0.274,negative
M,0.595,0.455,0.15,0.518,0.2205,0.27,negative
F,0.595,0.46,0.14,0.4655,0.2095,0.2515,negative
F,0.605,0.49,0.15,0.5265,0.2645,0.295,negative
M,0.605,0.475,0.155,0.572,0.2455,0.275,negative
F,0.625,0.5,0.165,0.573,0.3035,0.315,negative
F,0.625,0.485,0.2,0.5845,0.302,0.401,negative
M,0.65,0.495,0.16,0.57,0.312,0.3725,negative
M,0.66,0.535,0.19,0.6425,0.297,0.5175,negative
F,0.655,0.46,0.16,0.6895,0.331,0.1825,negative
I,0.51,0.4,0.125,0.2615,0.1195,0.1525,negative
I,0.5,0.375,0.12,0.215,0.116,0.17,negative
M,0.52,0.4,0.145,0.3525,0.1845,0.185,negative
I,0.525,0.4,0.14,0.2625,0.1285,0.1835,negative
M,0.525,0.405,0.12,0.3755,0.1555,0.201,negative
I,0.535,0.39,0.125,0.2595,0.149,0.169,negative
M,0.545,0.41,0.12,0.434,0.1405,0.19,negative
M,0.545,0.415,0.14,0.4615,0.127,0.218,negative
M,0.56,0.43,0.145,0.464,0.1775,0.234,negative
M,0.565,0.455,0.15,0.4565,0.2395,0.23,negative
F,0.565,0.45,0.175,0.447,0.2375,0.2645,negative
M,0.57,0.46,0.15,0.5415,0.2035,0.25,negative
M,0.575,0.435,0.14,0.401,0.191,0.222,negative
F,0.575,0.47,0.165,0.435,0.197,0.238,negative
M,0.575,0.455,0.135,0.4245,0.197,0.26,negative
M,0.575,0.445,0.17,0.549,0.2175,0.228,negative
M,0.575,0.445,0.145,0.415,0.1945,0.22,negative
M,0.58,0.445,0.135,0.3775,0.1915,0.22,negative
M,0.58,0.455,0.195,0.945,0.426,0.441,negative
M,0.58,0.45,0.14,0.486,0.1815,0.253,negative
F,0.58,0.45,0.155,0.385,0.246,0.265,negative
M,0.585,0.46,0.145,0.478,0.1825,0.235,negative
F,0.6,0.475,0.16,0.485,0.2495,0.2565,negative
F,0.605,0.47,0.165,0.611,0.2275,0.292,negative
M,0.605,0.475,0.14,0.555,0.257,0.274,negative
F,0.605,0.475,0.165,0.433,0.2195,0.357,negative
M,0.61,0.485,0.145,0.783,0.2255,0.2865,negative
M,0.61,0.47,0.165,0.498,0.242,0.267,negative
F,0.615,0.465,0.15,0.4615,0.1825,0.2415,negative
F,0.615,0.475,0.155,0.447,0.25,0.285,negative
F,0.625,0.485,0.175,0.7335,0.2715,0.332,negative
F,0.635,0.495,0.015,0.5115,0.308,0.2885,negative
F,0.65,0.5,0.19,0.6415,0.339,0.4245,negative
F,0.67,0.505,0.205,0.6075,0.3025,0.353,negative
I,0.665,0.5,0.17,0.6035,0.291,0.3595,negative
F,0.69,0.54,0.155,0.624,0.3105,0.39,negative
F,0.69,0.53,0.17,0.7945,0.3485,0.3695,negative
M,0.7,0.565,0.18,0.895,0.3355,0.446,negative
F,0.705,0.55,0.17,0.6395,0.236,0.301,negative
F,0.7,0.525,0.19,0.8545,0.307,0.3995,negative
I,0.44,0.34,0.12,0.2115,0.083,0.12,negative
I,0.45,0.33,0.105,0.208,0.089,0.12,negative
I,0.385,0.29,0.09,0.111,0.0595,0.0745,negative
I,0.46,0.35,0.105,0.1575,0.077,0.114,negative
I,0.48,0.37,0.125,0.244,0.101,0.165,negative
I,0.5,0.38,0.135,0.2945,0.104,0.1565,negative
M,0.5,0.42,0.135,0.302,0.1415,0.2065,negative
I,0.5,0.375,0.145,0.239,0.1375,0.185,negative
I,0.5,0.41,0.14,0.2585,0.1625,0.196,negative
