Sex,Length,Diameter,Height,Shucked_weight,Viscera_weight,Class
M,0.45,0.32,0.1,0.1705,0.075,negative
F,0.53,0.42,0.135,0.2565,0.1415,negative
M,0.665,0.525,0.165,0.5515,0.3575,positive
M,0.475,0.37,0.125,0.2165,0.1125,negative
M,0.355,0.29,0.09,0.134,0.086,negative
F,0.55,0.415,0.135,0.318,0.21,negative
F,0.45,0.335,0.105,0.1865,0.091,negative
F,0.525,0.425,0.16,0.3545,0.2135,negative
M,0.505,0.405,0.11,0.305,0.16,negative
M,0.47,0.37,0.12,0.293,0.227,negative
M,0.595,0.475,0.14,0.3625,0.189,negative
F,0.575,0.445,0.14,0.3845,0.252,negative
F,0.46,0.355,0.13,0.2205,0.114,negative
M,0.535,0.435,0.15,0.269,0.1385,negative
F,0.51,0.39,0.135,0.231,0.179,negative
F,0.435,0.395,0.105,0.136,0.098,negative
M,0.495,0.395,0.125,0.2375,0.1345,negative
M,0.465,0.36,0.105,0.172,0.107,negative
I,0.435,0.32,0.08,0.1485,0.0635,negative
M,0.425,0.35,0.105,0.13,0.063,negative
F,0.56,0.43,0.15,0.3465,0.172,negative
F,0.47,0.365,0.105,0.163,0.1035,negative
M,0.71,0.54,0.165,0.7665,0.261,positive
F,0.44,0.35,0.125,0.175,0.063,negative
M,0.345,0.255,0.09,0.094,0.0295,negative
F,0.405,0.325,0.11,0.151,0.063,negative
M,0.375,0.285,0.095,0.096,0.0575,negative
I,0.28,0.205,0.08,0.052,0.039,negative
F,0.725,0.56,0.21,0.65,0.398,positive
F,0.605,0.5,0.185,0.469,0.2585,negative
F,0.585,0.46,0.17,0.365,0.271,negative
F,0.45,0.345,0.12,0.1655,0.095,negative
F,0.44,0.34,0.14,0.186,0.1085,negative
M,0.5,0.405,0.14,0.241,0.1355,negative
F,0.445,0.325,0.125,0.1785,0.1125,negative
I,0.4,0.3,0.11,0.109,0.067,negative
F,0.49,0.375,0.15,0.22,0.144,negative
F,0.5,0.37,0.135,0.1715,0.1055,negative
I,0.295,0.225,0.08,0.0485,0.032,negative
M,0.61,0.5,0.24,0.532,0.3345,positive
M,0.47,0.39,0.15,0.2185,0.0885,negative
M,0.44,0.355,0.125,0.132,0.0815,negative
I,0.36,0.275,0.085,0.0745,0.0415,negative
F,0.455,0.355,0.12,0.177,0.104,negative
F,0.525,0.42,0.16,0.2745,0.173,negative
M,0.37,0.28,0.105,0.0905,0.0585,negative
F,0.405,0.305,0.095,0.1455,0.0895,negative
F,0.58,0.455,0.155,0.315,0.1385,positive
M,0.58,0.455,0.17,0.408,0.259,negative
F,0.455,0.37,0.105,0.216,0.1245,negative
F,0.645,0.525,0.19,0.7035,0.3885,positive
M,0.605,0.49,0.18,0.48,0.287,positive
I,0.465,0.375,0.12,0.222,0.119,negative
I,0.365,0.295,0.095,0.1075,0.0545,negative
F,0.485,0.365,0.12,0.27,0.131,negative
M,0.515,0.455,0.135,0.295,0.1625,negative
F,0.61,0.485,0.165,0.3935,0.2435,positive
F,0.575,0.45,0.17,0.3775,0.1705,positive
M,0.565,0.455,0.17,0.342,0.156,positive
F,0.57,0.45,0.175,0.38,0.1665,positive
M,0.39,0.3,0.09,0.143,0.0645,negative
F,0.56,0.455,0.19,0.283,0.129,negative
F,0.565,0.455,0.15,0.365,0.159,positive
I,0.36,0.28,0.105,0.0695,0.045,negative
F,0.53,0.44,0.135,0.313,0.1715,negative
I,0.43,0.34,0.12,0.151,0.0645,negative
M,0.4,0.29,0.115,0.1115,0.0575,negative
F,0.435,0.335,0.11,0.1695,0.086,negative
F,0.465,0.35,0.115,0.1565,0.091,negative
I,0.485,0.39,0.125,0.287,0.141,negative
I,0.365,0.26,0.115,0.0935,0.0445,negative
M,0.385,0.3,0.095,0.0885,0.059,negative
F,0.37,0.29,0.115,0.111,0.057,negative
I,0.525,0.41,0.175,0.3585,0.207,positive
F,0.55,0.43,0.14,0.2565,0.186,negative
M,0.345,0.27,0.09,0.078,0.0455,negative
I,0.495,0.37,0.125,0.185,0.0705,positive
M,0.325,0.24,0.075,0.0475,0.0355,negative
M,0.31,0.225,0.075,0.0455,0.0335,negative
I,0.485,0.38,0.14,0.2175,0.13,positive
I,0.475,0.365,0.115,0.223,0.1235,negative
