Sex,Height,Shucked_weight,Class
M,0.1,0.1705,negative
F,0.135,0.2565,negative
M,0.165,0.5515,positive
M,0.125,0.2165,negative
M,0.09,0.134,negative
F,0.135,0.318,negative
F,0.105,0.1865,negative
F,0.16,0.3545,negative
M,0.11,0.305,negative
M,0.12,0.293,negative
M,0.14,0.3625,negative
F,0.14,0.3845,negative
F,0.13,0.2205,negative
M,0.15,0.269,negative
F,0.135,0.231,negative
F,0.105,0.136,negative
M,0.125,0.2375,negative
M,0.105,0.172,negative
I,0.08,0.1485,negative
M,0.105,0.13,negative
F,0.15,0.3465,negative
F,0.105,0.163,negative
M,0.165,0.7665,positive
F,0.125,0.175,negative
M,0.09,0.094,negative
F,0.11,0.151,negative
M,0.095,0.096,negative
I,0.08,0.052,negative
F,0.21,0.65,positive
F,0.185,0.469,negative
F,0.17,0.365,negative
F,0.12,0.1655,negative
F,0.14,0.186,negative
M,0.14,0.241,negative
F,0.125,0.1785,negative
I,0.11,0.109,negative
F,0.15,0.22,negative
F,0.135,0.1715,negative
I,0.08,0.0485,negative
M,0.24,0.532,positive
M,0.15,0.2185,negative
M,0.125,0.132,negative
I,0.085,0.0745,negative
F,0.12,0.177,negative
F,0.16,0.2745,negative
M,0.105,0.0905,negative
F,0.095,0.1455,negative
F,0.155,0.315,positive
M,0.17,0.408,negative
F,0.105,0.216,negative
F,0.19,0.7035,positive
M,0.18,0.48,positive
I,0.12,0.222,negative
I,0.095,0.1075,negative
F,0.12,0.27,negative
M,0.135,0.295,negative
F,0.165,0.3935,positive
F,0.17,0.3775,positive
M,0.17,0.342,positive
F,0.175,0.38,positive
M,0.09,0.143,negative
F,0.19,0.283,negative
F,0.15,0.365,positive
I,0.105,0.0695,negative
F,0.135,0.313,negative
I,0.12,0.151,negative
M,0.115,0.1115,negative
F,0.11,0.1695,negative
F,0.115,0.1565,negative
I,0.125,0.287,negative
I,0.115,0.0935,negative
M,0.095,0.0885,negative
F,0.115,0.111,negative
I,0.175,0.3585,positive
F,0.14,0.2565,negative
M,0.09,0.078,negative
I,0.125,0.185,positive
M,0.075,0.0475,negative
M,0.075,0.0455,negative
I,0.14,0.2175,positive
I,0.115,0.223,negative
I,0.13,0.198,negative
M,0.1,0.066,negative
M,0.13,0.1605,negative
M,0.145,0.216,negative
F,0.125,0.1695,negative
I,0.195,0.5305,positive
I,0.18,0.597,positive
M,0.08,0.08,negative
F,0.105,0.18,negative
M,0.12,0.1175,negative
M,0.125,0.191,negative
M,0.14,0.2485,negative
M,0.12,0.2825,positive
M,0.095,0.0665,negative
M,0.135,0.1675,negative
F,0.13,0.1975,negative
F,0.16,0.2475,negative
M,0.18,0.1915,negative
