Height,Class
0.1,negative
0.135,negative
0.165,positive
0.125,negative
0.09,negative
0.135,negative
0.105,negative
0.16,negative
0.11,negative
0.12,negative
0.14,negative
0.14,negative
0.13,negative
0.15,negative
0.135,negative
0.105,negative
0.125,negative
0.105,negative
0.08,negative
0.105,negative
0.15,negative
0.105,negative
0.165,positive
0.125,negative
0.09,negative
0.11,negative
0.095,negative
0.08,negative
0.21,positive
0.185,negative
0.17,negative
0.12,negative
0.14,negative
0.14,negative
0.125,negative
0.11,negative
0.15,negative
0.135,negative
0.08,negative
0.24,positive
0.15,negative
0.125,negative
0.085,negative
0.12,negative
0.16,negative
0.105,negative
0.095,negative
0.155,positive
0.17,negative
0.105,negative
0.19,positive
0.18,positive
0.12,negative
0.095,negative
0.12,negative
0.135,negative
0.165,positive
0.17,positive
0.17,positive
0.175,positive
0.09,negative
0.19,negative
0.15,positive
0.105,negative
0.135,negative
0.12,negative
0.115,negative
0.11,negative
0.115,negative
0.125,negative
0.115,negative
0.095,negative
0.115,negative
0.175,positive
0.14,negative
0.09,negative
0.125,positive
0.075,negative
0.075,negative
0.14,positive
0.115,negative
0.13,negative
0.1,negative
0.13,negative
0.145,negative
0.125,negative
0.195,positive
0.18,positive
0.08,negative
0.105,negative
0.12,negative
0.125,negative
0.14,negative
0.12,positive
0.095,negative
0.135,negative
0.13,negative
0.16,negative
0.18,negative
0.11,negative
0.13,negative
0.115,negative
0.105,negative
0.125,negative
0.125,negative
0.125,negative
0.125,negative
0.145,negative
0.15,negative
0.14,negative
0.165,negative
0.16,negative
0.15,negative
0.165,negative
0.17,negative
0.165,negative
0.165,negative
0.155,negative
0.125,negative
0.13,negative
0.125,negative
0.155,negative
0.14,negative
0.16,negative
0.16,negative
0.16,negative
0.13,negative
0.165,negative
0.15,negative
0.14,negative
0.15,negative
0.155,negative
0.165,negative
0.2,negative
0.16,negative
0.19,negative
0.16,negative
0.125,negative
0.12,negative
0.145,negative
0.14,negative
0.12,negative
0.125,negative
0.12,negative
0.14,negative
0.145,negative
0.15,negative
0.175,negative
0.15,negative
0.14,negative
0.165,negative
0.135,negative
0.17,negative
0.145,negative
0.135,negative
0.195,negative
0.14,negative
0.155,negative
0.145,negative
0.16,negative
0.165,negative
0.14,negative
0.165,negative
0.145,negative
0.165,negative
0.15,negative
0.155,negative
0.175,negative
0.015,negative
0.19,negative
0.205,negative
0.17,negative
0.155,negative
0.17,negative
0.18,negative
0.17,negative
0.19,negative
0.12,negative
0.105,negative
0.09,negative
0.105,negative
0.125,negative
0.135,negative
0.135,negative
0.145,negative
0.14,negative
0.14,negative
0.135,negative
0.125,negative
0.155,negative
0.125,negative
0.13,negative
0.11,negative
0.13,negative
0.14,negative
0.15,negative
0.125,negative
0.15,negative
0.135,negative
0.14,negative
0.14,negative
0.145,negative
0.135,negative
0.145,negative
0.145,negative
0.135,negative
0.125,negative
0.165,negative
0.155,negative
0.135,negative
0.18,negative
0.175,negative
0.15,negative
0.135,negative
0.13,negative
0.15,negative
0.175,negative
0.17,negative
0.16,negative
0.17,negative
0.165,negative
0.175,negative
0.19,negative
0.205,negative
0.115,negative
0.215,negative
0.11,negative
0.105,negative
0.14,negative
0.135,negative
0.13,negative
0.14,negative
0.16,negative
0.15,negative
0.15,negative
0.175,negative
0.14,negative
0.16,negative
0.15,negative
0.2,negative
0.17,negative
0.16,negative
0.145,negative
0.165,negative
0.15,negative
0.12,negative
0.205,negative
0.16,negative
0.125,negative
0.14,negative
0.12,negative
0.125,negative
0.145,negative
0.145,negative
0.155,negative
0.17,negative
0.14,negative
0.14,negative
0.14,negative
0.13,negative
0.15,negative
0.13,negative
0.15,negative
0.155,negative
0.125,negative
0.17,negative
0.14,negative
0.155,negative
0.125,negative
0.17,negative
0.16,negative
0.125,negative
0.15,negative
0.165,negative
0.165,negative
0.145,negative
0.145,negative
0.155,negative
0.16,negative
0.125,negative
0.175,negative
0.17,negative
0.14,negative
0.175,negative
0.17,negative
0.15,negative
0.17,negative
0.19,negative
0.17,negative
0.16,negative
0.16,negative
0.15,negative
0.155,negative
0.15,negative
0.16,negative
0.165,negative
0.175,negative
0.15,negative
0.16,negative
0.155,negative
0.155,negative
0.175,negative
0.15,negative
0.175,negative
0.175,negative
0.16,negative
0.2,negative
0.165,negative
0.175,negative
0.195,negative
0.105,negative
0.115,negative
0.11,negative
0.14,negative
0.125,negative
0.12,negative
0.145,negative
0.13,negative
0.16,negative
0.14,negative
0.12,negative
0.16,negative
0.14,negative
0.135,negative
0.175,negative
0.135,negative
0.165,negative
0.145,negative
0.16,negative
0.175,negative
0.12,negative
0.13,negative
0.155,negative
0.175,negative
0.155,negative
0.195,negative
0.145,negative
0.16,negative
0.145,negative
0.15,negative
0.15,negative
0.15,negative
0.17,negative
0.155,negative
0.155,negative
0.17,negative
0.135,negative
0.12,negative
0.105,negative
0.13,negative
0.14,negative
0.16,negative
0.15,negative
0.13,negative
0.145,negative
0.16,negative
0.115,negative
0.195,negative
0.09,negative
0.135,negative
0.16,negative
0.13,negative
0.13,negative
0.135,negative
0.15,negative
0.16,negative
0.15,negative
0.11,negative
0.1,negative
0.08,negative
0.11,negative
0.125,negative
0.14,negative
0.11,negative
0.11,negative
0.125,negative
0.105,negative
0.115,negative
0.15,negative
0.125,negative
0.16,negative
0.12,negative
0.19,positive
0.19,positive
0.2,positive
0.145,negative
0.165,negative
0.18,negative
0.14,negative
0.12,negative
0.13,negative
0.18,positive
0.13,negative
0.105,negative
0.15,negative
0.1,negative
0.09,negative
0.13,negative
0.115,negative
0.175,positive
0.135,negative
0.105,negative
0.19,positive
0.205,positive
0.11,negative
0.195,positive
0.12,negative
0.125,positive
0.13,positive
0.095,negative
0.18,positive
0.095,negative
0.1,negative
0.125,negative
0.14,negative
0.105,negative
0.105,negative
0.12,negative
0.155,positive
0.13,negative
0.08,negative
0.19,negative
0.12,negative
0.15,negative
0.16,negative
0.135,negative
0.16,negative
0.165,negative
0.18,negative
0.105,negative
0.12,negative
0.155,negative
0.15,negative
0.15,negative
0.14,negative
0.175,negative
0.15,negative
0.165,negative
0.16,negative
0.145,negative
0.16,negative
0.185,negative
0.19,negative
0.12,negative
0.125,negative
0.135,negative
0.14,negative
0.14,negative
0.13,negative
0.18,negative
0.135,negative
0.16,negative
0.14,negative
0.165,negative
0.14,negative
0.17,negative
0.155,negative
0.155,negative
0.155,negative
0.15,negative
0.16,negative
0.18,negative
0.125,negative
0.175,negative
0.155,negative
0.155,negative
0.165,negative
0.2,negative
0.11,negative
0.125,negative
0.135,negative
0.135,negative
0.12,negative
0.155,negative
0.15,negative
0.155,negative
0.15,negative
0.145,negative
0.145,negative
0.145,negative
0.155,negative
0.185,negative
0.14,negative
0.19,negative
0.17,negative
0.205,negative
0.19,negative
0.13,negative
0.105,negative
0.135,negative
0.14,negative
0.15,negative
0.155,negative
0.155,negative
0.16,negative
0.16,negative
0.16,negative
0.175,negative
0.16,negative
0.14,negative
0.125,negative
0.13,negative
0.145,negative
0.14,negative
0.13,negative
0.16,negative
0.17,negative
0.15,negative
0.135,negative
0.15,negative
0.125,negative
0.15,negative
0.135,negative
0.18,negative
0.135,negative
0.15,negative
0.18,negative
0.175,negative
0.17,negative
0.195,negative
0.21,negative
0.15,negative
0.135,negative
0.14,negative
0.11,negative
0.175,negative
0.16,negative
0.17,negative
0.17,negative
0.105,negative
0.105,negative
0.11,negative
0.145,negative
0.145,negative
0.135,negative
0.15,negative
0.16,negative
0.165,negative
0.15,negative
0.14,negative
0.16,negative
0.18,negative
0.155,negative
0.15,negative
0.16,negative
0.13,negative
0.12,negative
0.115,negative
0.13,negative
0.15,negative
0.155,negative
0.135,negative
0.125,negative
0.1,negative
0.1,negative
0.2,negative
0.125,negative
0.09,negative
0.11,negative
0.125,negative
0.115,negative
0.175,positive
0.12,negative
0.175,positive
0.155,negative
0.095,negative
0.08,negative
0.09,negative
0.195,positive
0.12,negative
0.125,negative
0.155,positive
0.125,negative
0.11,negative
0.165,positive
0.14,positive
0.19,positive
0.13,negative
0.12,negative
0.135,negative
0.09,negative
0.1,negative
0.095,negative
0.16,positive
0.085,negative
0.145,positive
0.15,positive
0.11,negative
0.12,negative
0.16,negative
0.115,negative
0.155,negative
0.15,negative
0.155,negative
0.165,negative
0.195,negative
0.17,negative
0.185,negative
0.135,negative
0.145,negative
0.165,negative
0.175,negative
0.18,negative
0.175,negative
0.175,negative
0.1,negative
0.125,negative
0.125,negative
0.125,negative
0.135,negative
0.13,negative
0.13,negative
0.13,negative
0.125,negative
0.16,negative
0.155,negative
0.165,negative
0.165,negative
0.165,negative
0.17,negative
0.145,negative
0.16,negative
0.175,negative
0.12,negative
0.16,negative
0.165,negative
0.16,negative
0.16,negative
0.19,negative
0.17,negative
0.175,negative
0.115,negative
0.1,negative
0.125,negative
0.12,negative
0.13,negative
0.13,negative
0.14,negative
0.125,negative
0.14,negative
0.135,negative
0.145,negative
0.15,negative
0.165,negative
0.14,negative
0.195,negative
0.2,negative
0.195,negative
0.105,negative
0.135,negative
0.12,negative
0.115,negative
0.18,negative
0.13,negative
0.155,negative
0.15,negative
0.17,negative
0.15,negative
0.14,negative
0.165,negative
0.12,negative
0.155,negative
0.13,negative
0.135,negative
0.145,negative
0.145,negative
0.125,negative
0.12,negative
0.15,negative
0.14,negative
0.125,negative
0.145,negative
0.155,negative
0.11,negative
0.14,negative
0.13,negative
0.175,negative
0.135,negative
0.1,negative
0.145,negative
0.145,negative
0.125,negative
0.155,negative
0.085,negative
0.19,negative
0.18,positive
0.16,negative
0.115,negative
0.09,negative
0.075,negative
0.155,negative
0.12,negative
0.125,negative
0.135,negative
0.19,positive
0.18,negative
0.18,negative
0.14,negative
0.15,negative
0.15,negative
0.17,negative
0.175,negative
0.16,negative
0.155,negative
0.175,negative
0.15,negative
0.18,negative
0.125,negative
0.125,negative
0.15,negative
0.155,negative
0.16,negative
0.18,negative
0.15,negative
0.18,negative
0.155,negative
0.18,negative
0.15,negative
0.16,negative
0.175,negative
0.18,negative
0.175,negative
0.13,negative
0.185,negative
0.135,negative
0.13,negative
0.14,negative
0.155,negative
0.135,negative
0.125,negative
0.205,negative
