job,day,month,duration,Class
management,5,may,261,negative
technician,5,may,151,negative
entrepreneur,5,may,76,negative
blue-collar,5,may,92,negative
unknown,5,may,198,negative
management,5,may,139,negative
management,5,may,217,negative
entrepreneur,5,may,380,negative
retired,5,may,50,negative
technician,5,may,55,negative
admin.,5,may,222,negative
admin.,5,may,137,negative
technician,5,may,517,negative
technician,5,may,71,negative
services,5,may,174,negative
retired,5,may,353,negative
admin.,5,may,98,negative
blue-collar,5,may,38,negative
retired,5,may,219,negative
services,5,may,54,negative
blue-collar,5,may,262,negative
management,5,may,164,negative
blue-collar,5,may,160,negative
services,5,may,342,negative
retired,5,may,181,negative
admin.,5,may,172,negative
management,5,may,296,negative
entrepreneur,5,may,127,negative
management,5,may,255,negative
technician,5,may,348,negative
technician,5,may,225,negative
management,5,may,230,negative
admin.,5,may,208,negative
blue-collar,5,may,226,negative
management,5,may,336,negative
technician,5,may,242,negative
blue-collar,5,may,365,negative
technician,5,may,1666,negative
admin.,5,may,577,negative
admin.,5,may,137,negative
services,5,may,160,negative
management,5,may,180,negative
blue-collar,5,may,22,negative
retired,5,may,1492,negative
retired,5,may,616,negative
admin.,5,may,242,negative
self-employed,5,may,355,negative
technician,5,may,225,negative
technician,5,may,160,negative
management,5,may,363,negative
blue-collar,5,may,266,negative
management,5,may,253,negative
management,5,may,179,negative
admin.,5,may,787,negative
technician,5,may,145,negative
entrepreneur,5,may,174,negative
management,5,may,104,negative
blue-collar,5,may,13,negative
blue-collar,5,may,185,negative
services,5,may,1778,negative
admin.,5,may,138,negative
technician,5,may,812,negative
blue-collar,5,may,164,negative
services,5,may,391,negative
blue-collar,5,may,357,negative
management,5,may,91,negative
retired,5,may,528,negative
management,5,may,273,negative
technician,5,may,158,negative
blue-collar,5,may,177,negative
blue-collar,5,may,258,negative
services,5,may,172,negative
management,5,may,154,negative
blue-collar,5,may,291,negative
technician,5,may,181,negative
technician,5,may,176,negative
blue-collar,5,may,211,negative
services,5,may,349,negative
services,5,may,272,negative
services,5,may,208,negative
admin.,5,may,193,negative
services,5,may,212,negative
technician,5,may,20,negative
self-employed,5,may,246,negative
blue-collar,5,may,529,negative
admin.,5,may,1467,positive
management,5,may,188,negative
retired,5,may,180,negative
management,5,may,48,negative
technician,5,may,213,negative
admin.,5,may,583,negative
blue-collar,5,may,221,negative
entrepreneur,5,may,173,negative
management,5,may,426,negative
blue-collar,5,may,287,negative
retired,5,may,101,negative
technician,5,may,203,negative
management,5,may,197,negative
blue-collar,5,may,257,negative
blue-collar,5,may,124,negative
blue-collar,5,may,229,negative
blue-collar,5,may,55,negative
technician,5,may,400,negative
blue-collar,5,may,197,negative
technician,5,may,190,negative
admin.,5,may,21,negative
retired,5,may,514,negative
management,5,may,849,negative
services,5,may,194,negative
technician,5,may,144,negative
self-employed,5,may,212,negative
blue-collar,5,may,286,negative
