age,job,marital,education,housing,loan,contact,day,month,duration,pdays,poutcome,Class
58,management,married,tertiary,yes,no,unknown,5,may,261,-1,unknown,negative
44,technician,single,secondary,yes,no,unknown,5,may,151,-1,unknown,negative
33,entrepreneur,married,secondary,yes,yes,unknown,5,may,76,-1,unknown,negative
47,blue-collar,married,unknown,yes,no,unknown,5,may,92,-1,unknown,negative
33,unknown,single,unknown,no,no,unknown,5,may,198,-1,unknown,negative
35,management,married,tertiary,yes,no,unknown,5,may,139,-1,unknown,negative
28,management,single,tertiary,yes,yes,unknown,5,may,217,-1,unknown,negative
42,entrepreneur,divorced,tertiary,yes,no,unknown,5,may,380,-1,unknown,negative
58,retired,married,primary,yes,no,unknown,5,may,50,-1,unknown,negative
43,technician,single,secondary,yes,no,unknown,5,may,55,-1,unknown,negative
41,admin.,divorced,secondary,yes,no,unknown,5,may,222,-1,unknown,negative
29,admin.,single,secondary,yes,no,unknown,5,may,137,-1,unknown,negative
53,technician,married,secondary,yes,no,unknown,5,may,517,-1,unknown,negative
58,technician,married,unknown,yes,no,unknown,5,may,71,-1,unknown,negative
57,services,married,secondary,yes,no,unknown,5,may,174,-1,unknown,negative
51,retired,married,primary,yes,no,unknown,5,may,353,-1,unknown,negative
45,admin.,single,unknown,yes,no,unknown,5,may,98,-1,unknown,negative
57,blue-collar,married,primary,yes,no,unknown,5,may,38,-1,unknown,negative
60,retired,married,primary,yes,no,unknown,5,may,219,-1,unknown,negative
33,services,married,secondary,yes,no,unknown,5,may,54,-1,unknown,negative
28,blue-collar,married,secondary,yes,yes,unknown,5,may,262,-1,unknown,negative
56,management,married,tertiary,yes,no,unknown,5,may,164,-1,unknown,negative
32,blue-collar,single,primary,yes,yes,unknown,5,may,160,-1,unknown,negative
25,services,married,secondary,yes,no,unknown,5,may,342,-1,unknown,negative
40,retired,married,primary,yes,yes,unknown,5,may,181,-1,unknown,negative
44,admin.,married,secondary,yes,no,unknown,5,may,172,-1,unknown,negative
39,management,single,tertiary,yes,no,unknown,5,may,296,-1,unknown,negative
52,entrepreneur,married,secondary,yes,yes,unknown,5,may,127,-1,unknown,negative
46,management,single,secondary,yes,no,unknown,5,may,255,-1,unknown,negative
36,technician,single,secondary,yes,yes,unknown,5,may,348,-1,unknown,negative
57,technician,married,secondary,no,yes,unknown,5,may,225,-1,unknown,negative
49,management,married,tertiary,yes,no,unknown,5,may,230,-1,unknown,negative
60,admin.,married,secondary,yes,yes,unknown,5,may,208,-1,unknown,negative
59,blue-collar,married,secondary,yes,no,unknown,5,may,226,-1,unknown,negative
51,management,married,tertiary,yes,no,unknown,5,may,336,-1,unknown,negative
57,technician,divorced,secondary,yes,no,unknown,5,may,242,-1,unknown,negative
25,blue-collar,married,secondary,yes,no,unknown,5,may,365,-1,unknown,negative
53,technician,married,secondary,no,no,unknown,5,may,1666,-1,unknown,negative
36,admin.,divorced,secondary,yes,no,unknown,5,may,577,-1,unknown,negative
37,admin.,single,secondary,yes,no,unknown,5,may,137,-1,unknown,negative
44,services,divorced,secondary,yes,no,unknown,5,may,160,-1,unknown,negative
50,management,married,secondary,yes,no,unknown,5,may,180,-1,unknown,negative
60,blue-collar,married,unknown,yes,no,unknown,5,may,22,-1,unknown,negative
54,retired,married,secondary,yes,no,unknown,5,may,1492,-1,unknown,negative
58,retired,married,unknown,yes,no,unknown,5,may,616,-1,unknown,negative
36,admin.,single,primary,yes,no,unknown,5,may,242,-1,unknown,negative
58,self-employed,married,tertiary,yes,no,unknown,5,may,355,-1,unknown,negative
44,technician,married,secondary,yes,no,unknown,5,may,225,-1,unknown,negative
55,technician,divorced,secondary,no,no,unknown,5,may,160,-1,unknown,negative
29,management,single,tertiary,yes,no,unknown,5,may,363,-1,unknown,negative
54,blue-collar,married,secondary,yes,no,unknown,5,may,266,-1,unknown,negative
48,management,divorced,tertiary,yes,no,unknown,5,may,253,-1,unknown,negative
32,management,married,tertiary,yes,no,unknown,5,may,179,-1,unknown,negative
42,admin.,single,secondary,yes,no,unknown,5,may,787,-1,unknown,negative
24,technician,single,secondary,yes,yes,unknown,5,may,145,-1,unknown,negative
38,entrepreneur,single,tertiary,no,yes,unknown,5,may,174,-1,unknown,negative
38,management,single,tertiary,yes,no,unknown,5,may,104,-1,unknown,negative
47,blue-collar,married,unknown,yes,no,unknown,5,may,13,-1,unknown,negative
40,blue-collar,single,unknown,yes,no,unknown,5,may,185,-1,unknown,negative
46,services,married,primary,yes,no,unknown,5,may,1778,-1,unknown,negative
32,admin.,married,tertiary,yes,no,unknown,5,may,138,-1,unknown,negative
53,technician,divorced,secondary,yes,no,unknown,5,may,812,-1,unknown,negative
57,blue-collar,married,primary,yes,no,unknown,5,may,164,-1,unknown,negative
33,services,married,secondary,yes,no,unknown,5,may,391,-1,unknown,negative
49,blue-collar,married,unknown,yes,no,unknown,5,may,357,-1,unknown,negative
51,management,married,tertiary,yes,no,unknown,5,may,91,-1,unknown,negative
60,retired,married,tertiary,no,no,unknown,5,may,528,-1,unknown,negative
59,management,divorced,tertiary,yes,no,unknown,5,may,273,-1,unknown,negative
55,technician,married,secondary,yes,no,unknown,5,may,158,-1,unknown,negative
35,blue-collar,single,secondary,yes,yes,unknown,5,may,177,-1,unknown,negative
57,blue-collar,married,secondary,yes,yes,unknown,5,may,258,-1,unknown,negative
31,services,married,secondary,yes,yes,unknown,5,may,172,-1,unknown,negative
54,management,married,secondary,yes,yes,unknown,5,may,154,-1,unknown,negative
55,blue-collar,married,primary,yes,no,unknown,5,may,291,-1,unknown,negative
43,technician,married,secondary,yes,no,unknown,5,may,181,-1,unknown,negative
53,technician,married,secondary,yes,no,unknown,5,may,176,-1,unknown,negative
44,blue-collar,married,secondary,no,yes,unknown,5,may,211,-1,unknown,negative
55,services,divorced,secondary,no,no,unknown,5,may,349,-1,unknown,negative
49,services,divorced,secondary,yes,yes,unknown,5,may,272,-1,unknown,negative
55,services,divorced,secondary,yes,no,unknown,5,may,208,-1,unknown,negative
45,admin.,single,secondary,yes,no,unknown,5,may,193,-1,unknown,negative
47,services,divorced,secondary,no,no,unknown,5,may,212,-1,unknown,negative
42,technician,single,secondary,yes,no,unknown,5,may,20,-1,unknown,negative
46,self-employed,married,tertiary,yes,yes,unknown,5,may,246,-1,unknown,negative
51,blue-collar,married,primary,yes,no,unknown,5,may,529,-1,unknown,negative
56,admin.,married,secondary,no,no,unknown,5,may,1467,-1,unknown,positive
46,management,divorced,secondary,yes,yes,unknown,5,may,188,-1,unknown,negative
57,retired,married,secondary,yes,no,unknown,5,may,180,-1,unknown,negative
42,management,single,secondary,no,no,unknown,5,may,48,-1,unknown,negative
30,technician,married,secondary,yes,yes,unknown,5,may,213,-1,unknown,negative
60,admin.,married,secondary,yes,no,unknown,5,may,583,-1,unknown,negative
60,blue-collar,married,unknown,yes,no,unknown,5,may,221,-1,unknown,negative
57,entrepreneur,divorced,secondary,no,no,unknown,5,may,173,-1,unknown,negative
36,management,married,tertiary,yes,yes,unknown,5,may,426,-1,unknown,negative
55,blue-collar,married,secondary,no,no,unknown,5,may,287,-1,unknown,negative
60,retired,married,tertiary,yes,no,unknown,5,may,101,-1,unknown,negative
39,technician,married,secondary,yes,no,unknown,5,may,203,-1,unknown,negative
46,management,married,tertiary,yes,no,unknown,5,may,197,-1,unknown,negative
44,blue-collar,married,secondary,yes,no,unknown,5,may,257,-1,unknown,negative
53,blue-collar,married,primary,no,no,unknown,5,may,124,-1,unknown,negative
