age,job,marital,education,housing,contact,day,month,duration,poutcome,Class
58,management,married,tertiary,yes,unknown,5,may,261,unknown,negative
44,technician,single,secondary,yes,unknown,5,may,151,unknown,negative
33,entrepreneur,married,secondary,yes,unknown,5,may,76,unknown,negative
47,blue-collar,married,unknown,yes,unknown,5,may,92,unknown,negative
33,unknown,single,unknown,no,unknown,5,may,198,unknown,negative
35,management,married,tertiary,yes,unknown,5,may,139,unknown,negative
28,management,single,tertiary,yes,unknown,5,may,217,unknown,negative
42,entrepreneur,divorced,tertiary,yes,unknown,5,may,380,unknown,negative
58,retired,married,primary,yes,unknown,5,may,50,unknown,negative
43,technician,single,secondary,yes,unknown,5,may,55,unknown,negative
41,admin.,divorced,secondary,yes,unknown,5,may,222,unknown,negative
29,admin.,single,secondary,yes,unknown,5,may,137,unknown,negative
53,technician,married,secondary,yes,unknown,5,may,517,unknown,negative
58,technician,married,unknown,yes,unknown,5,may,71,unknown,negative
57,services,married,secondary,yes,unknown,5,may,174,unknown,negative
51,retired,married,primary,yes,unknown,5,may,353,unknown,negative
45,admin.,single,unknown,yes,unknown,5,may,98,unknown,negative
57,blue-collar,married,primary,yes,unknown,5,may,38,unknown,negative
60,retired,married,primary,yes,unknown,5,may,219,unknown,negative
33,services,married,secondary,yes,unknown,5,may,54,unknown,negative
28,blue-collar,married,secondary,yes,unknown,5,may,262,unknown,negative
56,management,married,tertiary,yes,unknown,5,may,164,unknown,negative
32,blue-collar,single,primary,yes,unknown,5,may,160,unknown,negative
25,services,married,secondary,yes,unknown,5,may,342,unknown,negative
40,retired,married,primary,yes,unknown,5,may,181,unknown,negative
44,admin.,married,secondary,yes,unknown,5,may,172,unknown,negative
39,management,single,tertiary,yes,unknown,5,may,296,unknown,negative
52,entrepreneur,married,secondary,yes,unknown,5,may,127,unknown,negative
46,management,single,secondary,yes,unknown,5,may,255,unknown,negative
36,technician,single,secondary,yes,unknown,5,may,348,unknown,negative
57,technician,married,secondary,no,unknown,5,may,225,unknown,negative
49,management,married,tertiary,yes,unknown,5,may,230,unknown,negative
60,admin.,married,secondary,yes,unknown,5,may,208,unknown,negative
59,blue-collar,married,secondary,yes,unknown,5,may,226,unknown,negative
51,management,married,tertiary,yes,unknown,5,may,336,unknown,negative
57,technician,divorced,secondary,yes,unknown,5,may,242,unknown,negative
25,blue-collar,married,secondary,yes,unknown,5,may,365,unknown,negative
53,technician,married,secondary,no,unknown,5,may,1666,unknown,negative
36,admin.,divorced,secondary,yes,unknown,5,may,577,unknown,negative
37,admin.,single,secondary,yes,unknown,5,may,137,unknown,negative
44,services,divorced,secondary,yes,unknown,5,may,160,unknown,negative
50,management,married,secondary,yes,unknown,5,may,180,unknown,negative
60,blue-collar,married,unknown,yes,unknown,5,may,22,unknown,negative
54,retired,married,secondary,yes,unknown,5,may,1492,unknown,negative
58,retired,married,unknown,yes,unknown,5,may,616,unknown,negative
36,admin.,single,primary,yes,unknown,5,may,242,unknown,negative
58,self-employed,married,tertiary,yes,unknown,5,may,355,unknown,negative
44,technician,married,secondary,yes,unknown,5,may,225,unknown,negative
55,technician,divorced,secondary,no,unknown,5,may,160,unknown,negative
29,management,single,tertiary,yes,unknown,5,may,363,unknown,negative
54,blue-collar,married,secondary,yes,unknown,5,may,266,unknown,negative
48,management,divorced,tertiary,yes,unknown,5,may,253,unknown,negative
32,management,married,tertiary,yes,unknown,5,may,179,unknown,negative
42,admin.,single,secondary,yes,unknown,5,may,787,unknown,negative
24,technician,single,secondary,yes,unknown,5,may,145,unknown,negative
38,entrepreneur,single,tertiary,no,unknown,5,may,174,unknown,negative
38,management,single,tertiary,yes,unknown,5,may,104,unknown,negative
47,blue-collar,married,unknown,yes,unknown,5,may,13,unknown,negative
40,blue-collar,single,unknown,yes,unknown,5,may,185,unknown,negative
46,services,married,primary,yes,unknown,5,may,1778,unknown,negative
32,admin.,married,tertiary,yes,unknown,5,may,138,unknown,negative
53,technician,divorced,secondary,yes,unknown,5,may,812,unknown,negative
57,blue-collar,married,primary,yes,unknown,5,may,164,unknown,negative
33,services,married,secondary,yes,unknown,5,may,391,unknown,negative
49,blue-collar,married,unknown,yes,unknown,5,may,357,unknown,negative
51,management,married,tertiary,yes,unknown,5,may,91,unknown,negative
60,retired,married,tertiary,no,unknown,5,may,528,unknown,negative
59,management,divorced,tertiary,yes,unknown,5,may,273,unknown,negative
55,technician,married,secondary,yes,unknown,5,may,158,unknown,negative
35,blue-collar,single,secondary,yes,unknown,5,may,177,unknown,negative
57,blue-collar,married,secondary,yes,unknown,5,may,258,unknown,negative
31,services,married,secondary,yes,unknown,5,may,172,unknown,negative
54,management,married,secondary,yes,unknown,5,may,154,unknown,negative
55,blue-collar,married,primary,yes,unknown,5,may,291,unknown,negative
43,technician,married,secondary,yes,unknown,5,may,181,unknown,negative
53,technician,married,secondary,yes,unknown,5,may,176,unknown,negative
44,blue-collar,married,secondary,no,unknown,5,may,211,unknown,negative
55,services,divorced,secondary,no,unknown,5,may,349,unknown,negative
49,services,divorced,secondary,yes,unknown,5,may,272,unknown,negative
55,services,divorced,secondary,yes,unknown,5,may,208,unknown,negative
45,admin.,single,secondary,yes,unknown,5,may,193,unknown,negative
47,services,divorced,secondary,no,unknown,5,may,212,unknown,negative
42,technician,single,secondary,yes,unknown,5,may,20,unknown,negative
46,self-employed,married,tertiary,yes,unknown,5,may,246,unknown,negative
51,blue-collar,married,primary,yes,unknown,5,may,529,unknown,negative
56,admin.,married,secondary,no,unknown,5,may,1467,unknown,positive
46,management,divorced,secondary,yes,unknown,5,may,188,unknown,negative
57,retired,married,secondary,yes,unknown,5,may,180,unknown,negative
42,management,single,secondary,no,unknown,5,may,48,unknown,negative
30,technician,married,secondary,yes,unknown,5,may,213,unknown,negative
60,admin.,married,secondary,yes,unknown,5,may,583,unknown,negative
60,blue-collar,married,unknown,yes,unknown,5,may,221,unknown,negative
57,entrepreneur,divorced,secondary,no,unknown,5,may,173,unknown,negative
36,management,married,tertiary,yes,unknown,5,may,426,unknown,negative
55,blue-collar,married,secondary,no,unknown,5,may,287,unknown,negative
60,retired,married,tertiary,yes,unknown,5,may,101,unknown,negative
39,technician,married,secondary,yes,unknown,5,may,203,unknown,negative
46,management,married,tertiary,yes,unknown,5,may,197,unknown,negative
44,blue-collar,married,secondary,yes,unknown,5,may,257,unknown,negative
53,blue-collar,married,primary,no,unknown,5,may,124,unknown,negative
52,blue-collar,married,primary,yes,unknown,5,may,229,unknown,negative
59,blue-collar,married,primary,yes,unknown,5,may,55,unknown,negative
27,technician,single,tertiary,yes,unknown,5,may,400,unknown,negative
44,blue-collar,married,secondary,yes,unknown,5,may,197,unknown,negative
47,technician,married,tertiary,yes,unknown,5,may,190,unknown,negative
34,admin.,married,secondary,no,unknown,5,may,21,unknown,negative
59,retired,single,secondary,yes,unknown,5,may,514,unknown,negative
45,management,married,tertiary,yes,unknown,5,may,849,unknown,negative
29,services,divorced,secondary,yes,unknown,5,may,194,unknown,negative
46,technician,divorced,secondary,no,unknown,5,may,144,unknown,negative
56,self-employed,married,primary,yes,unknown,5,may,212,unknown,negative
36,blue-collar,married,primary,yes,unknown,5,may,286,unknown,negative
59,retired,divorced,primary,yes,unknown,5,may,107,unknown,negative
44,blue-collar,married,secondary,yes,unknown,5,may,247,unknown,negative
41,admin.,married,secondary,yes,unknown,5,may,518,unknown,negative
33,management,single,tertiary,yes,unknown,5,may,364,unknown,negative
59,management,divorced,tertiary,no,unknown,5,may,178,unknown,negative
57,technician,married,primary,no,unknown,5,may,98,unknown,negative
56,technician,divorced,unknown,yes,unknown,5,may,439,unknown,negative
51,blue-collar,married,secondary,yes,unknown,5,may,79,unknown,negative
34,admin.,married,unknown,yes,unknown,5,may,120,unknown,negative
43,services,married,secondary,yes,unknown,5,may,127,unknown,negative
52,technician,married,tertiary,no,unknown,5,may,175,unknown,negative
33,technician,single,secondary,yes,unknown,5,may,262,unknown,negative
29,admin.,single,secondary,yes,unknown,5,may,61,unknown,negative
34,services,married,secondary,yes,unknown,5,may,78,unknown,negative
31,blue-collar,married,secondary,yes,unknown,5,may,143,unknown,negative
55,services,married,secondary,yes,unknown,5,may,579,unknown,positive
55,management,married,unknown,no,unknown,5,may,677,unknown,negative
32,admin.,single,secondary,yes,unknown,5,may,345,unknown,negative
38,technician,single,secondary,yes,unknown,5,may,185,unknown,negative
55,admin.,single,secondary,yes,unknown,5,may,100,unknown,negative
28,unemployed,single,tertiary,yes,unknown,5,may,125,unknown,negative
23,blue-collar,married,secondary,yes,unknown,5,may,193,unknown,negative
32,technician,single,secondary,yes,unknown,5,may,136,unknown,negative
43,services,single,unknown,no,unknown,5,may,73,unknown,negative
32,blue-collar,married,secondary,yes,unknown,5,may,528,unknown,negative
46,blue-collar,married,secondary,yes,unknown,5,may,541,unknown,negative
53,housemaid,divorced,primary,yes,unknown,5,may,163,unknown,negative
34,self-employed,single,secondary,yes,unknown,5,may,301,unknown,negative
57,unemployed,married,tertiary,no,unknown,5,may,46,unknown,negative
37,blue-collar,married,secondary,yes,unknown,5,may,204,unknown,negative
59,blue-collar,married,secondary,yes,unknown,5,may,98,unknown,negative
33,services,married,secondary,yes,unknown,5,may,71,unknown,negative
56,blue-collar,divorced,primary,yes,unknown,5,may,157,unknown,negative
48,unemployed,married,secondary,yes,unknown,5,may,243,unknown,negative
43,services,married,primary,yes,unknown,5,may,186,unknown,negative
54,blue-collar,married,primary,yes,unknown,5,may,579,unknown,negative
51,blue-collar,married,unknown,yes,unknown,5,may,163,unknown,negative
26,student,single,secondary,yes,unknown,5,may,610,unknown,negative
40,management,married,tertiary,yes,unknown,5,may,2033,unknown,negative
39,management,married,secondary,yes,unknown,5,may,85,unknown,negative
50,technician,married,primary,no,unknown,5,may,114,unknown,negative
41,services,married,secondary,yes,unknown,5,may,114,unknown,negative
51,blue-collar,married,unknown,yes,unknown,5,may,57,unknown,negative
60,retired,divorced,secondary,yes,unknown,5,may,238,unknown,negative
52,blue-collar,married,secondary,yes,unknown,5,may,93,unknown,negative
48,blue-collar,married,secondary,yes,unknown,5,may,128,unknown,negative
48,services,married,unknown,yes,unknown,5,may,107,unknown,negative
39,technician,single,tertiary,yes,unknown,5,may,181,unknown,negative
47,services,single,secondary,yes,unknown,5,may,303,unknown,negative
40,blue-collar,married,secondary,yes,unknown,5,may,558,unknown,negative
45,technician,married,secondary,yes,unknown,5,may,270,unknown,negative
26,admin.,single,secondary,yes,unknown,5,may,228,unknown,negative
52,management,married,tertiary,yes,unknown,5,may,99,unknown,negative
54,technician,married,secondary,yes,unknown,5,may,240,unknown,negative
50,blue-collar,married,primary,no,unknown,5,may,233,unknown,negative
35,blue-collar,married,secondary,yes,unknown,5,may,1056,unknown,negative
44,services,married,secondary,yes,unknown,5,may,250,unknown,negative
53,entrepreneur,married,unknown,yes,unknown,5,may,252,unknown,negative
35,retired,single,primary,no,unknown,5,may,138,unknown,negative
60,admin.,divorced,secondary,yes,unknown,5,may,130,unknown,negative
53,admin.,divorced,secondary,yes,unknown,5,may,412,unknown,negative
48,unemployed,married,secondary,yes,unknown,5,may,179,unknown,negative
34,technician,married,secondary,yes,unknown,5,may,19,unknown,negative
54,services,married,secondary,yes,unknown,5,may,458,unknown,negative
51,management,married,secondary,yes,unknown,5,may,717,unknown,negative
31,services,married,tertiary,yes,unknown,5,may,313,unknown,negative
35,technician,divorced,secondary,yes,unknown,5,may,683,unknown,negative
35,services,married,secondary,yes,unknown,5,may,1077,unknown,negative
38,technician,married,secondary,yes,unknown,5,may,416,unknown,negative
36,admin.,married,tertiary,yes,unknown,5,may,146,unknown,negative
58,retired,married,primary,yes,unknown,5,may,167,unknown,negative
40,services,divorced,unknown,yes,unknown,5,may,315,unknown,negative
54,management,married,secondary,no,unknown,5,may,140,unknown,negative
