age,job,marital,education,contact,day,month,duration,Class
58,management,married,tertiary,unknown,5,may,261,negative
44,technician,single,secondary,unknown,5,may,151,negative
33,entrepreneur,married,secondary,unknown,5,may,76,negative
47,blue-collar,married,unknown,unknown,5,may,92,negative
33,unknown,single,unknown,unknown,5,may,198,negative
35,management,married,tertiary,unknown,5,may,139,negative
28,management,single,tertiary,unknown,5,may,217,negative
42,entrepreneur,divorced,tertiary,unknown,5,may,380,negative
58,retired,married,primary,unknown,5,may,50,negative
43,technician,single,secondary,unknown,5,may,55,negative
41,admin.,divorced,secondary,unknown,5,may,222,negative
29,admin.,single,secondary,unknown,5,may,137,negative
53,technician,married,secondary,unknown,5,may,517,negative
58,technician,married,unknown,unknown,5,may,71,negative
57,services,married,secondary,unknown,5,may,174,negative
51,retired,married,primary,unknown,5,may,353,negative
45,admin.,single,unknown,unknown,5,may,98,negative
57,blue-collar,married,primary,unknown,5,may,38,negative
60,retired,married,primary,unknown,5,may,219,negative
33,services,married,secondary,unknown,5,may,54,negative
28,blue-collar,married,secondary,unknown,5,may,262,negative
56,management,married,tertiary,unknown,5,may,164,negative
32,blue-collar,single,primary,unknown,5,may,160,negative
25,services,married,secondary,unknown,5,may,342,negative
40,retired,married,primary,unknown,5,may,181,negative
44,admin.,married,secondary,unknown,5,may,172,negative
39,management,single,tertiary,unknown,5,may,296,negative
52,entrepreneur,married,secondary,unknown,5,may,127,negative
46,management,single,secondary,unknown,5,may,255,negative
36,technician,single,secondary,unknown,5,may,348,negative
57,technician,married,secondary,unknown,5,may,225,negative
49,management,married,tertiary,unknown,5,may,230,negative
60,admin.,married,secondary,unknown,5,may,208,negative
59,blue-collar,married,secondary,unknown,5,may,226,negative
51,management,married,tertiary,unknown,5,may,336,negative
57,technician,divorced,secondary,unknown,5,may,242,negative
25,blue-collar,married,secondary,unknown,5,may,365,negative
53,technician,married,secondary,unknown,5,may,1666,negative
36,admin.,divorced,secondary,unknown,5,may,577,negative
37,admin.,single,secondary,unknown,5,may,137,negative
44,services,divorced,secondary,unknown,5,may,160,negative
