Day_Mins,Day_Charge,Eve_Mins,Eve_Charge,Night_Calls,Intl_Mins,Intl_Charge,CustServ_Calls,Class
265.1,45.07,197.4,16.78,91,10,2.7,1,negative
161.6,27.47,195.5,16.62,103,13.7,3.7,1,negative
243.4,41.38,121.2,10.3,104,12.2,3.29,0,negative
299.4,50.9,61.9,5.26,89,6.6,1.78,2,negative
166.7,28.34,148.3,12.61,121,10.1,2.73,3,negative
223.4,37.98,220.6,18.75,118,6.3,1.7,0,negative
218.2,37.09,348.5,29.62,118,7.5,2.03,3,negative
157,26.69,103.1,8.76,96,7.1,1.92,0,negative
184.5,31.37,351.6,29.89,90,8.7,2.35,1,negative
258.6,43.96,222,18.87,97,11.2,3.02,0,negative
129.1,21.95,228.5,19.42,111,12.7,3.43,4,positive
187.7,31.91,163.4,13.89,94,9.1,2.46,0,negative
128.8,21.9,104.9,8.92,128,11.2,3.02,1,negative
156.6,26.62,247.6,21.05,115,12.3,3.32,3,negative
120.7,20.52,307.2,26.11,99,13.1,3.54,4,negative
332.9,56.59,317.8,27.01,128,5.4,1.46,4,positive
196.4,33.39,280.9,23.88,75,13.8,3.73,1,negative
190.7,32.42,218.2,18.55,121,8.1,2.19,3,negative
189.7,32.25,212.8,18.09,108,10,2.7,1,negative
224.4,38.15,159.5,13.56,74,13,3.51,1,negative
155.1,26.37,239.7,20.37,133,10.6,2.86,0,negative
62.4,10.61,169.9,14.44,64,5.7,1.54,5,positive
183,31.11,72.9,6.2,78,9.5,2.57,0,negative
110.4,18.77,137.3,11.67,105,7.7,2.08,2,negative
81.1,13.79,245.2,20.84,115,10.3,2.78,0,negative
124.3,21.13,277.1,23.55,115,15.5,4.19,3,negative
213,36.21,191.1,16.24,115,9.5,2.57,0,negative
134.3,22.83,155.5,13.22,68,14.7,3.97,3,negative
190,32.3,258.2,21.95,102,6.3,1.7,0,negative
119.3,20.28,215.1,18.28,90,11.1,3,1,negative
84.8,14.42,136.7,11.62,148,14.2,3.83,2,negative
226.1,38.44,201.5,17.13,98,10.3,2.78,1,negative
212,36.04,31.2,2.65,78,12.6,3.4,3,negative
249.6,42.43,252.4,21.45,90,11.8,3.19,1,positive
176.8,30.06,195,16.58,116,8.3,2.24,0,negative
220,37.4,217.3,18.47,71,14.7,3.97,3,negative
146.3,24.87,162.5,13.81,109,14.5,3.92,0,negative
130.8,22.24,223.7,19.01,108,10,2.7,1,negative
203.9,34.66,187.6,15.95,107,10.5,2.84,3,negative
140.4,23.87,271.8,23.1,108,11.1,3,1,negative
126.3,21.47,166.8,14.18,135,9.4,2.54,3,negative
173.1,29.43,203.9,17.33,78,14.6,3.94,0,positive
124.8,21.22,282.2,23.99,78,10,2.7,2,negative
85.8,14.59,165.3,14.05,92,9.2,2.48,3,negative
154,26.18,225.8,19.19,86,3.5,0.95,1,negative
120.9,20.55,213,18.11,116,8.5,2.3,2,negative
211.3,35.92,162.6,13.82,118,13.2,3.56,3,negative
187,31.79,134.6,11.44,127,7.4,2,2,negative
159.1,27.05,231.3,19.66,91,8.8,2.38,5,positive
133.2,22.64,217.2,18.46,79,11,2.97,1,negative
191.9,32.62,269.8,22.93,87,7.8,2.11,3,negative
220.6,37.5,211.1,17.94,129,6.8,1.84,1,negative
