Day_Mins,Day_Charge,Eve_Charge,Intl_Mins,Intl_Charge,CustServ_Calls,Class
265.1,45.07,16.78,10,2.7,1,negative
161.6,27.47,16.62,13.7,3.7,1,negative
243.4,41.38,10.3,12.2,3.29,0,negative
299.4,50.9,5.26,6.6,1.78,2,negative
166.7,28.34,12.61,10.1,2.73,3,negative
223.4,37.98,18.75,6.3,1.7,0,negative
218.2,37.09,29.62,7.5,2.03,3,negative
157,26.69,8.76,7.1,1.92,0,negative
184.5,31.37,29.89,8.7,2.35,1,negative
258.6,43.96,18.87,11.2,3.02,0,negative
129.1,21.95,19.42,12.7,3.43,4,positive
187.7,31.91,13.89,9.1,2.46,0,negative
128.8,21.9,8.92,11.2,3.02,1,negative
156.6,26.62,21.05,12.3,3.32,3,negative
120.7,20.52,26.11,13.1,3.54,4,negative
332.9,56.59,27.01,5.4,1.46,4,positive
196.4,33.39,23.88,13.8,3.73,1,negative
190.7,32.42,18.55,8.1,2.19,3,negative
189.7,32.25,18.09,10,2.7,1,negative
224.4,38.15,13.56,13,3.51,1,negative
155.1,26.37,20.37,10.6,2.86,0,negative
62.4,10.61,14.44,5.7,1.54,5,positive
183,31.11,6.2,9.5,2.57,0,negative
110.4,18.77,11.67,7.7,2.08,2,negative
81.1,13.79,20.84,10.3,2.78,0,negative
124.3,21.13,23.55,15.5,4.19,3,negative
213,36.21,16.24,9.5,2.57,0,negative
134.3,22.83,13.22,14.7,3.97,3,negative
190,32.3,21.95,6.3,1.7,0,negative
119.3,20.28,18.28,11.1,3,1,negative
84.8,14.42,11.62,14.2,3.83,2,negative
226.1,38.44,17.13,10.3,2.78,1,negative
212,36.04,2.65,12.6,3.4,3,negative
249.6,42.43,21.45,11.8,3.19,1,positive
176.8,30.06,16.58,8.3,2.24,0,negative
220,37.4,18.47,14.7,3.97,3,negative
146.3,24.87,13.81,14.5,3.92,0,negative
130.8,22.24,19.01,10,2.7,1,negative
203.9,34.66,15.95,10.5,2.84,3,negative
140.4,23.87,23.1,11.1,3,1,negative
126.3,21.47,14.18,9.4,2.54,3,negative
173.1,29.43,17.33,14.6,3.94,0,positive
124.8,21.22,23.99,10,2.7,2,negative
85.8,14.59,14.05,9.2,2.48,3,negative
154,26.18,19.19,3.5,0.95,1,negative
120.9,20.55,18.11,8.5,2.3,2,negative
211.3,35.92,13.82,13.2,3.56,3,negative
187,31.79,11.44,7.4,2,2,negative
159.1,27.05,19.66,8.8,2.38,5,positive
133.2,22.64,18.46,11,2.97,1,negative
191.9,32.62,22.93,7.8,2.11,3,negative
220.6,37.5,17.94,6.8,1.84,1,negative
186.1,31.64,16.17,11.4,3.08,2,negative
160.2,27.23,22.74,9.3,2.51,2,negative
151,25.67,18.67,9.7,2.62,5,positive
175.5,29.84,21.19,10.2,2.75,1,negative
126.9,21.57,15.3,8,2.16,1,negative
198.4,33.73,6.4,5.8,1.57,3,positive
148.8,25.3,20.95,12.1,3.27,3,negative
229.3,38.98,15.08,12,3.24,1,negative
192.1,32.66,14.44,11.4,3.08,1,negative
268.6,45.66,15.15,11.6,3.13,2,negative
193.7,32.93,20.92,14.6,3.94,2,negative
180.7,30.72,15.96,12.6,3.4,3,negative
131.2,22.3,13.85,8.2,2.21,2,negative
148.1,25.18,14.41,6.2,1.67,2,negative
251.5,42.76,18.09,9.3,2.51,0,negative
125.2,21.28,17.54,8.3,2.24,0,negative
211.6,35.97,18.44,7.8,2.11,1,negative
178.9,30.41,14.37,13.8,3.73,4,positive
241.8,41.11,14.49,11.8,3.19,3,negative
224.9,38.23,16,12.1,3.27,0,negative
248.6,42.26,12.66,8,2.16,3,negative
203.4,34.58,19.27,7.3,1.97,1,negative
235.8,40.09,13.36,12,3.24,0,negative
157.1,26.71,18.98,6.1,1.65,1,negative
300.3,51.05,15.39,11.7,3.16,0,positive
61.6,10.47,6.55,8.2,2.21,4,positive
214.1,36.4,13.97,8.2,2.21,2,negative
170.2,28.93,13.19,15,4.05,1,negative
201.1,34.19,25.8,13.2,3.56,1,negative
215.4,36.62,17.41,12.6,3.4,3,negative
165.6,28.15,11.57,11,2.97,3,negative
249.5,42.42,22.07,9.8,2.65,1,negative
210.6,35.8,21.18,12.4,3.35,2,positive
179.3,30.48,19.2,8.6,2.32,0,negative
157.9,26.84,13.18,8,2.16,4,positive
214.3,36.43,17.72,12,3.24,1,negative
154.1,26.2,10.49,10.9,2.94,2,negative
237.9,40.44,21.05,13.9,3.75,1,positive
143.9,24.46,16.57,11.1,3,1,negative
203.4,34.58,16.23,8.9,2.4,0,positive
124.3,21.13,14.71,7.9,2.13,1,negative
252.9,42.99,15.16,9.5,2.57,3,negative
179.1,30.45,16.2,10.6,2.86,3,negative
278.4,47.33,6.89,9.8,2.65,1,negative
160.1,27.22,18.13,13,3.51,0,negative
198.2,33.69,17.62,8.7,2.35,4,negative
212.1,36.06,17.8,5.3,1.43,1,positive
251.8,42.81,17.48,9.8,2.65,2,positive
161.2,27.4,21.44,4.4,1.19,4,negative
178.3,30.31,16.07,14.6,3.94,0,negative
151.7,25.79,10.12,10.5,2.84,0,negative
135,22.95,15.61,12.5,3.38,1,negative
170.5,28.99,14.76,11.3,3.05,1,negative
238.1,40.48,15.91,11.8,3.19,4,negative
281.4,47.84,17.19,9,2.43,2,negative
117.9,20.04,13.98,9.8,2.65,1,negative
148.6,25.26,11.14,10.1,2.73,1,negative
229.8,39.07,12.57,9.6,2.59,3,negative
165,28.05,26.96,8.3,2.24,1,negative
185,31.45,18.98,12.6,3.4,2,negative
161,27.37,16.23,12.1,3.27,4,negative
126.7,21.54,17.51,13.3,3.59,1,negative
58.9,10.01,14.42,9.4,2.54,1,negative
196.8,33.46,21.67,20,5.4,0,positive
162.6,27.64,12.95,14.2,3.83,1,negative
282.5,48.03,18.69,9.4,2.54,1,positive
113.7,19.33,13.39,10,2.7,2,negative
239.8,40.77,18.26,8.7,2.35,2,negative
210.2,35.73,19.32,13.1,3.54,1,negative
213.8,36.35,12.05,7.2,1.94,0,negative
190.7,32.42,15.6,9.8,2.65,3,negative
170.9,29.05,11.25,11.6,3.13,1,negative
154.2,26.21,9.37,9.2,2.48,2,negative
201.4,34.24,19.5,12,3.24,1,negative
70.7,12.02,13.39,9.1,2.46,4,positive
187.5,31.88,12.46,6.4,1.73,4,positive
91.7,15.59,16.46,9.2,2.48,2,negative
214.2,36.41,13.74,9.5,2.57,3,negative
145.5,24.74,18.5,10.9,2.94,3,negative
166.3,28.27,13.45,6.1,1.65,1,negative
231,39.27,19.58,9.5,2.57,1,negative
200.3,34.05,17.1,7.1,1.92,4,negative
197,33.49,17.22,9.1,2.46,1,negative
129.9,22.08,14.73,11.2,3.02,3,negative
175.8,29.89,18.49,5.3,1.43,5,negative
203.1,34.53,17.86,12,3.24,3,negative
183.2,31.14,10.78,11.2,3.02,1,negative
205,34.85,12.92,10.2,2.75,2,negative
148.5,25.25,23.49,12.4,3.35,1,negative
200.3,34.05,18.73,10.5,2.84,0,negative
192.6,32.74,16.62,6.8,1.84,3,negative
246.5,41.91,16.62,11.7,3.16,1,negative
167.1,28.41,15.09,14.1,3.81,2,positive
231.9,39.42,13.61,14.3,3.86,3,negative
146.7,24.94,17.3,13.7,3.7,1,negative
271.5,46.16,18.39,11.7,3.16,1,negative
181.5,30.86,18.56,8.5,2.3,1,negative
257.7,43.81,13.78,11.1,3,2,negative
193.8,32.95,18.82,10.6,2.86,1,negative
102.8,17.48,17.57,10.1,2.73,1,negative
187.9,31.94,13.4,7.5,2.03,1,negative
226,38.42,21.12,6.9,1.86,1,negative
260.4,44.27,12.41,11.5,3.11,5,negative
178.7,30.38,24.83,9.8,2.65,0,negative
337.4,57.36,19.33,15.8,4.27,0,positive
157.6,26.79,21,13.7,3.7,0,negative
183.6,31.21,21.82,10.2,2.75,1,negative
142.1,24.16,15.59,9.6,2.59,1,negative
136.3,23.17,14.64,7.1,1.92,0,negative
217.1,36.91,20.53,12,3.24,0,negative
187.5,31.88,20.52,10.5,2.84,3,negative
98.9,16.81,11.51,12.2,3.29,1,negative
206.3,35.07,12.63,6.1,1.65,1,negative
243.1,41.33,18.17,12.1,3.27,2,negative
189.8,32.27,13.88,7.5,2.03,1,negative
202,34.34,20.67,10.9,2.94,1,negative
170.1,28.92,16.43,12.8,3.46,1,negative
230.9,39.25,15.93,6.3,1.7,0,negative
237.1,40.31,19,13.2,3.56,1,negative
182.1,30.96,14.42,10.6,2.86,2,negative
119.3,20.28,17.98,10.5,2.84,3,negative
116.8,19.86,15.21,14.1,3.81,1,negative
219.2,37.26,12.7,6.1,1.65,0,negative
252.6,42.94,14.37,11.1,3,2,negative
147.1,25.01,16.18,12.2,3.29,0,negative
202.1,34.36,19.5,11.5,3.11,2,negative
173.5,29.5,16.5,16.2,4.37,3,negative
232.1,39.46,24.85,0,0,3,negative
197.1,33.51,18.23,9.5,2.57,4,negative
58.2,9.89,11.79,11.9,3.21,5,positive
115.6,19.65,20.2,9.9,2.67,2,negative
186.1,31.64,21.62,14.6,3.94,2,negative
259.9,44.18,20.83,8.4,2.27,3,negative
214.3,36.43,22.82,10.8,2.92,1,negative
158.7,26.98,5.47,10.2,2.75,1,negative
271.6,46.17,19.5,10.9,2.94,2,negative
160.6,27.3,13.87,9,2.43,1,negative
232.4,39.51,15.93,9.1,2.46,1,negative
133.8,22.75,15.34,8.9,2.4,0,negative
176.9,30.07,7.71,9.5,2.57,1,negative
209.9,35.68,16.58,8.8,2.38,2,negative
137.5,23.38,17.27,13.4,3.62,0,negative
289.5,49.22,14.16,9.5,2.57,1,negative
198.1,33.68,15.05,6.8,1.84,1,negative
149.7,25.45,15.49,9.7,2.62,0,negative
326.5,55.51,14.99,10.7,2.89,2,positive
292.9,49.79,16.97,13.8,3.73,4,positive
83,14.11,15.05,13,3.51,0,negative
145.7,24.77,18.74,13.1,3.54,3,negative
182.3,30.99,27.9,11.2,3.02,2,negative
218,37.06,15.64,6.4,1.73,3,negative
140.6,23.9,15.18,6.8,1.84,2,negative
152.7,25.96,21.89,9.4,2.54,1,negative
106.7,18.14,17.83,12.1,3.27,1,negative
243.8,41.45,7.13,13.7,3.7,2,negative
194.4,33.05,15.87,10.8,2.92,3,negative
213.9,36.36,12.91,12.2,3.29,3,negative
217.2,36.92,20.97,15.8,4.27,3,negative
241.1,40.99,13.23,11.6,3.13,1,negative
203.5,34.6,21.05,11.9,3.21,0,negative
155.2,26.38,20.78,10.7,2.89,1,negative
167.6,28.49,9.61,12.2,3.29,1,negative
226.7,38.54,19.39,17.6,4.75,2,positive
179.3,30.48,15.18,11.5,3.11,3,negative
151.4,25.74,15.84,10.9,2.94,0,negative
180,30.6,19.06,4.7,1.27,3,negative
250.2,42.53,22.7,13,3.51,1,positive
223,37.91,9.36,7.1,1.92,0,negative
183.6,31.21,12.97,12.2,3.29,3,negative
166,28.22,14.83,10.2,2.75,1,negative
136.1,23.14,23.2,4.4,1.19,1,negative
149.3,25.38,20.59,8.9,2.4,2,negative
65.4,11.12,14.3,13.8,3.73,2,negative
213.4,36.28,19.93,2.7,0.73,1,negative
206.9,35.17,20.8,7.7,2.08,3,negative
186.2,31.65,16.12,9.6,2.59,2,negative
280.2,47.63,18.74,13.3,3.59,4,negative
196.6,33.42,26.62,11.9,3.21,0,negative
312,53.04,11,10.5,2.84,0,positive
199,33.83,24.76,11,2.97,1,negative
203.1,34.53,18.45,13.5,3.65,3,negative
168.8,28.7,18.73,10.9,2.94,0,negative
173.1,29.43,20.43,9,2.43,1,negative
134.4,22.85,17.96,10.2,2.75,5,positive
202.6,34.44,10.1,9,2.43,2,negative
74.5,12.67,17.07,9.8,2.65,3,negative
83.6,14.21,10.28,10.7,2.89,0,negative
192.2,32.67,14.33,9.4,2.54,1,negative
220.2,37.43,7.51,12.9,3.48,0,negative
135.1,22.97,11.4,12.3,3.32,2,positive
253.4,43.08,15.5,8.4,2.27,1,negative
225,38.25,15.04,7.1,1.92,3,negative
198.5,33.75,22.76,9.4,2.54,0,positive
110.3,18.75,14.15,9.5,2.57,0,negative
60,10.2,8.69,11.1,3,0,negative
214.8,36.52,12.72,10.2,2.75,0,negative
181.8,30.91,17.2,9.2,2.48,4,negative
154,26.18,23.63,11.8,3.19,2,negative
157.4,26.76,10.02,13.9,3.75,4,positive
207.9,35.34,14.62,14.4,3.89,4,negative
207,35.19,19.8,9.1,2.46,3,negative
119,20.23,19.55,9.5,2.57,0,negative
143.7,24.43,23.21,10.9,2.94,0,negative
165.9,28.2,18.4,14.1,3.81,4,negative
138.6,23.56,14.65,9.8,2.65,1,negative
84.7,14.4,21.24,14.5,3.92,1,negative
62.6,10.64,15.35,10.4,2.81,1,positive
155.2,26.38,20,8.7,2.35,1,negative
164.9,28.03,17.79,6.7,1.81,1,negative
134.5,22.87,12.16,15.4,4.16,1,negative
143.3,24.36,17.96,11.5,3.11,1,negative
168.3,28.61,18.8,12.5,3.38,1,negative
262.4,44.61,16.54,8.3,2.24,2,negative
