Day_Mins,Day_Charge,Intl_Mins,Intl_Charge,CustServ_Calls,Class
265.1,45.07,10,2.7,1,negative
161.6,27.47,13.7,3.7,1,negative
243.4,41.38,12.2,3.29,0,negative
299.4,50.9,6.6,1.78,2,negative
166.7,28.34,10.1,2.73,3,negative
223.4,37.98,6.3,1.7,0,negative
218.2,37.09,7.5,2.03,3,negative
157,26.69,7.1,1.92,0,negative
184.5,31.37,8.7,2.35,1,negative
258.6,43.96,11.2,3.02,0,negative
129.1,21.95,12.7,3.43,4,positive
187.7,31.91,9.1,2.46,0,negative
128.8,21.9,11.2,3.02,1,negative
156.6,26.62,12.3,3.32,3,negative
120.7,20.52,13.1,3.54,4,negative
332.9,56.59,5.4,1.46,4,positive
196.4,33.39,13.8,3.73,1,negative
190.7,32.42,8.1,2.19,3,negative
189.7,32.25,10,2.7,1,negative
224.4,38.15,13,3.51,1,negative
155.1,26.37,10.6,2.86,0,negative
62.4,10.61,5.7,1.54,5,positive
183,31.11,9.5,2.57,0,negative
110.4,18.77,7.7,2.08,2,negative
81.1,13.79,10.3,2.78,0,negative
124.3,21.13,15.5,4.19,3,negative
213,36.21,9.5,2.57,0,negative
134.3,22.83,14.7,3.97,3,negative
190,32.3,6.3,1.7,0,negative
119.3,20.28,11.1,3,1,negative
84.8,14.42,14.2,3.83,2,negative
226.1,38.44,10.3,2.78,1,negative
212,36.04,12.6,3.4,3,negative
249.6,42.43,11.8,3.19,1,positive
176.8,30.06,8.3,2.24,0,negative
220,37.4,14.7,3.97,3,negative
146.3,24.87,14.5,3.92,0,negative
130.8,22.24,10,2.7,1,negative
203.9,34.66,10.5,2.84,3,negative
140.4,23.87,11.1,3,1,negative
126.3,21.47,9.4,2.54,3,negative
173.1,29.43,14.6,3.94,0,positive
124.8,21.22,10,2.7,2,negative
85.8,14.59,9.2,2.48,3,negative
154,26.18,3.5,0.95,1,negative
120.9,20.55,8.5,2.3,2,negative
211.3,35.92,13.2,3.56,3,negative
187,31.79,7.4,2,2,negative
159.1,27.05,8.8,2.38,5,positive
133.2,22.64,11,2.97,1,negative
191.9,32.62,7.8,2.11,3,negative
220.6,37.5,6.8,1.84,1,negative
186.1,31.64,11.4,3.08,2,negative
160.2,27.23,9.3,2.51,2,negative
151,25.67,9.7,2.62,5,positive
175.5,29.84,10.2,2.75,1,negative
126.9,21.57,8,2.16,1,negative
198.4,33.73,5.8,1.57,3,positive
148.8,25.3,12.1,3.27,3,negative
229.3,38.98,12,3.24,1,negative
192.1,32.66,11.4,3.08,1,negative
268.6,45.66,11.6,3.13,2,negative
193.7,32.93,14.6,3.94,2,negative
180.7,30.72,12.6,3.4,3,negative
131.2,22.3,8.2,2.21,2,negative
148.1,25.18,6.2,1.67,2,negative
251.5,42.76,9.3,2.51,0,negative
125.2,21.28,8.3,2.24,0,negative
211.6,35.97,7.8,2.11,1,negative
178.9,30.41,13.8,3.73,4,positive
241.8,41.11,11.8,3.19,3,negative
224.9,38.23,12.1,3.27,0,negative
248.6,42.26,8,2.16,3,negative
203.4,34.58,7.3,1.97,1,negative
