Day_Mins,Day_Charge,Intl_Charge,CustServ_Calls,Class
265.1,45.07,2.7,1,negative
161.6,27.47,3.7,1,negative
243.4,41.38,3.29,0,negative
299.4,50.9,1.78,2,negative
166.7,28.34,2.73,3,negative
223.4,37.98,1.7,0,negative
218.2,37.09,2.03,3,negative
157,26.69,1.92,0,negative
184.5,31.37,2.35,1,negative
258.6,43.96,3.02,0,negative
129.1,21.95,3.43,4,positive
187.7,31.91,2.46,0,negative
128.8,21.9,3.02,1,negative
156.6,26.62,3.32,3,negative
120.7,20.52,3.54,4,negative
332.9,56.59,1.46,4,positive
196.4,33.39,3.73,1,negative
190.7,32.42,2.19,3,negative
189.7,32.25,2.7,1,negative
224.4,38.15,3.51,1,negative
155.1,26.37,2.86,0,negative
62.4,10.61,1.54,5,positive
183,31.11,2.57,0,negative
110.4,18.77,2.08,2,negative
81.1,13.79,2.78,0,negative
124.3,21.13,4.19,3,negative
213,36.21,2.57,0,negative
134.3,22.83,3.97,3,negative
190,32.3,1.7,0,negative
119.3,20.28,3,1,negative
84.8,14.42,3.83,2,negative
226.1,38.44,2.78,1,negative
212,36.04,3.4,3,negative
249.6,42.43,3.19,1,positive
176.8,30.06,2.24,0,negative
220,37.4,3.97,3,negative
146.3,24.87,3.92,0,negative
130.8,22.24,2.7,1,negative
203.9,34.66,2.84,3,negative
140.4,23.87,3,1,negative
126.3,21.47,2.54,3,negative
173.1,29.43,3.94,0,positive
124.8,21.22,2.7,2,negative
85.8,14.59,2.48,3,negative
154,26.18,0.95,1,negative
120.9,20.55,2.3,2,negative
211.3,35.92,3.56,3,negative
187,31.79,2,2,negative
159.1,27.05,2.38,5,positive
133.2,22.64,2.97,1,negative
191.9,32.62,2.11,3,negative
220.6,37.5,1.84,1,negative
186.1,31.64,3.08,2,negative
160.2,27.23,2.51,2,negative
151,25.67,2.62,5,positive
175.5,29.84,2.75,1,negative
126.9,21.57,2.16,1,negative
198.4,33.73,1.57,3,positive
148.8,25.3,3.27,3,negative
229.3,38.98,3.24,1,negative
192.1,32.66,3.08,1,negative
268.6,45.66,3.13,2,negative
193.7,32.93,3.94,2,negative
180.7,30.72,3.4,3,negative
131.2,22.3,2.21,2,negative
148.1,25.18,1.67,2,negative
251.5,42.76,2.51,0,negative
125.2,21.28,2.24,0,negative
211.6,35.97,2.11,1,negative
178.9,30.41,3.73,4,positive
241.8,41.11,3.19,3,negative
224.9,38.23,3.27,0,negative
248.6,42.26,2.16,3,negative
203.4,34.58,1.97,1,negative
235.8,40.09,3.24,0,negative
157.1,26.71,1.65,1,negative
300.3,51.05,3.16,0,positive
61.6,10.47,2.21,4,positive
214.1,36.4,2.21,2,negative
170.2,28.93,4.05,1,negative
201.1,34.19,3.56,1,negative
215.4,36.62,3.4,3,negative
165.6,28.15,2.97,3,negative
249.5,42.42,2.65,1,negative
210.6,35.8,3.35,2,positive
179.3,30.48,2.32,0,negative
157.9,26.84,2.16,4,positive
214.3,36.43,3.24,1,negative
154.1,26.2,2.94,2,negative
237.9,40.44,3.75,1,positive
143.9,24.46,3,1,negative
203.4,34.58,2.4,0,positive
124.3,21.13,2.13,1,negative
252.9,42.99,2.57,3,negative
179.1,30.45,2.86,3,negative
278.4,47.33,2.65,1,negative
160.1,27.22,3.51,0,negative
198.2,33.69,2.35,4,negative
212.1,36.06,1.43,1,positive
251.8,42.81,2.65,2,positive
161.2,27.4,1.19,4,negative
178.3,30.31,3.94,0,negative
151.7,25.79,2.84,0,negative
135,22.95,3.38,1,negative
170.5,28.99,3.05,1,negative
238.1,40.48,3.19,4,negative
281.4,47.84,2.43,2,negative
117.9,20.04,2.65,1,negative
148.6,25.26,2.73,1,negative
229.8,39.07,2.59,3,negative
165,28.05,2.24,1,negative
185,31.45,3.4,2,negative
161,27.37,3.27,4,negative
126.7,21.54,3.59,1,negative
58.9,10.01,2.54,1,negative
196.8,33.46,5.4,0,positive
162.6,27.64,3.83,1,negative
282.5,48.03,2.54,1,positive
113.7,19.33,2.7,2,negative
239.8,40.77,2.35,2,negative
210.2,35.73,3.54,1,negative
213.8,36.35,1.94,0,negative
190.7,32.42,2.65,3,negative
170.9,29.05,3.13,1,negative
154.2,26.21,2.48,2,negative
201.4,34.24,3.24,1,negative
70.7,12.02,2.46,4,positive
187.5,31.88,1.73,4,positive
91.7,15.59,2.48,2,negative
214.2,36.41,2.57,3,negative
145.5,24.74,2.94,3,negative
166.3,28.27,1.65,1,negative
231,39.27,2.57,1,negative
200.3,34.05,1.92,4,negative
197,33.49,2.46,1,negative
129.9,22.08,3.02,3,negative
175.8,29.89,1.43,5,negative
203.1,34.53,3.24,3,negative
183.2,31.14,3.02,1,negative
205,34.85,2.75,2,negative
148.5,25.25,3.35,1,negative
200.3,34.05,2.84,0,negative
192.6,32.74,1.84,3,negative
246.5,41.91,3.16,1,negative
167.1,28.41,3.81,2,positive
231.9,39.42,3.86,3,negative
146.7,24.94,3.7,1,negative
271.5,46.16,3.16,1,negative
181.5,30.86,2.3,1,negative
257.7,43.81,3,2,negative
193.8,32.95,2.86,1,negative
102.8,17.48,2.73,1,negative
187.9,31.94,2.03,1,negative
226,38.42,1.86,1,negative
260.4,44.27,3.11,5,negative
178.7,30.38,2.65,0,negative
337.4,57.36,4.27,0,positive
157.6,26.79,3.7,0,negative
183.6,31.21,2.75,1,negative
142.1,24.16,2.59,1,negative
136.3,23.17,1.92,0,negative
217.1,36.91,3.24,0,negative
187.5,31.88,2.84,3,negative
98.9,16.81,3.29,1,negative
206.3,35.07,1.65,1,negative
243.1,41.33,3.27,2,negative
189.8,32.27,2.03,1,negative
202,34.34,2.94,1,negative
170.1,28.92,3.46,1,negative
230.9,39.25,1.7,0,negative
237.1,40.31,3.56,1,negative
182.1,30.96,2.86,2,negative
119.3,20.28,2.84,3,negative
116.8,19.86,3.81,1,negative
219.2,37.26,1.65,0,negative
252.6,42.94,3,2,negative
147.1,25.01,3.29,0,negative
202.1,34.36,3.11,2,negative
173.5,29.5,4.37,3,negative
232.1,39.46,0,3,negative
197.1,33.51,2.57,4,negative
58.2,9.89,3.21,5,positive
115.6,19.65,2.67,2,negative
186.1,31.64,3.94,2,negative
259.9,44.18,2.27,3,negative
214.3,36.43,2.92,1,negative
158.7,26.98,2.75,1,negative
271.6,46.17,2.94,2,negative
160.6,27.3,2.43,1,negative
232.4,39.51,2.46,1,negative
133.8,22.75,2.4,0,negative
176.9,30.07,2.57,1,negative
209.9,35.68,2.38,2,negative
137.5,23.38,3.62,0,negative
289.5,49.22,2.57,1,negative
198.1,33.68,1.84,1,negative
149.7,25.45,2.62,0,negative
326.5,55.51,2.89,2,positive
292.9,49.79,3.73,4,positive
83,14.11,3.51,0,negative
145.7,24.77,3.54,3,negative
182.3,30.99,3.02,2,negative
218,37.06,1.73,3,negative
140.6,23.9,1.84,2,negative
152.7,25.96,2.54,1,negative
106.7,18.14,3.27,1,negative
243.8,41.45,3.7,2,negative
194.4,33.05,2.92,3,negative
213.9,36.36,3.29,3,negative
217.2,36.92,4.27,3,negative
241.1,40.99,3.13,1,negative
203.5,34.6,3.21,0,negative
155.2,26.38,2.89,1,negative
167.6,28.49,3.29,1,negative
226.7,38.54,4.75,2,positive
179.3,30.48,3.11,3,negative
151.4,25.74,2.94,0,negative
180,30.6,1.27,3,negative
250.2,42.53,3.51,1,positive
223,37.91,1.92,0,negative
183.6,31.21,3.29,3,negative
166,28.22,2.75,1,negative
136.1,23.14,1.19,1,negative
149.3,25.38,2.4,2,negative
65.4,11.12,3.73,2,negative
213.4,36.28,0.73,1,negative
206.9,35.17,2.08,3,negative
186.2,31.65,2.59,2,negative
280.2,47.63,3.59,4,negative
196.6,33.42,3.21,0,negative
312,53.04,2.84,0,positive
199,33.83,2.97,1,negative
203.1,34.53,3.65,3,negative
168.8,28.7,2.94,0,negative
173.1,29.43,2.43,1,negative
134.4,22.85,2.75,5,positive
202.6,34.44,2.43,2,negative
74.5,12.67,2.65,3,negative
83.6,14.21,2.89,0,negative
192.2,32.67,2.54,1,negative
220.2,37.43,3.48,0,negative
135.1,22.97,3.32,2,positive
253.4,43.08,2.27,1,negative
225,38.25,1.92,3,negative
198.5,33.75,2.54,0,positive
110.3,18.75,2.57,0,negative
60,10.2,3,0,negative
214.8,36.52,2.75,0,negative
181.8,30.91,2.48,4,negative
154,26.18,3.19,2,negative
157.4,26.76,3.75,4,positive
207.9,35.34,3.89,4,negative
207,35.19,2.46,3,negative
119,20.23,2.57,0,negative
143.7,24.43,2.94,0,negative
165.9,28.2,3.81,4,negative
138.6,23.56,2.65,1,negative
84.7,14.4,3.92,1,negative
62.6,10.64,2.81,1,positive
155.2,26.38,2.35,1,negative
164.9,28.03,1.81,1,negative
134.5,22.87,4.16,1,negative
143.3,24.36,3.11,1,negative
168.3,28.61,3.38,1,negative
262.4,44.61,2.24,2,negative
206.2,35.05,3.08,1,negative
225.8,38.39,2.27,4,negative
138.3,23.51,3.65,3,negative
94.4,16.05,1.22,0,negative
160,27.2,2.67,2,negative
206.6,35.12,3.94,0,negative
134.7,22.9,2.08,1,negative
214.4,36.45,2.16,3,negative
192.8,32.78,3.51,3,negative
151.1,25.69,2.7,1,negative
221.4,37.64,2.65,3,negative
218.9,37.21,3,0,negative
189.8,32.27,1.76,2,positive
192.7,32.76,2.94,2,negative
204.4,34.75,2.84,3,negative
172.3,29.29,3.51,2,negative
198.4,33.73,2.81,2,negative
211.7,35.99,3.29,1,negative
221.6,37.67,2.43,1,negative
197.9,33.64,1.81,3,negative
147.5,25.08,4.21,2,negative
206.4,35.09,2.38,2,negative
205.9,35,3.92,2,negative
207.6,35.29,3.81,0,negative
303.9,51.66,1.43,1,positive
230.6,39.2,2.16,0,negative
99.5,16.92,2.62,0,negative
177.1,30.11,1.59,1,negative
172.7,29.36,2.78,5,positive
172.7,29.36,2.65,1,negative
204.2,34.71,2.57,1,negative
85.7,14.57,2.73,2,negative
157.6,26.79,3.21,0,negative
215.5,36.64,1.78,4,negative
181.5,30.86,1.78,1,negative
171.7,29.19,3.21,2,negative
266.6,45.32,1.59,1,positive
170.4,28.97,3.02,0,positive
