Day_Mins,Day_Charge,Class
265.1,45.07,negative
161.6,27.47,negative
243.4,41.38,negative
299.4,50.9,negative
166.7,28.34,negative
223.4,37.98,negative
218.2,37.09,negative
157,26.69,negative
184.5,31.37,negative
258.6,43.96,negative
129.1,21.95,positive
187.7,31.91,negative
128.8,21.9,negative
156.6,26.62,negative
120.7,20.52,negative
332.9,56.59,positive
196.4,33.39,negative
190.7,32.42,negative
189.7,32.25,negative
224.4,38.15,negative
155.1,26.37,negative
62.4,10.61,positive
183,31.11,negative
110.4,18.77,negative
81.1,13.79,negative
124.3,21.13,negative
213,36.21,negative
134.3,22.83,negative
190,32.3,negative
119.3,20.28,negative
84.8,14.42,negative
226.1,38.44,negative
212,36.04,negative
249.6,42.43,positive
176.8,30.06,negative
220,37.4,negative
146.3,24.87,negative
130.8,22.24,negative
203.9,34.66,negative
140.4,23.87,negative
126.3,21.47,negative
173.1,29.43,positive
124.8,21.22,negative
85.8,14.59,negative
154,26.18,negative
120.9,20.55,negative
211.3,35.92,negative
187,31.79,negative
159.1,27.05,positive
133.2,22.64,negative
191.9,32.62,negative
220.6,37.5,negative
186.1,31.64,negative
160.2,27.23,negative
151,25.67,positive
175.5,29.84,negative
126.9,21.57,negative
198.4,33.73,positive
148.8,25.3,negative
229.3,38.98,negative
192.1,32.66,negative
268.6,45.66,negative
193.7,32.93,negative
180.7,30.72,negative
131.2,22.3,negative
148.1,25.18,negative
251.5,42.76,negative
125.2,21.28,negative
211.6,35.97,negative
178.9,30.41,positive
241.8,41.11,negative
224.9,38.23,negative
248.6,42.26,negative
203.4,34.58,negative
235.8,40.09,negative
157.1,26.71,negative
300.3,51.05,positive
61.6,10.47,positive
214.1,36.4,negative
170.2,28.93,negative
201.1,34.19,negative
215.4,36.62,negative
165.6,28.15,negative
249.5,42.42,negative
210.6,35.8,positive
179.3,30.48,negative
157.9,26.84,positive
214.3,36.43,negative
154.1,26.2,negative
237.9,40.44,positive
143.9,24.46,negative
203.4,34.58,positive
124.3,21.13,negative
252.9,42.99,negative
179.1,30.45,negative
278.4,47.33,negative
160.1,27.22,negative
198.2,33.69,negative
212.1,36.06,positive
251.8,42.81,positive
161.2,27.4,negative
178.3,30.31,negative
151.7,25.79,negative
135,22.95,negative
170.5,28.99,negative
238.1,40.48,negative
281.4,47.84,negative
117.9,20.04,negative
148.6,25.26,negative
229.8,39.07,negative
165,28.05,negative
185,31.45,negative
161,27.37,negative
126.7,21.54,negative
58.9,10.01,negative
196.8,33.46,positive
162.6,27.64,negative
282.5,48.03,positive
113.7,19.33,negative
239.8,40.77,negative
210.2,35.73,negative
213.8,36.35,negative
190.7,32.42,negative
170.9,29.05,negative
154.2,26.21,negative
201.4,34.24,negative
70.7,12.02,positive
187.5,31.88,positive
91.7,15.59,negative
214.2,36.41,negative
145.5,24.74,negative
166.3,28.27,negative
231,39.27,negative
200.3,34.05,negative
197,33.49,negative
129.9,22.08,negative
175.8,29.89,negative
203.1,34.53,negative
183.2,31.14,negative
205,34.85,negative
148.5,25.25,negative
200.3,34.05,negative
192.6,32.74,negative
246.5,41.91,negative
167.1,28.41,positive
231.9,39.42,negative
146.7,24.94,negative
271.5,46.16,negative
181.5,30.86,negative
257.7,43.81,negative
193.8,32.95,negative
102.8,17.48,negative
187.9,31.94,negative
226,38.42,negative
260.4,44.27,negative
178.7,30.38,negative
337.4,57.36,positive
157.6,26.79,negative
183.6,31.21,negative
142.1,24.16,negative
136.3,23.17,negative
217.1,36.91,negative
187.5,31.88,negative
98.9,16.81,negative
206.3,35.07,negative
243.1,41.33,negative
189.8,32.27,negative
202,34.34,negative
170.1,28.92,negative
230.9,39.25,negative
237.1,40.31,negative
182.1,30.96,negative
119.3,20.28,negative
116.8,19.86,negative
219.2,37.26,negative
252.6,42.94,negative
147.1,25.01,negative
202.1,34.36,negative
173.5,29.5,negative
232.1,39.46,negative
197.1,33.51,negative
58.2,9.89,positive
115.6,19.65,negative
186.1,31.64,negative
259.9,44.18,negative
214.3,36.43,negative
158.7,26.98,negative
271.6,46.17,negative
160.6,27.3,negative
232.4,39.51,negative
133.8,22.75,negative
176.9,30.07,negative
209.9,35.68,negative
137.5,23.38,negative
289.5,49.22,negative
198.1,33.68,negative
149.7,25.45,negative
326.5,55.51,positive
292.9,49.79,positive
83,14.11,negative
145.7,24.77,negative
182.3,30.99,negative
218,37.06,negative
140.6,23.9,negative
152.7,25.96,negative
106.7,18.14,negative
243.8,41.45,negative
194.4,33.05,negative
213.9,36.36,negative
217.2,36.92,negative
241.1,40.99,negative
203.5,34.6,negative
155.2,26.38,negative
167.6,28.49,negative
226.7,38.54,positive
179.3,30.48,negative
151.4,25.74,negative
180,30.6,negative
250.2,42.53,positive
223,37.91,negative
183.6,31.21,negative
166,28.22,negative
136.1,23.14,negative
149.3,25.38,negative
65.4,11.12,negative
213.4,36.28,negative
206.9,35.17,negative
186.2,31.65,negative
280.2,47.63,negative
196.6,33.42,negative
312,53.04,positive
199,33.83,negative
203.1,34.53,negative
168.8,28.7,negative
173.1,29.43,negative
134.4,22.85,positive
202.6,34.44,negative
74.5,12.67,negative
83.6,14.21,negative
192.2,32.67,negative
220.2,37.43,negative
135.1,22.97,positive
253.4,43.08,negative
225,38.25,negative
198.5,33.75,positive
110.3,18.75,negative
60,10.2,negative
