Day_Mins,Class
265.1,negative
161.6,negative
243.4,negative
299.4,negative
166.7,negative
223.4,negative
218.2,negative
157,negative
184.5,negative
258.6,negative
129.1,positive
187.7,negative
128.8,negative
156.6,negative
120.7,negative
332.9,positive
196.4,negative
190.7,negative
189.7,negative
224.4,negative
155.1,negative
62.4,positive
183,negative
110.4,negative
81.1,negative
124.3,negative
213,negative
134.3,negative
190,negative
119.3,negative
84.8,negative
226.1,negative
212,negative
249.6,positive
176.8,negative
220,negative
146.3,negative
130.8,negative
203.9,negative
140.4,negative
126.3,negative
173.1,positive
124.8,negative
85.8,negative
154,negative
120.9,negative
211.3,negative
187,negative
159.1,positive
133.2,negative
191.9,negative
220.6,negative
186.1,negative
160.2,negative
151,positive
175.5,negative
126.9,negative
198.4,positive
148.8,negative
229.3,negative
192.1,negative
268.6,negative
193.7,negative
180.7,negative
131.2,negative
148.1,negative
251.5,negative
125.2,negative
211.6,negative
178.9,positive
241.8,negative
224.9,negative
248.6,negative
203.4,negative
235.8,negative
157.1,negative
300.3,positive
61.6,positive
214.1,negative
170.2,negative
201.1,negative
215.4,negative
165.6,negative
249.5,negative
210.6,positive
179.3,negative
157.9,positive
214.3,negative
154.1,negative
237.9,positive
143.9,negative
203.4,positive
124.3,negative
252.9,negative
179.1,negative
278.4,negative
160.1,negative
198.2,negative
212.1,positive
251.8,positive
161.2,negative
178.3,negative
151.7,negative
135,negative
170.5,negative
238.1,negative
281.4,negative
117.9,negative
148.6,negative
229.8,negative
165,negative
185,negative
161,negative
126.7,negative
58.9,negative
196.8,positive
162.6,negative
282.5,positive
113.7,negative
239.8,negative
210.2,negative
213.8,negative
190.7,negative
170.9,negative
154.2,negative
201.4,negative
70.7,positive
187.5,positive
91.7,negative
214.2,negative
145.5,negative
166.3,negative
231,negative
200.3,negative
197,negative
129.9,negative
175.8,negative
203.1,negative
183.2,negative
205,negative
148.5,negative
200.3,negative
192.6,negative
246.5,negative
167.1,positive
231.9,negative
146.7,negative
271.5,negative
181.5,negative
257.7,negative
193.8,negative
102.8,negative
187.9,negative
226,negative
260.4,negative
178.7,negative
337.4,positive
157.6,negative
183.6,negative
142.1,negative
136.3,negative
217.1,negative
187.5,negative
98.9,negative
206.3,negative
243.1,negative
189.8,negative
202,negative
170.1,negative
230.9,negative
237.1,negative
182.1,negative
119.3,negative
116.8,negative
219.2,negative
252.6,negative
147.1,negative
202.1,negative
173.5,negative
232.1,negative
197.1,negative
58.2,positive
115.6,negative
186.1,negative
259.9,negative
214.3,negative
158.7,negative
271.6,negative
160.6,negative
232.4,negative
133.8,negative
176.9,negative
209.9,negative
137.5,negative
289.5,negative
198.1,negative
149.7,negative
326.5,positive
292.9,positive
83,negative
145.7,negative
182.3,negative
218,negative
140.6,negative
152.7,negative
106.7,negative
243.8,negative
194.4,negative
213.9,negative
217.2,negative
241.1,negative
203.5,negative
155.2,negative
167.6,negative
226.7,positive
179.3,negative
151.4,negative
180,negative
250.2,positive
223,negative
183.6,negative
166,negative
136.1,negative
149.3,negative
65.4,negative
213.4,negative
206.9,negative
186.2,negative
280.2,negative
196.6,negative
312,positive
199,negative
203.1,negative
168.8,negative
173.1,negative
134.4,positive
202.6,negative
74.5,negative
83.6,negative
192.2,negative
220.2,negative
135.1,positive
253.4,negative
225,negative
198.5,positive
110.3,negative
60,negative
214.8,negative
181.8,negative
154,negative
157.4,positive
207.9,negative
207,negative
119,negative
143.7,negative
165.9,negative
138.6,negative
84.7,negative
62.6,positive
155.2,negative
164.9,negative
134.5,negative
143.3,negative
168.3,negative
262.4,negative
206.2,negative
225.8,negative
138.3,negative
94.4,negative
160,negative
206.6,negative
134.7,negative
214.4,negative
192.8,negative
151.1,negative
221.4,negative
218.9,negative
189.8,positive
192.7,negative
204.4,negative
172.3,negative
198.4,negative
211.7,negative
221.6,negative
197.9,negative
147.5,negative
206.4,negative
205.9,negative
207.6,negative
303.9,positive
230.6,negative
99.5,negative
177.1,negative
172.7,positive
172.7,negative
204.2,negative
85.7,negative
157.6,negative
215.5,negative
181.5,negative
171.7,negative
266.6,positive
170.4,positive
158,negative
92,negative
234,negative
272.1,positive
296.4,positive
194.4,negative
227.2,negative
248.7,positive
236.3,negative
205.6,negative
94.1,negative
125.2,negative
60.4,negative
121,negative
117.8,negative
232.4,negative
223.5,positive
176.3,negative
125.2,negative
138.7,negative
86.3,negative
207,negative
58.8,negative
68.7,negative
239.2,negative
198.3,negative
205.2,negative
192.1,negative
272.6,positive
128.3,positive
169.6,negative
201.3,negative
214.7,negative
169.2,negative
194.1,negative
233.8,negative
225.1,negative
213,positive
183.9,negative
221.8,negative
64.6,negative
154.6,negative
260.2,negative
161.6,negative
220.6,negative
155.9,negative
107,positive
182.5,negative
220.1,negative
152.2,negative
181.5,negative
236.2,positive
166.1,negative
244.6,negative
134.2,negative
149.7,negative
150.1,negative
257.1,positive
124.4,negative
141.7,negative
230,negative
162.3,negative
350.8,positive
193.3,negative
78.2,negative
83.4,negative
195.6,negative
201.8,negative
197,negative
218,positive
164.8,negative
179.2,negative
214,negative
170.5,negative
205.7,negative
165.5,positive
221,negative
242.1,negative
151.6,negative
176.2,negative
196,negative
159.5,negative
230.2,negative
146.7,negative
210.5,negative
102,negative
126,negative
168.4,negative
105.6,negative
206.5,negative
217.1,negative
229.6,positive
278.3,negative
138.6,negative
234.4,positive
181.5,negative
167.3,positive
121,negative
221.1,negative
145.8,negative
222.8,negative
183.4,negative
264.3,negative
146,negative
157.1,positive
127.3,negative
187.9,negative
178.8,negative
97.2,negative
259.8,negative
256.5,negative
169.5,negative
239.7,positive
171.5,positive
239.9,negative
142.3,negative
184.1,negative
206.9,negative
259.9,negative
203.8,negative
248.8,negative
221.6,negative
192.9,negative
122.4,negative
104.9,negative
173.2,negative
119.4,negative
250.3,positive
178.3,negative
243.4,negative
155,negative
288.7,negative
240.4,negative
190.3,negative
278,positive
155,negative
153.5,negative
273.4,negative
155.3,negative
133.1,negative
246.8,negative
165.4,negative
59.5,negative
138.3,negative
286.7,negative
117.3,negative
264.3,negative
127.9,negative
225.5,negative
149,negative
198.9,negative
256.4,positive
264.8,positive
98.2,negative
159.8,negative
190.6,negative
184,negative
261.8,negative
147.9,negative
106.4,negative
133.7,negative
193.5,negative
178.2,positive
226.2,positive
170.4,negative
70.9,negative
194.4,negative
240.3,negative
75,negative
69.1,negative
96.6,positive
214.6,negative
148.5,negative
258.1,negative
149.7,negative
149.8,negative
190.4,negative
181.4,negative
151.1,negative
155.7,negative
149.9,negative
222.3,negative
149.4,negative
233.8,negative
204.2,negative
242.9,negative
150.4,negative
208.9,negative
191.9,positive
130.7,positive
119.6,negative
273.6,negative
156.1,negative
178.7,negative
177.5,negative
211.3,positive
175.2,negative
114.3,negative
251.4,negative
216.9,positive
217.2,negative
206.3,negative
159.3,negative
143.1,negative
154,positive
186.6,negative
170.8,positive
124,negative
198.3,negative
172.8,negative
217.4,negative
265.9,positive
93.6,negative
98.2,negative
214.7,negative
168.2,negative
202.9,negative
261.4,negative
73.3,positive
253.7,negative
45,negative
231.3,negative
47.4,negative
227.4,negative
40.9,negative
124.8,negative
68.5,negative
163.5,negative
163,negative
213.7,negative
201.3,negative
310.4,negative
48.4,negative
171.2,negative
166.5,negative
216.6,negative
107.8,negative
141.3,negative
209.9,negative
237.5,positive
234.5,negative
103.1,negative
129.5,negative
279.8,positive
136.8,positive
100.1,negative
237.1,negative
172.8,positive
224.5,negative
288.1,positive
78.2,negative
148.7,negative
194.6,negative
159.5,negative
194.5,negative
174.1,positive
131.8,negative
160.6,negative
146.8,negative
200.7,negative
145.6,negative
229.4,negative
211,negative
121.5,negative
216,negative
293,negative
221.1,positive
181.5,negative
74.3,negative
62.3,negative
228.6,negative
228.1,positive
309.9,negative
201.9,negative
149.8,negative
183.8,negative
186.7,negative
209.4,positive
223.2,negative
164.2,negative
150.5,negative
234.2,positive
55.3,negative
221.8,negative
169.6,negative
89.7,positive
80.2,negative
218.9,negative
125.7,negative
176.3,negative
207.2,negative
205.7,negative
151.4,negative
157.5,negative
160.4,negative
159,negative
214.1,negative
102.6,negative
159.7,positive
202.8,negative
57.5,negative
169.9,negative
335.5,positive
139.5,negative
142.3,negative
187.8,negative
146.2,negative
231.8,negative
193.7,negative
156.4,negative
220.7,positive
239.8,negative
172,negative
128.2,negative
130.2,negative
195.4,negative
293.3,positive
191.3,negative
122.4,negative
209.6,negative
215.7,negative
161.4,negative
144.2,negative
220.2,positive
256.2,negative
112.7,negative
299.5,positive
194.8,negative
100.8,negative
82.5,negative
146.4,negative
177.9,negative
153.5,negative
150.7,negative
180.1,negative
265.3,negative
128.6,negative
161.5,negative
165.3,negative
195,negative
213.8,negative
205.5,negative
252.9,negative
235.6,negative
192,negative
69.1,negative
261.7,positive
235.5,negative
213.4,negative
206.9,negative
263.8,negative
183.4,negative
157.6,positive
175.6,negative
242.5,negative
151,negative
138.1,negative
264.7,positive
282.3,negative
211.2,negative
197.1,negative
205.3,negative
181.8,negative
252,negative
193.8,negative
231.2,negative
200.1,negative
266.7,negative
118.1,negative
175.3,negative
125.1,negative
176.8,negative
241.9,negative
241.2,negative
217.1,negative
195.4,negative
222.4,positive
189.5,negative
123.1,negative
256.7,negative
159.1,negative
100.1,negative
30.9,negative
223.2,negative
187.4,negative
315.6,negative
277.5,negative
189.8,negative
147.2,negative
185.8,negative
155.4,negative
154.2,negative
97.6,negative
178.8,negative
149.3,negative
206,negative
216.8,negative
103.3,negative
139.4,negative
191.2,negative
160,negative
221.7,negative
62.9,negative
215.6,negative
165.3,negative
94.7,negative
203.2,negative
195.3,negative
143.7,negative
114.4,negative
222.8,negative
175.9,negative
249.9,positive
234.5,negative
210.7,negative
182.3,negative
190.3,negative
177.1,negative
87.2,positive
215.6,negative
137.4,negative
192.8,negative
149.3,negative
143.7,negative
224.8,negative
261.2,negative
196.5,negative
271.2,positive
207.2,negative
300.4,negative
229.6,negative
187.5,negative
57.1,negative
162.1,positive
145,positive
159.5,negative
190.7,negative
230.6,negative
34,negative
193.4,negative
202,negative
191.7,negative
161.3,negative
150.6,negative
184.6,negative
220.7,negative
167.3,negative
154,negative
121.1,negative
182.1,negative
109.6,negative
209.9,negative
167.5,negative
213.9,negative
115.8,negative
276.6,negative
179.4,negative
187.3,negative
201.2,negative
189.6,negative
186.8,negative
153.5,negative
187.6,negative
230.9,positive
244.9,negative
230.9,negative
187.1,negative
170.7,negative
126.9,positive
189.5,negative
176.9,positive
161.1,negative
169.4,negative
254.4,negative
127.7,negative
170.5,negative
219.1,negative
273.5,negative
161.9,negative
241.7,negative
62.8,negative
281.1,negative
228.2,negative
209.8,negative
265.6,positive
214.9,negative
110.5,negative
281.1,negative
137.8,negative
271.5,positive
112.8,negative
187.3,negative
197,negative
180.4,negative
148.5,positive
197.1,negative
153.7,negative
261.3,negative
246.2,negative
191,negative
208.3,negative
253,negative
202.3,negative
174.4,negative
127.1,negative
143.5,negative
186.9,negative
194,negative
234.8,negative
123.7,negative
173.9,negative
130.9,negative
314.6,positive
227.9,negative
95.5,negative
185.3,negative
146.3,negative
184,negative
105.8,negative
178,negative
149.4,negative
209.4,negative
172.1,negative
169.3,negative
119.1,negative
194.2,negative
198.8,negative
167.7,positive
202.2,negative
322.5,positive
216.2,negative
76.4,negative
72.7,negative
210.4,negative
127.2,negative
201.8,negative
219.5,negative
99.3,negative
239.2,negative
120.9,negative
224.7,negative
176.6,negative
283.9,negative
180.6,positive
125.9,negative
237.6,negative
198.4,negative
274.3,negative
199.6,positive
217.7,negative
134.7,negative
212.7,negative
256.3,negative
183.6,negative
176.2,negative
205,negative
267.9,positive
179.2,negative
149.4,negative
163.6,negative
207.6,negative
165.4,negative
209.8,negative
220.1,negative
141.3,negative
196.5,negative
180.9,negative
105,negative
271.4,positive
206.7,negative
166.8,negative
204.9,negative
154.6,negative
127,negative
267.4,negative
281,negative
270.8,negative
171.2,negative
124.1,negative
162.8,negative
146.3,negative
254.8,negative
254.9,negative
107.7,negative
158.8,negative
182.9,negative
198.5,negative
178.4,negative
110.9,negative
166.9,positive
244.8,negative
120.8,positive
165.3,negative
126.7,negative
215.9,negative
140.1,negative
209.9,negative
139.8,negative
321.6,positive
166.6,negative
214.2,negative
260,positive
191.9,positive
213,negative
118.1,negative
190.2,negative
82.2,negative
163.8,negative
267.8,positive
159.8,negative
214.3,negative
287.3,positive
101.2,negative
102.8,negative
109.1,negative
215.9,negative
203.4,negative
110.1,negative
111,negative
239.9,negative
144.8,negative
135.4,negative
84.2,negative
209.1,negative
130.1,negative
175.8,negative
241.9,negative
136.7,negative
67.7,negative
200.4,negative
125.8,positive
128.2,negative
226.3,negative
162.3,negative
224.4,negative
120.5,negative
91.1,negative
168.8,negative
153.5,negative
226.2,negative
191.9,negative
167.9,positive
180,negative
257.4,positive
174.4,negative
159.7,negative
237.2,negative
103,negative
153.8,negative
205.1,negative
175.7,negative
155.9,negative
154.4,negative
209.7,negative
150,negative
232.4,negative
165.4,negative
199.2,negative
217.6,negative
212.1,negative
154,negative
193.8,negative
175.4,negative
152,positive
230.2,negative
174.9,positive
190.2,negative
176.4,negative
160.9,negative
228.7,negative
144,negative
135.9,negative
334.3,positive
130.5,negative
134.2,positive
278,positive
105.4,negative
188.9,negative
111.8,negative
159.1,negative
212.4,negative
142.3,negative
346.8,positive
113.9,negative
267.9,positive
171.4,negative
275.4,negative
197.2,negative
192.6,negative
91.7,negative
126.3,negative
251.5,negative
190.6,negative
116.1,negative
217.3,negative
179.4,negative
207.7,negative
277.3,positive
125.3,negative
138.1,negative
169.3,negative
201.3,negative
216.7,negative
190.4,negative
143.3,negative
97.4,negative
181.4,negative
246.4,negative
143.4,negative
104.9,negative
156.2,negative
114.8,negative
232.5,negative
143.6,negative
176.7,negative
263.4,positive
146.4,negative
145,negative
167.8,negative
166.9,negative
142.5,negative
133,negative
252.9,negative
95,negative
194.2,positive
222.8,negative
201.8,negative
216,positive
146.3,negative
234.8,negative
198.6,negative
94.4,negative
190.4,negative
142.6,negative
134.2,negative
111.9,positive
122.8,negative
189.3,negative
240.4,negative
93.5,negative
158.6,negative
243.2,negative
176.4,negative
220.9,negative
144.4,negative
212.3,negative
147,negative
96.2,negative
263.4,negative
12.5,negative
162.3,negative
183.6,negative
178.1,negative
201.4,negative
123,negative
208,negative
239.2,negative
193,negative
174.5,negative
116.7,negative
93.8,negative
154.1,negative
239.5,negative
216,negative
187.4,negative
167.4,negative
160.4,negative
143.2,negative
205.3,negative
219.1,negative
143.2,negative
232.8,negative
162,negative
25.9,negative
154.2,positive
322.3,positive
209.9,negative
191.5,negative
291.1,negative
215.6,negative
208.8,negative
255.9,negative
252.7,negative
132.1,negative
217,negative
101.9,negative
211.5,negative
153.4,negative
166.3,negative
185.2,negative
104.6,negative
245.2,negative
274.4,negative
98.4,negative
279.9,negative
187.2,negative
276.2,negative
200.4,negative
162.3,negative
176.9,positive
165.5,negative
217.8,negative
201.4,positive
190.5,negative
179.9,negative
235.9,negative
140.4,negative
144.6,negative
189,negative
101,negative
206.3,negative
165.1,negative
165,positive
155.9,negative
199.2,negative
155.3,negative
208.3,negative
157.1,negative
154.4,positive
189.1,positive
131.5,negative
166.4,negative
142.3,negative
87.7,negative
184.1,negative
174.5,negative
103.3,negative
35.1,negative
246.6,negative
78.5,negative
148.1,positive
206.2,negative
251.6,negative
270.3,positive
156.6,negative
139.4,negative
220.2,negative
214.1,negative
196,negative
106.4,positive
179.4,negative
216.7,negative
177.3,negative
151.6,negative
262.2,negative
173.6,negative
106.6,negative
193.3,positive
217.2,negative
209.5,negative
95.4,negative
214.6,negative
131.6,positive
168.4,negative
146.4,negative
183,negative
103.3,negative
112.2,negative
170.7,negative
172.5,negative
194.3,negative
187.8,negative
307.1,negative
118.2,negative
154,negative
155.5,negative
125.6,negative
199.3,negative
157.9,negative
203.4,negative
222.2,negative
92.8,negative
216.8,negative
193.2,negative
113.2,negative
166.2,negative
262.2,negative
207.8,negative
245.4,negative
287.1,positive
192.3,negative
194.2,negative
211,negative
141.9,negative
220.5,negative
157.4,negative
143.5,negative
156,negative
160.1,negative
235.1,positive
160,positive
188.4,negative
194.8,negative
247.8,negative
221.2,negative
118.5,negative
231.8,negative
215.9,negative
217.1,negative
83.5,negative
183.3,negative
236.8,positive
193.8,negative
134,negative
176.6,negative
191.4,negative
174.8,negative
275.2,negative
174,negative
165,negative
228.7,negative
107.9,negative
221.3,negative
141.1,negative
166.4,negative
249.6,negative
178.6,negative
139,negative
134.3,negative
215.9,negative
181.6,negative
178.4,negative
106.4,negative
170.7,negative
184.5,negative
161.2,negative
84.9,negative
217.9,negative
270.9,positive
243,positive
128.2,negative
126.3,negative
178.7,negative
159,negative
150.9,negative
219.9,negative
168,negative
162.1,positive
198.8,negative
256.8,negative
182.8,negative
196.8,negative
140.1,negative
194.3,negative
117.6,negative
193.7,negative
243.1,negative
145.4,negative
169.1,negative
229.3,negative
197.2,negative
186.4,positive
76.1,negative
162.8,negative
182.3,negative
194.4,negative
189.3,negative
160.1,negative
145,negative
220.7,negative
224.7,positive
147,negative
260.8,negative
155.4,negative
166.2,negative
211.8,negative
130.5,positive
162.7,negative
237.1,negative
166.2,negative
121.7,positive
176.4,negative
67.4,negative
229.7,positive
176,negative
247.7,positive
115.4,negative
112.2,positive
162.6,negative
229.4,negative
139.6,negative
263.8,positive
217.5,negative
114.3,negative
196.3,negative
253.2,negative
98,negative
249.4,negative
129.6,negative
221.3,negative
220.7,negative
87.6,negative
203.6,negative
213.6,negative
181.6,negative
215.4,negative
266.3,positive
199.2,negative
115,negative
270.5,positive
222.2,negative
61.9,negative
141.1,negative
189.2,positive
196,negative
171.6,negative
174,negative
78.6,positive
200.9,negative
141.3,negative
235.8,negative
185.1,negative
254.3,negative
183,negative
163.5,negative
207.9,negative
248.6,negative
185.4,negative
197.8,negative
132.1,positive
197.1,negative
154.6,negative
153.1,positive
211.2,negative
96.8,positive
172,negative
141.1,negative
151.1,negative
209.6,negative
247,negative
221.4,negative
321.3,positive
243.7,negative
251.5,negative
236.9,positive
159.7,negative
148.2,positive
150.9,negative
210.5,negative
170.9,negative
254.7,negative
284.4,positive
0,positive
133.7,positive
224.9,negative
151.8,negative
141.4,negative
285.7,positive
58.4,negative
90.4,negative
114.4,negative
147.7,negative
302.7,negative
136.1,negative
169.7,negative
227.2,negative
217.8,positive
124.2,negative
206.2,negative
132.9,negative
104.9,negative
245,positive
184.5,negative
89.5,negative
235.6,negative
186,negative
223.9,negative
179.5,negative
169.4,negative
118.1,negative
112,positive
168.4,negative
214.3,negative
245.7,positive
156.6,negative
142.8,negative
202.4,negative
116.8,negative
155.7,negative
236.1,negative
138.1,negative
51.9,negative
81.3,negative
171.5,negative
126,negative
197.2,negative
194.1,negative
115.7,negative
157.2,negative
269.7,positive
246.4,negative
227.4,negative
189.8,negative
188.9,negative
0,negative
110.5,negative
167.6,negative
132,negative
167.8,negative
213.4,negative
175.4,negative
82.6,negative
143.2,positive
125.5,negative
82.3,positive
165.6,negative
183.1,negative
162.1,negative
166.6,negative
135.9,negative
165.7,negative
176.1,negative
142.3,negative
177.6,negative
83.2,negative
235,negative
105.7,negative
149.4,positive
264.7,negative
160.3,negative
95.9,negative
140.7,negative
119.7,negative
99.9,negative
250.9,negative
200.6,negative
209.8,negative
198,negative
239.8,negative
164.5,negative
220.9,negative
112.8,negative
112.6,positive
226.4,negative
244.9,negative
203.2,negative
136.7,negative
152.6,negative
274.9,negative
195.7,positive
204.3,negative
222.3,negative
222.5,negative
128.8,negative
174.3,negative
242.5,negative
221.6,negative
114.3,negative
219.7,negative
144.9,negative
236.5,negative
174,positive
109.5,negative
81.6,negative
133.4,negative
137.1,negative
197,negative
198.1,negative
39.5,negative
199.5,negative
156.8,negative
183.4,negative
132.4,negative
63.2,negative
181.1,positive
117.5,negative
218.7,negative
207.3,negative
150.6,negative
273.3,positive
266.1,negative
112.8,negative
104.7,negative
193.8,negative
168.6,negative
253.2,negative
174.7,negative
87,negative
204.5,negative
226.5,negative
234.1,negative
133.3,positive
133.9,negative
160.2,negative
230.6,negative
227.4,negative
72.8,negative
196.1,negative
197.1,negative
219.6,negative
153.4,positive
216,negative
222.9,negative
115.9,negative
189.8,negative
154.7,negative
136.4,negative
170.5,negative
272.4,negative
210,negative
236.5,negative
153.9,negative
223,negative
252.4,negative
197.9,negative
152.4,negative
237.4,negative
265.6,negative
