Attr02,Attr03,Attr06,Attr09,Attr12,Atrr13,Attr19,Class
0.12,0.5,0,1,0,0.14,0,negative
0.12,1,0,0.67,0,0.34,0,negative
0.12,1,0,0.67,0,0.43,1,negative
0.12,1,0,0.67,0.33,0.13,0,negative
0.38,1,0,0.67,1,0.34,1,negative
0.12,0.5,0.75,0.67,0.33,0.64,0,negative
0.07,1,1,0.67,0,0.25,0,negative
0.47,0.5,1,0.33,0,0.46,1,negative
0.12,0.5,0,1,0.33,0.04,0,positive
0.34,0.75,0,0.67,0.67,0.13,0,negative
0.34,0,0,0.67,0.33,0.55,1,positive
0.38,0.75,0,0.67,0,0.84,1,positive
0.29,0.5,0,1,0.67,0.04,0,negative
0.47,1,1,0.67,0.67,0.57,1,negative
0.03,1,1,0.33,0.33,0.36,0,negative
0.21,0,0,0.67,0.33,0.21,1,negative
0.47,0.5,0,0.67,0,0.07,1,negative
0.29,0.5,0,0,0,0.09,0,negative
0.12,0.5,0,1,0,0.13,0,negative
0.09,0.5,0,0.33,0.67,0.8,1,negative
0.12,0.5,1,0.33,0.33,0.07,1,negative
0.12,0.5,0,0.67,0,0.2,0,negative
0.29,0.75,1,0.67,0,0.23,1,negative
0.16,0.5,0,0.67,0.67,0.2,1,negative
0.47,0,0,0.67,0.67,0.14,0,negative
0.65,0.5,0.75,0.67,1,0.14,1,positive
0.12,0.5,0,0.67,1,0.61,1,positive
0.07,0.5,0,0.67,0.67,0.05,0,positive
0.29,0.5,0,0.67,1,0.05,0,negative
0.47,0.5,0,0.67,0.67,0.13,0,positive
0.07,0.5,0.5,0.67,1,0.57,0,negative
0.12,0.5,0.25,0.67,1,0.29,0,negative
0.21,0.5,0,1,0,0.11,0,negative
0,1,0,0.67,0,0.41,0,negative
0.29,0.5,0,0.67,0.67,0.2,0,positive
0.03,0.5,1,0.67,0.33,0.07,1,positive
0.25,0.5,0.25,0,0.67,0.75,0,positive
0.12,1,0,0.33,0.33,0.29,0,negative
0.38,0.5,0,0.67,0.33,0.36,0,negative
0.29,0.5,1,0.33,0.67,0.18,0,positive
0.03,0.5,0,0.67,0.33,0.57,0,negative
0.65,0,0,0.67,1,0.09,0,positive
0.12,1,0,0.33,0,0.14,0,negative
0.12,0.25,0.5,0.33,0,0.29,0,negative
0.29,0.5,0,0.67,0,0.11,1,negative
0.12,1,0,0.67,0,0.59,0,negative
0.03,0,0.25,0.67,1,0.29,0,negative
0.29,0.5,0,0.67,0,0.13,0,negative
0.21,0.5,0,0.33,0,0.05,0,positive
0.03,1,0.75,0.33,0,0.36,1,negative
0.12,0.5,0,0.33,0.67,0.48,0,negative
0.38,0.5,0,0.33,1,0.09,0,positive
0.29,0.75,0.25,0.67,0.33,0.29,0,negative
0.07,0.5,1,0.67,0.67,0.09,1,negative
0.82,0.75,1,0.67,0,0.14,0,negative
0.29,1,0,0.67,0,0.29,0,negative
0.12,0.25,0,0,1,0.18,0,positive
0.16,0.5,0.25,0.33,0.67,0.07,1,negative
0.1,1,0.25,0.33,0,0.68,0,negative
0.29,0.5,0,0.33,0.67,0.64,0,negative
0.12,0.5,0,0.67,0,0.14,0,negative
0.21,1,0,0.67,1,0.3,1,negative
0.12,1,0,0.33,1,0.68,0,negative
0.09,1,0,0.67,0,0.23,0,negative
0.16,0.5,0,0.67,0.67,0.32,0,positive
0.47,1,1,0.67,0,0.3,0,negative
0.29,0.5,0,0.33,0.67,0.34,1,negative
0.15,0.5,0,0,0.33,0.46,1,positive
0.29,0.5,1,0.67,0.67,0.11,0,negative
0.21,0.5,1,0.67,0.33,0.23,0,negative
0.12,1,0.5,0.33,0.67,0.32,1,negative
0.65,0.25,1,0.67,1,0.3,1,negative
0.65,0.5,0,0.67,0,0.16,0,positive
0.38,0.5,0,0,1,0.27,1,positive
0.07,0.5,0,0.67,0,0.23,0,negative
0.21,1,0,0.33,0.67,0.13,0,negative
0.12,0.5,1,0,0.33,0.54,1,negative
0.03,0.5,0,0.33,0.33,0.23,0,positive
