Attr01,Attr02,Attr03,Attr06,Attr08,Attr09,Attr12,Atrr13,Atrr14,Atrr16,Attr19,Class
0,0.12,0.5,0,1,1,0,0.14,1,0,0,negative
1,0.12,1,0,1,0.67,0,0.34,1,0.33,0,negative
1,0.12,1,0,1,0.67,0,0.43,1,0.67,1,negative
0.33,0.12,1,0,1,0.67,0.33,0.13,1,0,0,negative
0,0.38,1,0,0.67,0.67,1,0.34,1,0.67,1,negative
1,0.12,0.5,0.75,0.67,0.67,0.33,0.64,1,0,0,negative
1,0.07,1,1,0,0.67,0,0.25,1,0.33,0,negative
1,0.47,0.5,1,0.33,0.33,0,0.46,1,0,1,negative
0,0.12,0.5,0,1,1,0.33,0.04,1,0,0,positive
1,0.34,0.75,0,0.67,0.67,0.67,0.13,1,0.33,0,negative
0,0.34,0,0,0.33,0.67,0.33,0.55,0.5,0.33,1,positive
0.67,0.38,0.75,0,1,0.67,0,0.84,1,0,1,positive
0,0.29,0.5,0,0.33,1,0.67,0.04,0.5,0,0,negative
1,0.47,1,1,1,0.67,0.67,0.57,1,0,1,negative
0.33,0.03,1,1,0,0.33,0.33,0.36,1,0.33,0,negative
0,0.21,0,0,0.67,0.67,0.33,0.21,0,0,1,negative
0.67,0.47,0.5,0,0.33,0.67,0,0.07,1,0,1,negative
0,0.29,0.5,0,0.33,0,0,0.09,1,0,0,negative
0.33,0.12,0.5,0,1,1,0,0.13,0,0,0,negative
1,0.09,0.5,0,0.33,0.33,0.67,0.8,1,0,1,negative
0,0.12,0.5,1,1,0.33,0.33,0.07,0,0,1,negative
1,0.12,0.5,0,1,0.67,0,0.2,0,0.33,0,negative
1,0.29,0.75,1,1,0.67,0,0.23,1,0.33,1,negative
1,0.16,0.5,0,0.67,0.67,0.67,0.2,1,0,1,negative
1,0.47,0,0,1,0.67,0.67,0.14,1,0.33,0,negative
0.33,0.65,0.5,0.75,0,0.67,1,0.14,0,0.33,1,positive
0,0.12,0.5,0,1,0.67,1,0.61,1,0,1,positive
1,0.07,0.5,0,1,0.67,0.67,0.05,1,0,0,positive
0,0.29,0.5,0,1,0.67,1,0.05,0,0,0,negative
0.67,0.47,0.5,0,1,0.67,0.67,0.13,1,0,0,positive
1,0.07,0.5,0.5,0.33,0.67,1,0.57,1,0,0,negative
1,0.12,0.5,0.25,0.67,0.67,1,0.29,1,0,0,negative
0.33,0.21,0.5,0,1,1,0,0.11,1,0,0,negative
1,0,1,0,0.33,0.67,0,0.41,1,0.67,0,negative
0,0.29,0.5,0,1,0.67,0.67,0.2,0.5,0,0,positive
0.33,0.03,0.5,1,0,0.67,0.33,0.07,1,0,1,positive
