At1,At3,At4,At6,At7,At8,At9,At10,Class
28.7967,2.6449,0.3918,27.7004,22.011,-8.2027,40.092,81.8828,negative
31.6036,2.5185,0.5303,26.2722,23.8238,-9.9574,6.3609,205.261,negative
162.052,4.0612,0.0374,116.741,-64.858,-45.216,76.96,256.788,negative
23.8172,2.3385,0.6147,27.2107,-6.4633,-7.1513,10.449,116.737,negative
75.1362,3.1611,0.3168,-5.5277,28.5525,21.8393,4.648,356.462,negative
51.624,2.9085,0.242,50.8761,43.1887,9.8145,3.613,238.098,negative
48.2468,3.0332,0.2529,8.573,38.0957,10.5868,4.792,219.087,negative
26.7897,2.5521,0.4236,29.6339,20.456,-2.9292,0.812,237.134,negative
96.2327,4.154,0.0779,110.355,85.0486,43.1844,4.854,248.226,negative
46.7619,2.5786,0.3377,24.7548,43.8771,-6.6812,7.875,102.251,negative
62.7766,3.3331,0.2475,-33.9065,57.5848,23.771,9.9144,323.094,negative
18.8562,2.4385,0.5282,25.1269,-6.5401,-16.9327,11.461,162.848,negative
45.6321,3.0441,0.2213,-18.3986,-20.6427,-14.3164,0.3822,178.255,negative
33.1818,2.4955,0.4696,-17.0341,-22.0762,-8.1803,41.929,41.3816,negative
60.458,3.1944,0.4679,14.3,-33.8765,28.8315,8.292,372.568,negative
29.4741,2.6258,0.3077,18.1242,22.7035,13.1673,48.0364,214.126,negative
36.1741,2.946,0.2865,-4.7746,-18.9697,11.3256,0.254,191.455,negative
46.2915,2.7756,0.3403,49.9706,33.3653,-12.7979,38.707,75.5234,negative
46.0588,3.2217,0.2431,49.2704,34.1066,10.7955,8.686,180.783,negative
44.7394,2.638,0.3107,14.043,37.2246,12.4183,3.251,221.806,negative
91.6423,3.8484,0.078,-56.7107,72.3016,60.019,16.622,285.414,negative
86.0486,3.3587,0.2369,-58.7854,57.8212,-18.8093,2.005,302.553,negative
90.5299,3.033,0.2122,-57.417,84.6189,14.9662,2.039,272.038,negative
20.3836,2.3365,0.6359,22.27,12.9487,-2.0403,43.0032,66.1667,negative
87.2384,2.8848,0.3155,-18.2102,66.6867,-11.3438,4.4265,342.504,negative
107.338,3.5265,0.1315,-47.1175,89.5136,-20.0479,3.312,293.781,negative
27.2304,2.6375,0.371,23.0406,23.3428,9.7216,77.5379,104.283,negative
26.7065,2.6781,0.4281,9.1616,18.6858,-11.6888,26.881,63.7637,negative
23.5647,2.2095,0.5679,30.0056,-13.8665,-8.26,26.5328,185.189,negative
34.7486,2.5629,0.3666,30.3637,-16.3092,14.3186,1.521,109.445,negative
50.4829,3.3194,0.1941,32.1193,39.0162,-18.1839,22.471,141.601,negative
87.4217,3.4231,0.2809,10.4779,68.3446,-24.0948,0.3647,371.79,negative
34.9205,2.8457,0.3267,15.8025,11.8249,11.9768,9.59,154.712,negative
28.6609,2.8609,0.3402,-10.3243,-23.1846,11.4633,20.7574,199.059,negative
75.2057,3.1334,0.192,-58.1243,43.08,10.3219,1.5926,282.915,negative
84.61,3.6809,0.1393,54.4505,86.0228,16.1472,17.575,258.597,negative
45.6094,3.0438,0.226,-0.5056,37.7755,-9.2036,4.25,165.582,negative
37.742,3.0404,0.2478,5.998,34.4104,13.7756,24.216,131.601,negative
38.1817,2.6906,0.3262,10.1326,26.1095,-3.1071,2.572,177.008,negative
73.6263,3.4533,0.2493,-48.0377,42.6119,-26.2742,4.471,372.317,negative
63.3453,3.4233,0.2339,-48.6381,-19.4147,16.9773,0.64,291.553,negative
16.7608,2.2989,0.5829,-0.8645,5.0177,-5.7427,62.618,169.688,negative
27.6746,2.5422,0.3759,30.937,20.242,15.143,19.3719,223.241,negative
13.2617,2.1319,0.7823,14.7178,2.4666,-11.8517,68.604,107.851,negative
61.6463,3.4303,0.2112,54.8329,52.4882,-18.9858,4.2131,234.581,negative
18.6533,2.4338,0.523,-4.2971,16.0316,8.0971,4.7998,55.7509,negative
38.1627,3.1041,0.247,37.2749,22.8564,16.227,5.5119,188.124,negative
12.974,2.1021,0.7431,13.7506,-6.2434,-6.5973,42.2408,168.245,negative
63.2886,3.4434,0.2342,-27.3566,54.6506,19.7834,0.9753,302.897,negative
24.999,2.5434,0.432,5.8044,19.2386,-10.3623,9.862,174.003,negative
35.9913,2.7466,0.3297,-34.0069,-25.3956,-6.3628,0.2425,175.99,negative
44.0846,2.8974,0.1963,25.9525,-35.1309,19.3011,16.119,210.596,negative
65.3574,2.7376,0.2855,-89.2907,-31.2444,-19.7587,4.874,272.68,negative
43.7724,2.8982,0.2743,32.9358,38.4208,11.1037,16.25,273.837,negative
33.4858,2.7969,0.3623,33.3189,19.1818,-6.8774,12.9506,169.066,negative
92.8723,3.1553,0.242,-25.5033,51.797,-19.0013,7.7301,304.585,negative
19.6562,2.238,0.578,-24.0292,-9.836,-2.8001,63.03,118.341,negative
96.8578,3.9903,0.1204,-59.0369,66.0291,-26.431,3.8107,340.996,negative
95.5207,4.1295,0.1005,21.1988,88.912,-15.3593,0.084,260.879,negative
22.7945,2.567,0.5203,-8.7481,-20.3785,12.765,6.7835,110.258,negative
