At3,At6,At7,At8,At9,At10,Class
2.6449,27.7004,22.011,-8.2027,40.092,81.8828,negative
2.5185,26.2722,23.8238,-9.9574,6.3609,205.261,negative
4.0612,116.741,-64.858,-45.216,76.96,256.788,negative
2.3385,27.2107,-6.4633,-7.1513,10.449,116.737,negative
3.1611,-5.5277,28.5525,21.8393,4.648,356.462,negative
2.9085,50.8761,43.1887,9.8145,3.613,238.098,negative
3.0332,8.573,38.0957,10.5868,4.792,219.087,negative
2.5521,29.6339,20.456,-2.9292,0.812,237.134,negative
4.154,110.355,85.0486,43.1844,4.854,248.226,negative
2.5786,24.7548,43.8771,-6.6812,7.875,102.251,negative
3.3331,-33.9065,57.5848,23.771,9.9144,323.094,negative
2.4385,25.1269,-6.5401,-16.9327,11.461,162.848,negative
3.0441,-18.3986,-20.6427,-14.3164,0.3822,178.255,negative
2.4955,-17.0341,-22.0762,-8.1803,41.929,41.3816,negative
3.1944,14.3,-33.8765,28.8315,8.292,372.568,negative
2.6258,18.1242,22.7035,13.1673,48.0364,214.126,negative
2.946,-4.7746,-18.9697,11.3256,0.254,191.455,negative
2.7756,49.9706,33.3653,-12.7979,38.707,75.5234,negative
3.2217,49.2704,34.1066,10.7955,8.686,180.783,negative
2.638,14.043,37.2246,12.4183,3.251,221.806,negative
3.8484,-56.7107,72.3016,60.019,16.622,285.414,negative
3.3587,-58.7854,57.8212,-18.8093,2.005,302.553,negative
3.033,-57.417,84.6189,14.9662,2.039,272.038,negative
2.3365,22.27,12.9487,-2.0403,43.0032,66.1667,negative
2.8848,-18.2102,66.6867,-11.3438,4.4265,342.504,negative
3.5265,-47.1175,89.5136,-20.0479,3.312,293.781,negative
2.6375,23.0406,23.3428,9.7216,77.5379,104.283,negative
2.6781,9.1616,18.6858,-11.6888,26.881,63.7637,negative
2.2095,30.0056,-13.8665,-8.26,26.5328,185.189,negative
2.5629,30.3637,-16.3092,14.3186,1.521,109.445,negative
3.3194,32.1193,39.0162,-18.1839,22.471,141.601,negative
3.4231,10.4779,68.3446,-24.0948,0.3647,371.79,negative
