At3,At8,At9,At10,Class
2.6449,-8.2027,40.092,81.8828,negative
2.5185,-9.9574,6.3609,205.261,negative
4.0612,-45.216,76.96,256.788,negative
2.3385,-7.1513,10.449,116.737,negative
3.1611,21.8393,4.648,356.462,negative
2.9085,9.8145,3.613,238.098,negative
3.0332,10.5868,4.792,219.087,negative
2.5521,-2.9292,0.812,237.134,negative
4.154,43.1844,4.854,248.226,negative
2.5786,-6.6812,7.875,102.251,negative
3.3331,23.771,9.9144,323.094,negative
2.4385,-16.9327,11.461,162.848,negative
3.0441,-14.3164,0.3822,178.255,negative
2.4955,-8.1803,41.929,41.3816,negative
3.1944,28.8315,8.292,372.568,negative
2.6258,13.1673,48.0364,214.126,negative
2.946,11.3256,0.254,191.455,negative
2.7756,-12.7979,38.707,75.5234,negative
3.2217,10.7955,8.686,180.783,negative
2.638,12.4183,3.251,221.806,negative
3.8484,60.019,16.622,285.414,negative
3.3587,-18.8093,2.005,302.553,negative
3.033,14.9662,2.039,272.038,negative
2.3365,-2.0403,43.0032,66.1667,negative
2.8848,-11.3438,4.4265,342.504,negative
3.5265,-20.0479,3.312,293.781,negative
2.6375,9.7216,77.5379,104.283,negative
2.6781,-11.6888,26.881,63.7637,negative
2.2095,-8.26,26.5328,185.189,negative
2.5629,14.3186,1.521,109.445,negative
3.3194,-18.1839,22.471,141.601,negative
3.4231,-24.0948,0.3647,371.79,negative
2.8457,11.9768,9.59,154.712,negative
2.8609,11.4633,20.7574,199.059,negative
3.1334,10.3219,1.5926,282.915,negative
3.6809,16.1472,17.575,258.597,negative
3.0438,-9.2036,4.25,165.582,negative
3.0404,13.7756,24.216,131.601,negative
2.6906,-3.1071,2.572,177.008,negative
3.4533,-26.2742,4.471,372.317,negative
3.4233,16.9773,0.64,291.553,negative
2.2989,-5.7427,62.618,169.688,negative
2.5422,15.143,19.3719,223.241,negative
2.1319,-11.8517,68.604,107.851,negative
3.4303,-18.9858,4.2131,234.581,negative
2.4338,8.0971,4.7998,55.7509,negative
3.1041,16.227,5.5119,188.124,negative
2.1021,-6.5973,42.2408,168.245,negative
3.4434,19.7834,0.9753,302.897,negative
2.5434,-10.3623,9.862,174.003,negative
2.7466,-6.3628,0.2425,175.99,negative
2.8974,19.3011,16.119,210.596,negative
2.7376,-19.7587,4.874,272.68,negative
2.8982,11.1037,16.25,273.837,negative
2.7969,-6.8774,12.9506,169.066,negative
3.1553,-19.0013,7.7301,304.585,negative
2.238,-2.8001,63.03,118.341,negative
3.9903,-26.431,3.8107,340.996,negative
4.1295,-15.3593,0.084,260.879,negative
2.567,12.765,6.7835,110.258,negative
3.4357,-7.3935,9.941,223.912,negative
2.699,-13.6786,8.718,178.647,negative
2.4362,7.7025,74.5664,57.7231,negative
2.1255,-6.0245,85.103,235.951,negative
3.359,20.5479,9.782,307.321,negative
2.4526,-5.1006,0.9075,74.5242,negative
2.1414,6.0883,40.656,146.512,negative
3.2641,22.939,0.67,150.761,negative
2.3064,1.6476,3.675,197.338,negative
2.7372,15.0702,15.9328,222.184,negative
2.2188,5.5499,33.4008,210.819,negative
3.1984,-12.7104,11.5159,160.519,negative
3.0663,-7.5776,17.6684,201.404,negative
2.4661,-9.9017,43.565,194.384,negative
2.4425,-3.923,13.8089,55.4986,negative
2.7997,-14.0979,5.094,217.856,negative
2.1492,-10.8294,14.3756,251.28,negative
3.0885,14.2821,3.497,358.99,negative
3.8026,26.1668,2.643,306.55,negative
2.7763,6.5266,3.7449,201.01,negative
3.1361,12.715,7.6147,219.077,negative
3.8899,14.069,3.689,158.618,negative
2.5993,14.8483,81.8671,120.263,negative
2.2934,-4.9889,13.17,130.918,negative
2.1804,6.6103,35.4993,95.7374,negative
3.9208,-14.3854,2.428,255.315,negative
2.4298,-9.3853,1.886,32.6827,negative
2.8429,12.4846,8.376,227.336,negative
2.7308,16.1237,17.671,213.317,negative
2.8052,8.5485,1.3841,230.089,negative
3.1573,-24.9966,2.936,294.746,negative
2.9914,-12.2594,4.029,363.489,negative
3.7043,-14.371,0.2442,327.992,negative
2.7966,17.0574,6.4974,299.173,negative
2.2718,-6.3001,43.3661,147.236,negative
2.4048,6.2085,24.847,193.349,negative
2.5605,10.389,83.8081,235.203,negative
2.5072,-11.3244,12.1807,193.794,negative
2.4074,11.397,69.2291,219.394,negative
3.0414,-23.3496,0.6344,91.228,negative
3.0071,6.7814,2.5099,293.081,negative
2.5496,7.7365,39.189,168.084,negative
2.747,-7.859,4.798,159.704,negative
2.5545,16.6915,23.149,282.616,negative
2.4099,5.6343,4.1527,183.852,negative
2.7727,-14.982,1.854,302.219,negative
2.3927,13.3864,13.741,154.264,negative
2.5821,5.127,25.657,166.95,negative
3.3959,9.3292,3.6565,189.155,negative
2.5391,12.3285,65.2451,72.7386,negative
2.8439,-15.8111,23.821,109.02,negative
2.2504,-2.8594,27.549,146.596,negative
2.57,-6.2792,23.123,142.372,negative
2.6464,11.3697,24.109,69.2467,negative
2.2,0,34.817,182.016,negative
2.3181,-7.0892,27.014,128.707,negative
2.8639,-10.0668,23.5868,188.636,negative
3.1921,-17.914,2.582,188.983,negative
2.7657,8.1139,41.065,152.596,negative
2.224,-11.7029,54.0277,181.817,negative
2.4564,7.8713,47.777,149.657,negative
2.4526,5.3072,2.5957,48.9988,negative
3.1041,-12.6086,0.45,288.263,negative
3.9457,22.1504,4.0677,327.251,negative
2.8837,11.5684,20.194,94.0063,negative
2.5916,-12.0534,25.7775,91.6373,negative
2.8943,10.7621,1.574,250.91,negative
3.3917,-12.3834,2.9261,233.617,negative
3.7262,12.8892,4.155,295.38,negative
2.5804,15.3472,40.3711,99.7447,negative
3.2909,-11.1395,0.6925,182.477,negative
2.8445,-10.599,5.066,272.617,negative
2.2911,-14.8757,74.308,316.47,negative
2.4116,6.0007,18.5125,190.039,negative
2.5821,-14.4939,17.1286,114.938,negative
2.9974,11.8667,11.6079,163.722,negative
2.934,-18.5123,27.943,151.522,negative
2.7938,28.1989,9.628,308.373,negative
2.3738,11.3032,66.649,78.9436,negative
2.316,10.2235,1.5485,232.154,negative
2.4191,-8.1001,26.586,199.96,negative
2.3701,3.9151,41.563,147.489,negative
2.3664,7.0429,1.2543,201.751,negative
3.2496,16.5613,3.121,229.768,negative
2.1383,-4.8598,24.7838,173.073,negative
2.9917,-10.5913,6.955,203.072,negative
2.1629,0,80.3449,210.833,negative
2.2529,5.3027,15.8259,159.544,negative
2.4778,10.6797,13.6965,136.651,negative
2.8092,8.2134,2.608,178.462,negative
2.7551,-8.487,8.709,196.918,negative
3.5327,12.0158,3.2128,256.435,negative
2.1973,10.0776,58.845,166.287,negative
2.9462,-20.7681,6.087,309.622,negative
2.9117,-10.1794,0.774,233.346,negative
3.8528,-23.9483,0.7567,246.341,negative
3.5143,18.3607,1.919,284.652,negative
2.2068,10.4839,9.215,236.65,negative
2.8808,12.1712,5.235,289.536,negative
2.4241,-11.7431,29.844,225.566,negative
2.356,-9.1862,22.3655,120.076,negative
2.2844,5.7986,2.7533,175.992,negative
4.0942,32.7482,3.0094,256.828,negative
2.6128,12.0692,4.182,146.803,negative
2.9805,4.1406,2.0711,225.707,negative
2.7197,-11.5139,22.951,157.613,negative
3.0755,-14.117,4.7597,335.983,negative
2.404,7.8845,36.457,132.889,negative
3.4791,-29.0666,1.1057,264.642,negative
3.008,-10.2088,4.087,291.175,negative
2.2443,5.9528,88.4999,189.577,negative
2.4289,-7.645,10.378,216.895,negative
2.616,-14.2938,0.8652,256.869,negative
2.4786,-5.1062,12.715,109.517,negative
2.5085,8.0364,58.903,174.401,negative
2.534,8.3832,6.2472,131.247,negative
2.7404,-17.9965,10.08,288.194,negative
3.096,-5.9832,0.644,286.265,negative
2.1775,-5.7228,9.1256,159.126,negative
2.5224,-11.354,47.786,86.2468,negative
3.6714,-24.8336,4.142,228.254,negative
2.081,-5.9792,28.79,177.459,negative
2.7882,-11.6112,1.713,184.572,negative
2.2753,-14.0925,4.2353,169.08,negative
2.4969,14.4754,12.9801,220.713,negative
2.5302,-13.2107,10.288,125.972,negative
2.3075,15.5561,44.74,225.809,negative
