At3,At9,At10,Class
2.6449,40.092,81.8828,negative
2.5185,6.3609,205.261,negative
4.0612,76.96,256.788,negative
2.3385,10.449,116.737,negative
3.1611,4.648,356.462,negative
2.9085,3.613,238.098,negative
3.0332,4.792,219.087,negative
2.5521,0.812,237.134,negative
4.154,4.854,248.226,negative
2.5786,7.875,102.251,negative
3.3331,9.9144,323.094,negative
2.4385,11.461,162.848,negative
3.0441,0.3822,178.255,negative
2.4955,41.929,41.3816,negative
3.1944,8.292,372.568,negative
2.6258,48.0364,214.126,negative
2.946,0.254,191.455,negative
2.7756,38.707,75.5234,negative
3.2217,8.686,180.783,negative
2.638,3.251,221.806,negative
3.8484,16.622,285.414,negative
3.3587,2.005,302.553,negative
3.033,2.039,272.038,negative
2.3365,43.0032,66.1667,negative
2.8848,4.4265,342.504,negative
3.5265,3.312,293.781,negative
2.6375,77.5379,104.283,negative
2.6781,26.881,63.7637,negative
2.2095,26.5328,185.189,negative
2.5629,1.521,109.445,negative
3.3194,22.471,141.601,negative
3.4231,0.3647,371.79,negative
2.8457,9.59,154.712,negative
2.8609,20.7574,199.059,negative
3.1334,1.5926,282.915,negative
3.6809,17.575,258.597,negative
3.0438,4.25,165.582,negative
3.0404,24.216,131.601,negative
2.6906,2.572,177.008,negative
3.4533,4.471,372.317,negative
3.4233,0.64,291.553,negative
2.2989,62.618,169.688,negative
2.5422,19.3719,223.241,negative
2.1319,68.604,107.851,negative
3.4303,4.2131,234.581,negative
2.4338,4.7998,55.7509,negative
3.1041,5.5119,188.124,negative
2.1021,42.2408,168.245,negative
3.4434,0.9753,302.897,negative
2.5434,9.862,174.003,negative
2.7466,0.2425,175.99,negative
2.8974,16.119,210.596,negative
2.7376,4.874,272.68,negative
2.8982,16.25,273.837,negative
2.7969,12.9506,169.066,negative
3.1553,7.7301,304.585,negative
2.238,63.03,118.341,negative
3.9903,3.8107,340.996,negative
4.1295,0.084,260.879,negative
2.567,6.7835,110.258,negative
3.4357,9.941,223.912,negative
2.699,8.718,178.647,negative
2.4362,74.5664,57.7231,negative
2.1255,85.103,235.951,negative
3.359,9.782,307.321,negative
2.4526,0.9075,74.5242,negative
2.1414,40.656,146.512,negative
3.2641,0.67,150.761,negative
2.3064,3.675,197.338,negative
2.7372,15.9328,222.184,negative
2.2188,33.4008,210.819,negative
3.1984,11.5159,160.519,negative
3.0663,17.6684,201.404,negative
2.4661,43.565,194.384,negative
2.4425,13.8089,55.4986,negative
2.7997,5.094,217.856,negative
2.1492,14.3756,251.28,negative
3.0885,3.497,358.99,negative
3.8026,2.643,306.55,negative
2.7763,3.7449,201.01,negative
3.1361,7.6147,219.077,negative
3.8899,3.689,158.618,negative
2.5993,81.8671,120.263,negative
2.2934,13.17,130.918,negative
2.1804,35.4993,95.7374,negative
3.9208,2.428,255.315,negative
2.4298,1.886,32.6827,negative
2.8429,8.376,227.336,negative
2.7308,17.671,213.317,negative
2.8052,1.3841,230.089,negative
3.1573,2.936,294.746,negative
2.9914,4.029,363.489,negative
3.7043,0.2442,327.992,negative
2.7966,6.4974,299.173,negative
2.2718,43.3661,147.236,negative
2.4048,24.847,193.349,negative
2.5605,83.8081,235.203,negative
2.5072,12.1807,193.794,negative
2.4074,69.2291,219.394,negative
3.0414,0.6344,91.228,negative
3.0071,2.5099,293.081,negative
2.5496,39.189,168.084,negative
2.747,4.798,159.704,negative
2.5545,23.149,282.616,negative
2.4099,4.1527,183.852,negative
2.7727,1.854,302.219,negative
2.3927,13.741,154.264,negative
2.5821,25.657,166.95,negative
3.3959,3.6565,189.155,negative
2.5391,65.2451,72.7386,negative
2.8439,23.821,109.02,negative
2.2504,27.549,146.596,negative
2.57,23.123,142.372,negative
2.6464,24.109,69.2467,negative
2.2,34.817,182.016,negative
2.3181,27.014,128.707,negative
2.8639,23.5868,188.636,negative
3.1921,2.582,188.983,negative
2.7657,41.065,152.596,negative
2.224,54.0277,181.817,negative
2.4564,47.777,149.657,negative
2.4526,2.5957,48.9988,negative
3.1041,0.45,288.263,negative
3.9457,4.0677,327.251,negative
2.8837,20.194,94.0063,negative
2.5916,25.7775,91.6373,negative
2.8943,1.574,250.91,negative
3.3917,2.9261,233.617,negative
3.7262,4.155,295.38,negative
2.5804,40.3711,99.7447,negative
3.2909,0.6925,182.477,negative
2.8445,5.066,272.617,negative
2.2911,74.308,316.47,negative
2.4116,18.5125,190.039,negative
2.5821,17.1286,114.938,negative
2.9974,11.6079,163.722,negative
2.934,27.943,151.522,negative
2.7938,9.628,308.373,negative
2.3738,66.649,78.9436,negative
2.316,1.5485,232.154,negative
2.4191,26.586,199.96,negative
2.3701,41.563,147.489,negative
2.3664,1.2543,201.751,negative
3.2496,3.121,229.768,negative
2.1383,24.7838,173.073,negative
2.9917,6.955,203.072,negative
