At9,At10,Class
40.092,81.8828,negative
6.3609,205.261,negative
76.96,256.788,negative
10.449,116.737,negative
4.648,356.462,negative
3.613,238.098,negative
4.792,219.087,negative
0.812,237.134,negative
4.854,248.226,negative
7.875,102.251,negative
9.9144,323.094,negative
11.461,162.848,negative
0.3822,178.255,negative
41.929,41.3816,negative
8.292,372.568,negative
48.0364,214.126,negative
0.254,191.455,negative
38.707,75.5234,negative
8.686,180.783,negative
3.251,221.806,negative
16.622,285.414,negative
2.005,302.553,negative
2.039,272.038,negative
43.0032,66.1667,negative
4.4265,342.504,negative
3.312,293.781,negative
77.5379,104.283,negative
26.881,63.7637,negative
26.5328,185.189,negative
1.521,109.445,negative
22.471,141.601,negative
0.3647,371.79,negative
9.59,154.712,negative
20.7574,199.059,negative
1.5926,282.915,negative
17.575,258.597,negative
4.25,165.582,negative
24.216,131.601,negative
2.572,177.008,negative
4.471,372.317,negative
0.64,291.553,negative
62.618,169.688,negative
19.3719,223.241,negative
68.604,107.851,negative
4.2131,234.581,negative
4.7998,55.7509,negative
5.5119,188.124,negative
42.2408,168.245,negative
0.9753,302.897,negative
9.862,174.003,negative
0.2425,175.99,negative
16.119,210.596,negative
4.874,272.68,negative
16.25,273.837,negative
12.9506,169.066,negative
7.7301,304.585,negative
63.03,118.341,negative
3.8107,340.996,negative
0.084,260.879,negative
6.7835,110.258,negative
9.941,223.912,negative
8.718,178.647,negative
74.5664,57.7231,negative
85.103,235.951,negative
9.782,307.321,negative
0.9075,74.5242,negative
40.656,146.512,negative
0.67,150.761,negative
3.675,197.338,negative
15.9328,222.184,negative
33.4008,210.819,negative
11.5159,160.519,negative
17.6684,201.404,negative
43.565,194.384,negative
13.8089,55.4986,negative
5.094,217.856,negative
14.3756,251.28,negative
3.497,358.99,negative
2.643,306.55,negative
3.7449,201.01,negative
7.6147,219.077,negative
3.689,158.618,negative
81.8671,120.263,negative
13.17,130.918,negative
35.4993,95.7374,negative
2.428,255.315,negative
1.886,32.6827,negative
8.376,227.336,negative
17.671,213.317,negative
1.3841,230.089,negative
2.936,294.746,negative
4.029,363.489,negative
0.2442,327.992,negative
6.4974,299.173,negative
43.3661,147.236,negative
24.847,193.349,negative
83.8081,235.203,negative
12.1807,193.794,negative
69.2291,219.394,negative
0.6344,91.228,negative
2.5099,293.081,negative
39.189,168.084,negative
4.798,159.704,negative
23.149,282.616,negative
4.1527,183.852,negative
1.854,302.219,negative
13.741,154.264,negative
25.657,166.95,negative
3.6565,189.155,negative
65.2451,72.7386,negative
23.821,109.02,negative
27.549,146.596,negative
23.123,142.372,negative
24.109,69.2467,negative
34.817,182.016,negative
27.014,128.707,negative
23.5868,188.636,negative
2.582,188.983,negative
41.065,152.596,negative
54.0277,181.817,negative
47.777,149.657,negative
2.5957,48.9988,negative
0.45,288.263,negative
4.0677,327.251,negative
20.194,94.0063,negative
25.7775,91.6373,negative
1.574,250.91,negative
2.9261,233.617,negative
4.155,295.38,negative
40.3711,99.7447,negative
0.6925,182.477,negative
5.066,272.617,negative
74.308,316.47,negative
18.5125,190.039,negative
17.1286,114.938,negative
11.6079,163.722,negative
27.943,151.522,negative
9.628,308.373,negative
66.649,78.9436,negative
1.5485,232.154,negative
26.586,199.96,negative
41.563,147.489,negative
1.2543,201.751,negative
3.121,229.768,negative
24.7838,173.073,negative
6.955,203.072,negative
80.3449,210.833,negative
15.8259,159.544,negative
13.6965,136.651,negative
2.608,178.462,negative
8.709,196.918,negative
3.2128,256.435,negative
58.845,166.287,negative
6.087,309.622,negative
0.774,233.346,negative
0.7567,246.341,negative
1.919,284.652,negative
9.215,236.65,negative
5.235,289.536,negative
29.844,225.566,negative
22.3655,120.076,negative
2.7533,175.992,negative
3.0094,256.828,negative
4.182,146.803,negative
2.0711,225.707,negative
22.951,157.613,negative
4.7597,335.983,negative
36.457,132.889,negative
1.1057,264.642,negative
4.087,291.175,negative
88.4999,189.577,negative
10.378,216.895,negative
0.8652,256.869,negative
