At9,Class
40.092,negative
6.3609,negative
76.96,negative
10.449,negative
4.648,negative
3.613,negative
4.792,negative
0.812,negative
4.854,negative
7.875,negative
9.9144,negative
11.461,negative
0.3822,negative
41.929,negative
8.292,negative
48.0364,negative
0.254,negative
38.707,negative
8.686,negative
3.251,negative
16.622,negative
2.005,negative
2.039,negative
43.0032,negative
4.4265,negative
3.312,negative
77.5379,negative
26.881,negative
26.5328,negative
1.521,negative
22.471,negative
0.3647,negative
9.59,negative
20.7574,negative
1.5926,negative
17.575,negative
4.25,negative
24.216,negative
2.572,negative
4.471,negative
0.64,negative
62.618,negative
19.3719,negative
68.604,negative
4.2131,negative
4.7998,negative
5.5119,negative
42.2408,negative
0.9753,negative
9.862,negative
0.2425,negative
16.119,negative
4.874,negative
16.25,negative
12.9506,negative
7.7301,negative
63.03,negative
3.8107,negative
0.084,negative
6.7835,negative
9.941,negative
8.718,negative
74.5664,negative
85.103,negative
9.782,negative
0.9075,negative
40.656,negative
0.67,negative
3.675,negative
15.9328,negative
33.4008,negative
11.5159,negative
17.6684,negative
43.565,negative
13.8089,negative
5.094,negative
14.3756,negative
3.497,negative
2.643,negative
3.7449,negative
7.6147,negative
3.689,negative
81.8671,negative
13.17,negative
35.4993,negative
2.428,negative
1.886,negative
8.376,negative
17.671,negative
1.3841,negative
2.936,negative
4.029,negative
0.2442,negative
6.4974,negative
43.3661,negative
24.847,negative
83.8081,negative
12.1807,negative
69.2291,negative
0.6344,negative
2.5099,negative
39.189,negative
4.798,negative
23.149,negative
4.1527,negative
1.854,negative
13.741,negative
25.657,negative
3.6565,negative
65.2451,negative
23.821,negative
27.549,negative
23.123,negative
24.109,negative
34.817,negative
27.014,negative
23.5868,negative
2.582,negative
41.065,negative
54.0277,negative
47.777,negative
2.5957,negative
0.45,negative
4.0677,negative
20.194,negative
25.7775,negative
1.574,negative
2.9261,negative
4.155,negative
40.3711,negative
0.6925,negative
5.066,negative
74.308,negative
18.5125,negative
17.1286,negative
11.6079,negative
27.943,negative
9.628,negative
66.649,negative
1.5485,negative
26.586,negative
41.563,negative
1.2543,negative
3.121,negative
24.7838,negative
6.955,negative
80.3449,negative
15.8259,negative
13.6965,negative
2.608,negative
8.709,negative
3.2128,negative
58.845,negative
6.087,negative
0.774,negative
0.7567,negative
1.919,negative
9.215,negative
5.235,negative
29.844,negative
22.3655,negative
2.7533,negative
3.0094,negative
4.182,negative
2.0711,negative
22.951,negative
4.7597,negative
36.457,negative
1.1057,negative
4.087,negative
88.4999,negative
10.378,negative
0.8652,negative
12.715,negative
58.903,negative
6.2472,negative
10.08,negative
0.644,negative
9.1256,negative
47.786,negative
4.142,negative
28.79,negative
1.713,negative
4.2353,negative
12.9801,negative
10.288,negative
44.74,negative
10.615,negative
5.097,negative
3.227,negative
3.7714,negative
1.892,negative
44.9,negative
32.377,negative
3.9746,negative
82.0505,negative
1.7038,negative
26.3559,negative
31.553,negative
6.1992,negative
7.6914,negative
2.926,negative
2.8462,negative
81.6368,negative
12.616,negative
10.2785,negative
12.267,negative
27.835,negative
1.7371,negative
9.1923,negative
5.096,negative
61.5621,negative
18.354,negative
27.297,negative
27.621,negative
1.9727,negative
1.925,negative
0.305,negative
12.727,negative
5.2437,negative
0.352,negative
4.8152,negative
10.304,negative
1.0067,negative
56.923,negative
0.137,negative
50.0234,negative
3.241,negative
47.8491,negative
74.1884,negative
17.7108,negative
46.1539,negative
29.5051,negative
34.2372,negative
46.43,negative
69.7431,negative
7.615,negative
4.6366,negative
29.644,negative
20.664,negative
0.556,negative
4.4376,negative
27.604,negative
6.6462,negative
1.818,negative
6.878,negative
16.2095,negative
2.8523,negative
3.473,negative
0.402,negative
30.763,negative
5.4509,negative
33.5573,negative
8.44,negative
53.815,negative
7.803,negative
75.3948,negative
4.5199,negative
6.6995,negative
53.7383,negative
31.4965,negative
6.8985,negative
1.985,negative
41.91,negative
26.996,negative
19.79,negative
1.53,negative
40.035,negative
33.371,negative
35.595,negative
88.1516,negative
7.596,negative
36.953,negative
5.847,negative
45.059,negative
8.364,negative
6.891,negative
0.7472,negative
14.8311,negative
2.969,negative
7.8488,negative
14.233,negative
39.0829,negative
31.2269,negative
27.3603,negative
0,negative
27.4653,negative
1.6985,negative
0.57,negative
3.378,negative
1.701,negative
0.71,negative
20.646,negative
12.24,negative
6.915,negative
4.1635,negative
11.287,negative
79.5407,negative
24.8586,negative
2.4098,negative
48.259,negative
17.073,negative
6.846,negative
8.0075,negative
3.655,negative
6.484,negative
13.69,negative
45.778,negative
29.1324,negative
9.822,negative
42.523,negative
7.4414,negative
20.997,negative
25.149,negative
2.0919,negative
76.0739,negative
2.3112,negative
0.589,negative
8.2969,negative
20.1948,negative
3.4614,negative
37.2132,negative
9.402,negative
4.802,negative
3.1218,negative
3.4278,negative
50.86,negative
89.2231,negative
2.245,negative
1.7076,negative
83.8778,negative
25.643,negative
0.803,negative
1.873,negative
1.569,negative
20.872,negative
14.103,negative
11.762,negative
12.8677,negative
7.132,negative
11.138,negative
0.4,negative
7.208,negative
11.677,negative
2.129,negative
2.103,negative
72.2425,negative
47.377,negative
5.1606,negative
6.11,negative
8.217,negative
4.1234,negative
6.7334,negative
33.8435,negative
3.1693,negative
11.679,negative
1.2142,negative
4.939,negative
7.755,negative
12.089,negative
16.395,negative
18.82,negative
2.3084,negative
71.066,negative
11.1868,negative
5.4609,negative
1.6058,negative
14.71,negative
21.329,negative
26.831,negative
25.431,negative
3.902,negative
4.2311,negative
0.0648,negative
11.3154,negative
7.923,negative
49.1483,negative
81.0899,negative
13.269,negative
60.493,negative
28.521,negative
32.6097,negative
3.3162,negative
81.2274,negative
8.977,negative
10.6245,negative
84.2593,negative
9.654,negative
4.1367,negative
16.194,negative
39.4624,negative
1.562,negative
13.7301,negative
36.077,negative
10.721,negative
13.913,negative
68.6674,negative
6.986,negative
1.8811,negative
1.6851,negative
0.624,negative
4.075,negative
45.6611,negative
5.4306,negative
9.3666,negative
0.47,negative
29.603,negative
0.1899,negative
15.834,negative
66.0281,negative
