Height,Lenght,Eccen,P_black,P_and,Blackand,Wb_trans,Class
5,7,1.4,0.4,0.657,23,6,negative
6,7,1.167,0.429,0.881,37,5,negative
6,18,3,0.287,0.741,80,7,negative
5,7,1.4,0.371,0.743,26,3,negative
6,3,500,0.5,0.944,17,4,negative
5,8,1.6,0.55,1,40,9,negative
6,4,0.667,0.417,0.708,17,4,negative
5,6,1.2,0.333,0.333,10,1,negative
5,5,1,0.4,0.52,13,1,negative
5,7,1.4,0.486,0.914,32,2,negative
5,2,0.4,0.8,1,10,1,negative
5,3,0.6,0.533,0.733,11,1,negative
5,6,1.2,0.433,0.733,22,1,negative
5,7,1.4,0.429,0.857,30,3,negative
6,7,1.167,0.405,0.881,737,4,negative
5,8,1.6,0.375,0.475,19,1,negative
6,7,1.167,0.405,0.952,40,4,negative
5,19,3.8,0.232,0.4,38,4,negative
5,5,1,0.4,0.56,14,2,negative
4,6,1.5,0.417,0.5,12,1,negative
4,6,1.5,0.458,0.792,19,2,negative
4,18,4.5,0.25,0.528,38,7,negative
6,7,1.167,0.357,0.548,23,2,negative
5,7,1.4,0.429,0.886,31,6,negative
5,4,0.8,0.5,0.8,16,1,negative
13,25,1.923,0.234,0.286,93,7,negative
13,25,1.923,0.351,0.68,221,19,negative
7,16,2.286,0.321,0.643,72,14,negative
7,103,14.714,0.295,0.691,498,121,negative
11,9,0.818,0.343,0.626,62,10,negative
11,8,0.727,0.58,1,88,10,negative
11,8,0.727,0.409,0.477,42,1,negative
11,8,0.727,0.602,1,88,9,negative
11,35,3.182,0.382,0.657,253,24,negative
3,113,37.667,0.41,0.472,160,10,positive
3,59,19.667,0.475,0.475,84,1,positive
2,20,10,0.675,0.675,27,1,positive
2,101,50.5,0.54,0.743,150,10,positive
10,38,3.8,0.426,0.947,360,52,negative
9,21,2.333,0.429,0.772,146,27,negative
9,37,4.111,0.532,0.913,304,55,negative
10,98,9.8,0.379,0.835,818,167,negative
9,50,5.556,0.496,0.958,431,83,negative
4,194,48.5,0.263,0.273,212,6,positive
2,18,9,0.667,0.694,25,1,positive
2,22,11,0.75,0.75,33,1,positive
2,18,9,0.806,0.833,30,1,positive
2,22,11,0.705,0.864,38,2,positive
10,66,6.6,0.273,0.661,436,93,negative
9,90,10,0.26,0.786,637,97,negative
9,22,2.444,0.288,0.818,162,23,negative
9,92,10.222,0.286,0.885,733,123,negative
9,12,1.333,0.444,0.981,106,28,negative
9,51,5.667,0.296,0.786,361,58,negative
9,34,3.778,0.32,0.886,271,63,negative
9,80,8.889,0.333,0.878,632,119,negative
8,95,11.875,0.303,0.937,712,130,negative
11,99,9,0.23,0.601,654,117,negative
10,12,1.2,0.367,1,120,26,negative
10,53,5.3,0.294,0.819,434,87,negative
9,92,10.222,0.292,0.843,698,118,negative
11,85,7.727,0.257,0.894,836,144,negative
9,83,9.222,0.284,0.849,634,111,negative
9,12,1.333,0.454,1,108,29,negative
9,64,7.111,0.299,0.97,559,95,negative
11,102,9.273,0.223,0.768,862,163,negative
12,12,1,0.306,0.979,141,26,negative
12,56,4.667,0.256,0.827,556,85,negative
9,84,9.333,0.222,0.937,708,93,negative
9,54,6,0.292,0.957,465,96,negative
9,41,4.556,0.298,0.775,286,58,negative
10,83,8.3,0.266,0.827,686,105,negative
10,4,0.4,0.375,0.4,16,1,negative
12,11,0.917,0.371,1,132,30,negative
12,44,3.667,0.261,0.767,405,58,negative
10,34,3.4,0.297,0.885,301,59,negative
9,76,8.444,0.307,0.882,603,114,negative
12,14,1.167,0.357,0.958,161,26,negative
12,7,0.583,0.214,0.583,49,5,negative
12,44,3.667,0.294,0.742,392,67,negative
10,63,6.3,0.233,0.705,444,87,negative
