Lenght,Eccen,P_black,P_and,Wb_trans,Class
7,1.4,0.4,0.657,6,negative
7,1.167,0.429,0.881,5,negative
18,3,0.287,0.741,7,negative
7,1.4,0.371,0.743,3,negative
3,500,0.5,0.944,4,negative
8,1.6,0.55,1,9,negative
4,0.667,0.417,0.708,4,negative
6,1.2,0.333,0.333,1,negative
5,1,0.4,0.52,1,negative
7,1.4,0.486,0.914,2,negative
2,0.4,0.8,1,1,negative
3,0.6,0.533,0.733,1,negative
6,1.2,0.433,0.733,1,negative
7,1.4,0.429,0.857,3,negative
7,1.167,0.405,0.881,4,negative
8,1.6,0.375,0.475,1,negative
7,1.167,0.405,0.952,4,negative
19,3.8,0.232,0.4,4,negative
5,1,0.4,0.56,2,negative
6,1.5,0.417,0.5,1,negative
6,1.5,0.458,0.792,2,negative
18,4.5,0.25,0.528,7,negative
7,1.167,0.357,0.548,2,negative
7,1.4,0.429,0.886,6,negative
4,0.8,0.5,0.8,1,negative
25,1.923,0.234,0.286,7,negative
25,1.923,0.351,0.68,19,negative
16,2.286,0.321,0.643,14,negative
103,14.714,0.295,0.691,121,negative
9,0.818,0.343,0.626,10,negative
8,0.727,0.58,1,10,negative
8,0.727,0.409,0.477,1,negative
8,0.727,0.602,1,9,negative
35,3.182,0.382,0.657,24,negative
113,37.667,0.41,0.472,10,positive
59,19.667,0.475,0.475,1,positive
20,10,0.675,0.675,1,positive
101,50.5,0.54,0.743,10,positive
38,3.8,0.426,0.947,52,negative
21,2.333,0.429,0.772,27,negative
37,4.111,0.532,0.913,55,negative
98,9.8,0.379,0.835,167,negative
50,5.556,0.496,0.958,83,negative
194,48.5,0.263,0.273,6,positive
18,9,0.667,0.694,1,positive
22,11,0.75,0.75,1,positive
18,9,0.806,0.833,1,positive
22,11,0.705,0.864,2,positive
66,6.6,0.273,0.661,93,negative
90,10,0.26,0.786,97,negative
22,2.444,0.288,0.818,23,negative
92,10.222,0.286,0.885,123,negative
12,1.333,0.444,0.981,28,negative
51,5.667,0.296,0.786,58,negative
34,3.778,0.32,0.886,63,negative
80,8.889,0.333,0.878,119,negative
95,11.875,0.303,0.937,130,negative
99,9,0.23,0.601,117,negative
12,1.2,0.367,1,26,negative
53,5.3,0.294,0.819,87,negative
92,10.222,0.292,0.843,118,negative
85,7.727,0.257,0.894,144,negative
83,9.222,0.284,0.849,111,negative
12,1.333,0.454,1,29,negative
64,7.111,0.299,0.97,95,negative
102,9.273,0.223,0.768,163,negative
12,1,0.306,0.979,26,negative
56,4.667,0.256,0.827,85,negative
84,9.333,0.222,0.937,93,negative
54,6,0.292,0.957,96,negative
41,4.556,0.298,0.775,58,negative
83,8.3,0.266,0.827,105,negative
4,0.4,0.375,0.4,1,negative
11,0.917,0.371,1,30,negative
44,3.667,0.261,0.767,58,negative
34,3.4,0.297,0.885,59,negative
76,8.444,0.307,0.882,114,negative
14,1.167,0.357,0.958,26,negative
7,0.583,0.214,0.583,5,negative
44,3.667,0.294,0.742,67,negative
63,6.3,0.233,0.705,87,negative
32,3.556,0.271,0.594,35,negative
116,38.667,0.385,0.494,4,positive
10,10,1,1,1,positive
13,13,1,1,1,positive
8,8,1,1,1,positive
44,44,0.25,1,5,positive
20,10,0.725,0.875,1,positive
20,10,0.775,0.85,1,positive
10,0.769,0.3,0.808,6,negative
86,7.818,0.413,0.853,126,negative
20,1.818,0.168,0.75,11,negative
5,0.556,0.378,0.933,6,negative
3,0.375,0.417,0.417,1,negative
113,37.667,0.357,0.378,4,positive
3,0.031,0.48,0.486,1,positive
48,24,0.625,0.677,2,positive
65,5.909,0.39,0.877,107,negative
37,4.111,0.526,0.898,55,negative
21,2.333,0.291,0.762,35,negative
8,1,0.234,0.328,3,negative
100,10,0.436,0.91,172,negative
85,9.444,0.302,0.812,127,negative
32,3.556,0.302,0.781,42,negative
101,9.182,0.398,0.888,160,negative
119,10.818,0.261,0.798,181,negative
126,12.6,0.425,0.862,200,negative
13,1.444,0.239,0.462,6,negative
75,8.333,0.256,0.606,79,negative
119,10.818,0.236,0.747,177,negative
44,4.4,0.393,0.852,55,negative
40,4.444,0.356,0.967,56,negative
48,6,0.302,0.914,66,negative
44,4.889,0.46,0.937,64,negative
47,5.222,0.274,0.747,48,negative
40,4.444,0.319,0.919,49,negative
116,38.667,0.356,0.371,2,positive
18,9,0.722,0.722,1,positive
132,44,0.505,0.558,10,positive
17,17,0.765,1,4,positive
8,8,1,1,1,positive
69,34.5,0.623,0.906,8,positive
46,23,0.587,0.761,3,positive
77,7,0.345,0.874,120,negative
41,4.556,0.301,0.886,58,negative
57,57,0.456,1,7,positive
10,10,0.9,1,1,positive
185,13.214,0.254,0.651,289,negative
152,15.2,0.297,0.778,208,negative
116,58,0.616,0.802,8,positive
123,13.667,0.362,0.986,153,negative
17,8.5,0.588,0.971,3,positive
131,13.1,0.415,0.857,198,negative
12,12,0.583,1,2,negative
27,4.5,0.154,0.481,9,negative
15,2.143,0.324,0.762,11,negative
58,8.286,0.202,0.751,35,negative
46,6.571,0.155,0.587,12,negative
27,27,0.593,1,4,negative
17,2.429,0.227,0.58,10,negative
31,15.5,0.194,0.516,6,negative
12,12,0.583,1,2,negative
17,8.5,0.324,1,4,negative
11,5.5,0.409,0.955,1,negative
19,9.5,0.237,1,5,negative
107,15.286,0.27,0.654,126,negative
9,1.8,0.267,0.778,7,negative
