Lenght,Eccen,P_black,P_and,Class
7,1.4,0.4,0.657,negative
7,1.167,0.429,0.881,negative
18,3,0.287,0.741,negative
7,1.4,0.371,0.743,negative
3,500,0.5,0.944,negative
8,1.6,0.55,1,negative
4,0.667,0.417,0.708,negative
6,1.2,0.333,0.333,negative
5,1,0.4,0.52,negative
7,1.4,0.486,0.914,negative
2,0.4,0.8,1,negative
3,0.6,0.533,0.733,negative
6,1.2,0.433,0.733,negative
7,1.4,0.429,0.857,negative
7,1.167,0.405,0.881,negative
8,1.6,0.375,0.475,negative
7,1.167,0.405,0.952,negative
19,3.8,0.232,0.4,negative
5,1,0.4,0.56,negative
6,1.5,0.417,0.5,negative
6,1.5,0.458,0.792,negative
18,4.5,0.25,0.528,negative
7,1.167,0.357,0.548,negative
7,1.4,0.429,0.886,negative
4,0.8,0.5,0.8,negative
25,1.923,0.234,0.286,negative
25,1.923,0.351,0.68,negative
16,2.286,0.321,0.643,negative
103,14.714,0.295,0.691,negative
9,0.818,0.343,0.626,negative
8,0.727,0.58,1,negative
8,0.727,0.409,0.477,negative
8,0.727,0.602,1,negative
35,3.182,0.382,0.657,negative
113,37.667,0.41,0.472,positive
59,19.667,0.475,0.475,positive
20,10,0.675,0.675,positive
101,50.5,0.54,0.743,positive
38,3.8,0.426,0.947,negative
21,2.333,0.429,0.772,negative
37,4.111,0.532,0.913,negative
98,9.8,0.379,0.835,negative
50,5.556,0.496,0.958,negative
194,48.5,0.263,0.273,positive
18,9,0.667,0.694,positive
22,11,0.75,0.75,positive
18,9,0.806,0.833,positive
22,11,0.705,0.864,positive
66,6.6,0.273,0.661,negative
90,10,0.26,0.786,negative
22,2.444,0.288,0.818,negative
92,10.222,0.286,0.885,negative
12,1.333,0.444,0.981,negative
51,5.667,0.296,0.786,negative
34,3.778,0.32,0.886,negative
80,8.889,0.333,0.878,negative
95,11.875,0.303,0.937,negative
99,9,0.23,0.601,negative
12,1.2,0.367,1,negative
53,5.3,0.294,0.819,negative
92,10.222,0.292,0.843,negative
85,7.727,0.257,0.894,negative
83,9.222,0.284,0.849,negative
12,1.333,0.454,1,negative
64,7.111,0.299,0.97,negative
102,9.273,0.223,0.768,negative
12,1,0.306,0.979,negative
56,4.667,0.256,0.827,negative
84,9.333,0.222,0.937,negative
54,6,0.292,0.957,negative
41,4.556,0.298,0.775,negative
83,8.3,0.266,0.827,negative
4,0.4,0.375,0.4,negative
11,0.917,0.371,1,negative
44,3.667,0.261,0.767,negative
34,3.4,0.297,0.885,negative
76,8.444,0.307,0.882,negative
14,1.167,0.357,0.958,negative
7,0.583,0.214,0.583,negative
44,3.667,0.294,0.742,negative
63,6.3,0.233,0.705,negative
32,3.556,0.271,0.594,negative
116,38.667,0.385,0.494,positive
