Lenght,P_black,P_and,Class
7,0.4,0.657,negative
7,0.429,0.881,negative
18,0.287,0.741,negative
7,0.371,0.743,negative
3,0.5,0.944,negative
8,0.55,1,negative
4,0.417,0.708,negative
6,0.333,0.333,negative
5,0.4,0.52,negative
7,0.486,0.914,negative
2,0.8,1,negative
3,0.533,0.733,negative
6,0.433,0.733,negative
7,0.429,0.857,negative
7,0.405,0.881,negative
8,0.375,0.475,negative
7,0.405,0.952,negative
19,0.232,0.4,negative
5,0.4,0.56,negative
6,0.417,0.5,negative
6,0.458,0.792,negative
18,0.25,0.528,negative
7,0.357,0.548,negative
7,0.429,0.886,negative
4,0.5,0.8,negative
25,0.234,0.286,negative
25,0.351,0.68,negative
16,0.321,0.643,negative
103,0.295,0.691,negative
9,0.343,0.626,negative
8,0.58,1,negative
8,0.409,0.477,negative
8,0.602,1,negative
35,0.382,0.657,negative
113,0.41,0.472,positive
59,0.475,0.475,positive
20,0.675,0.675,positive
101,0.54,0.743,positive
38,0.426,0.947,negative
21,0.429,0.772,negative
37,0.532,0.913,negative
98,0.379,0.835,negative
50,0.496,0.958,negative
194,0.263,0.273,positive
18,0.667,0.694,positive
22,0.75,0.75,positive
18,0.806,0.833,positive
22,0.705,0.864,positive
66,0.273,0.661,negative
90,0.26,0.786,negative
22,0.288,0.818,negative
92,0.286,0.885,negative
12,0.444,0.981,negative
51,0.296,0.786,negative
34,0.32,0.886,negative
80,0.333,0.878,negative
95,0.303,0.937,negative
99,0.23,0.601,negative
12,0.367,1,negative
53,0.294,0.819,negative
92,0.292,0.843,negative
85,0.257,0.894,negative
83,0.284,0.849,negative
12,0.454,1,negative
64,0.299,0.97,negative
102,0.223,0.768,negative
12,0.306,0.979,negative
56,0.256,0.827,negative
84,0.222,0.937,negative
54,0.292,0.957,negative
41,0.298,0.775,negative
83,0.266,0.827,negative
4,0.375,0.4,negative
11,0.371,1,negative
44,0.261,0.767,negative
34,0.297,0.885,negative
76,0.307,0.882,negative
14,0.357,0.958,negative
7,0.214,0.583,negative
44,0.294,0.742,negative
63,0.233,0.705,negative
32,0.271,0.594,negative
116,0.385,0.494,positive
10,1,1,positive
13,1,1,positive
8,1,1,positive
44,0.25,1,positive
20,0.725,0.875,positive
20,0.775,0.85,positive
10,0.3,0.808,negative
86,0.413,0.853,negative
20,0.168,0.75,negative
5,0.378,0.933,negative
3,0.417,0.417,negative
113,0.357,0.378,positive
3,0.48,0.486,positive
48,0.625,0.677,positive
65,0.39,0.877,negative
37,0.526,0.898,negative
21,0.291,0.762,negative
8,0.234,0.328,negative
100,0.436,0.91,negative
85,0.302,0.812,negative
32,0.302,0.781,negative
101,0.398,0.888,negative
119,0.261,0.798,negative
126,0.425,0.862,negative
13,0.239,0.462,negative
75,0.256,0.606,negative
119,0.236,0.747,negative
44,0.393,0.852,negative
40,0.356,0.967,negative
48,0.302,0.914,negative
44,0.46,0.937,negative
47,0.274,0.747,negative
40,0.319,0.919,negative
116,0.356,0.371,positive
18,0.722,0.722,positive
132,0.505,0.558,positive
17,0.765,1,positive
8,1,1,positive
69,0.623,0.906,positive
46,0.587,0.761,positive
77,0.345,0.874,negative
41,0.301,0.886,negative
57,0.456,1,positive
10,0.9,1,positive
185,0.254,0.651,negative
152,0.297,0.778,negative
116,0.616,0.802,positive
123,0.362,0.986,negative
17,0.588,0.971,positive
131,0.415,0.857,negative
12,0.583,1,negative
27,0.154,0.481,negative
15,0.324,0.762,negative
58,0.202,0.751,negative
46,0.155,0.587,negative
27,0.593,1,negative
17,0.227,0.58,negative
31,0.194,0.516,negative
12,0.583,1,negative
17,0.324,1,negative
11,0.409,0.955,negative
19,0.237,1,negative
107,0.27,0.654,negative
9,0.267,0.778,negative
9,0.485,0.727,negative
8,0.705,1,negative
8,0.443,0.466,negative
7,0.597,1,negative
7,0.468,1,negative
9,0.475,0.636,negative
8,0.511,0.852,negative
43,0.907,1,positive
38,0.387,0.887,negative
20,0.5,1,negative
36,0.54,0.929,negative
98,0.391,0.835,negative
49,0.52,0.961,negative
21,0.329,0.843,negative
19,0.292,0.76,negative
55,0.299,1,negative
14,0.127,0.937,negative
23,0.288,1,negative
35,0.379,0.886,negative
96,0.281,0.815,negative
66,0.323,0.805,negative
34,0.337,0.817,negative
83,0.325,0.908,negative
80,0.303,0.922,negative
95,0.285,0.723,negative
80,0.298,0.883,negative
13,0.108,0.685,negative
70,0.341,0.918,negative
84,0.262,0.82,negative
99,0.27,0.818,negative
80,0.293,0.868,negative
101,0.239,0.818,negative
26,0.221,1,negative
40,0.271,0.733,negative
84,0.269,0.966,negative
53,0.358,0.981,negative
41,0.363,0.942,negative
82,0.252,0.74,negative
14,0.184,0.612,negative
26,0.375,0.947,negative
46,0.391,0.951,negative
34,0.379,0.961,negative
26,0.297,0.941,negative
42,0.335,0.829,negative
62,0.234,0.66,negative
75,0.328,0.888,negative
18,0.479,0.986,negative
33,0.143,0.844,negative
64,0.465,0.899,negative
36,0.568,0.932,negative
8,0.203,0.344,negative
21,0.339,0.673,negative
99,0.464,0.942,negative
84,0.288,0.791,negative
31,0.327,0.79,negative
