Lenght,P_and,Class
7,0.657,negative
7,0.881,negative
18,0.741,negative
7,0.743,negative
3,0.944,negative
8,1,negative
4,0.708,negative
6,0.333,negative
5,0.52,negative
7,0.914,negative
2,1,negative
3,0.733,negative
6,0.733,negative
7,0.857,negative
7,0.881,negative
8,0.475,negative
7,0.952,negative
19,0.4,negative
5,0.56,negative
6,0.5,negative
6,0.792,negative
18,0.528,negative
7,0.548,negative
7,0.886,negative
4,0.8,negative
25,0.286,negative
25,0.68,negative
16,0.643,negative
103,0.691,negative
9,0.626,negative
8,1,negative
8,0.477,negative
8,1,negative
35,0.657,negative
113,0.472,positive
59,0.475,positive
20,0.675,positive
101,0.743,positive
38,0.947,negative
21,0.772,negative
37,0.913,negative
98,0.835,negative
50,0.958,negative
194,0.273,positive
18,0.694,positive
22,0.75,positive
18,0.833,positive
22,0.864,positive
66,0.661,negative
90,0.786,negative
22,0.818,negative
92,0.885,negative
12,0.981,negative
51,0.786,negative
34,0.886,negative
80,0.878,negative
95,0.937,negative
99,0.601,negative
12,1,negative
53,0.819,negative
92,0.843,negative
85,0.894,negative
83,0.849,negative
12,1,negative
64,0.97,negative
102,0.768,negative
12,0.979,negative
56,0.827,negative
84,0.937,negative
54,0.957,negative
41,0.775,negative
83,0.827,negative
4,0.4,negative
11,1,negative
44,0.767,negative
34,0.885,negative
76,0.882,negative
14,0.958,negative
7,0.583,negative
44,0.742,negative
63,0.705,negative
32,0.594,negative
116,0.494,positive
10,1,positive
13,1,positive
8,1,positive
44,1,positive
20,0.875,positive
20,0.85,positive
10,0.808,negative
86,0.853,negative
20,0.75,negative
5,0.933,negative
3,0.417,negative
113,0.378,positive
3,0.486,positive
48,0.677,positive
65,0.877,negative
37,0.898,negative
21,0.762,negative
8,0.328,negative
100,0.91,negative
85,0.812,negative
32,0.781,negative
101,0.888,negative
119,0.798,negative
126,0.862,negative
13,0.462,negative
75,0.606,negative
119,0.747,negative
44,0.852,negative
40,0.967,negative
48,0.914,negative
44,0.937,negative
47,0.747,negative
40,0.919,negative
116,0.371,positive
18,0.722,positive
132,0.558,positive
17,1,positive
8,1,positive
69,0.906,positive
46,0.761,positive
77,0.874,negative
41,0.886,negative
57,1,positive
10,1,positive
185,0.651,negative
152,0.778,negative
116,0.802,positive
123,0.986,negative
17,0.971,positive
131,0.857,negative
12,1,negative
27,0.481,negative
15,0.762,negative
58,0.751,negative
46,0.587,negative
27,1,negative
17,0.58,negative
31,0.516,negative
12,1,negative
17,1,negative
11,0.955,negative
19,1,negative
107,0.654,negative
9,0.778,negative
9,0.727,negative
8,1,negative
8,0.466,negative
7,1,negative
7,1,negative
9,0.636,negative
8,0.852,negative
43,1,positive
38,0.887,negative
20,1,negative
36,0.929,negative
98,0.835,negative
49,0.961,negative
21,0.843,negative
19,0.76,negative
55,1,negative
14,0.937,negative
23,1,negative
35,0.886,negative
96,0.815,negative
66,0.805,negative
34,0.817,negative
83,0.908,negative
80,0.922,negative
95,0.723,negative
80,0.883,negative
13,0.685,negative
70,0.918,negative
84,0.82,negative
99,0.818,negative
80,0.868,negative
101,0.818,negative
26,1,negative
40,0.733,negative
84,0.966,negative
53,0.981,negative
41,0.942,negative
82,0.74,negative
14,0.612,negative
26,0.947,negative
46,0.951,negative
34,0.961,negative
26,0.941,negative
42,0.829,negative
62,0.66,negative
75,0.888,negative
18,0.986,negative
33,0.844,negative
64,0.899,negative
36,0.932,negative
8,0.344,negative
21,0.673,negative
99,0.942,negative
84,0.791,negative
31,0.79,negative
2,0.816,positive
101,0.861,negative
118,0.817,negative
2,0.8,positive
126,0.833,negative
117,0.673,negative
35,0.667,negative
46,0.676,negative
2,0.6,positive
44,0.938,negative
48,0.807,negative
40,0.991,negative
45,0.956,negative
20,0.556,negative
22,0.965,negative
41,0.933,negative
112,0.504,positive
45,1,positive
75,1,positive
43,0.814,negative
301,0.735,negative
35,0.873,negative
122,0.947,negative
130,0.773,negative
46,0.804,negative
27,0.673,negative
8,0.675,negative
3,1,negative
35,0.829,negative
47,0.739,negative
31,0.774,negative
16,0.938,negative
122,0.626,negative
21,0.68,negative
8,0.602,negative
9,0.818,negative
8,1,negative
21,0.6,negative
157,0.551,positive
38,0.897,negative
36,0.914,negative
20,0.938,negative
96,0.886,negative
49,0.998,negative
32,1,positive
52,1,positive
13,1,positive
23,1,negative
37,0.808,negative
20,0.872,negative
79,0.956,negative
81,0.897,negative
67,0.746,negative
32,0.826,negative
2,0.516,positive
11,1,negative
64,0.808,negative
83,0.725,negative
73,0.591,negative
17,0.801,negative
12,0.88,negative
82,0.913,negative
53,0.901,negative
83,0.9,negative
81,0.81,negative
82,0.871,negative
100,0.765,negative
71,0.748,negative
82,0.935,negative
97,0.921,negative
32,0.861,negative
82,0.951,negative
13,0.981,negative
8,1,negative
43,0.791,negative
75,0.91,negative
84,0.681,negative
123,0.504,positive
36,1,positive
123,0.089,negative
6,0.646,negative
65,0.911,negative
37,0.946,negative
20,0.772,negative
8,0.781,negative
100,0.874,negative
32,0.781,negative
82,0.817,negative
101,0.893,negative
116,0.707,negative
126,0.848,negative
86,0.647,negative
115,0.723,negative
2,0.875,positive
44,0.944,negative
46,0.918,negative
40,0.991,negative
45,0.956,negative
45,0.897,negative
41,0.966,negative
19,1,positive
9,1,positive
42,0.97,negative
339,0.547,negative
123,0.888,negative
446,0.603,positive
3,0.909,positive
131,0.851,negative
4,0.565,positive
3,0.841,positive
7,0.432,positive
236,0.689,positive
61,1,positive
14,0.661,negative
174,0.737,negative
45,0.725,negative
27,0.619,negative
9,1,negative
122,0.65,negative
96,0.954,negative
402,0.094,positive
463,0.121,positive
20,0.89,negative
97,0.973,negative
21,0.878,negative
80,0.954,negative
85,0.664,negative
76,0.874,negative
2,0.563,negative
33,0.774,negative
120,0.859,negative
118,0.767,negative
207,0.723,negative
92,0.954,negative
93,0.888,negative
43,0.922,negative
213,0.379,positive
465,0.123,positive
79,0.195,positive
9,0.492,negative
7,0.619,negative
152,1,positive
51,1,positive
17,0.824,negative
22,1,negative
29,0.92,negative
46,0.835,negative
30,0.66,negative
16,0.938,negative
45,0.775,negative
27,0.741,negative
122,0.54,negative
49,0.666,negative
35,0.584,negative
462,0.688,positive
38,0.892,negative
36,0.926,negative
98,0.881,negative
21,0.958,negative
49,0.943,negative
49,1,negative
52,1,positive
52,1,positive
24,0.821,negative
36,0.889,negative
21,0.899,negative
78,0.863,negative
67,0.844,negative
33,0.864,negative
79,0.88,negative
80,0.799,negative
97,0.666,negative
82,0.92,negative
69,0.876,negative
84,0.778,negative
82,0.879,negative
11,1,negative
