Lenght,Class
7,negative
7,negative
18,negative
7,negative
3,negative
8,negative
4,negative
6,negative
5,negative
7,negative
2,negative
3,negative
6,negative
7,negative
7,negative
8,negative
7,negative
19,negative
5,negative
6,negative
6,negative
18,negative
7,negative
7,negative
4,negative
25,negative
25,negative
16,negative
103,negative
9,negative
8,negative
8,negative
8,negative
35,negative
113,positive
59,positive
20,positive
101,positive
38,negative
21,negative
37,negative
98,negative
50,negative
194,positive
18,positive
22,positive
18,positive
22,positive
66,negative
90,negative
22,negative
92,negative
12,negative
51,negative
34,negative
80,negative
95,negative
99,negative
12,negative
53,negative
92,negative
85,negative
83,negative
12,negative
64,negative
102,negative
12,negative
56,negative
84,negative
54,negative
41,negative
83,negative
4,negative
11,negative
44,negative
34,negative
76,negative
14,negative
7,negative
44,negative
63,negative
32,negative
116,positive
10,positive
13,positive
8,positive
44,positive
20,positive
20,positive
10,negative
86,negative
20,negative
5,negative
3,negative
113,positive
3,positive
48,positive
65,negative
37,negative
21,negative
8,negative
100,negative
85,negative
32,negative
101,negative
119,negative
126,negative
13,negative
75,negative
119,negative
44,negative
40,negative
48,negative
44,negative
47,negative
40,negative
116,positive
18,positive
132,positive
17,positive
8,positive
69,positive
46,positive
77,negative
41,negative
57,positive
10,positive
185,negative
152,negative
116,positive
123,negative
17,positive
131,negative
12,negative
27,negative
15,negative
58,negative
46,negative
27,negative
17,negative
31,negative
12,negative
17,negative
11,negative
19,negative
107,negative
9,negative
9,negative
8,negative
8,negative
7,negative
7,negative
9,negative
8,negative
43,positive
38,negative
20,negative
36,negative
98,negative
49,negative
21,negative
19,negative
55,negative
14,negative
23,negative
35,negative
96,negative
66,negative
34,negative
83,negative
80,negative
95,negative
80,negative
13,negative
70,negative
84,negative
99,negative
80,negative
101,negative
26,negative
40,negative
84,negative
53,negative
41,negative
82,negative
14,negative
26,negative
46,negative
34,negative
26,negative
42,negative
62,negative
75,negative
18,negative
33,negative
64,negative
36,negative
8,negative
21,negative
99,negative
84,negative
31,negative
2,positive
101,negative
118,negative
2,positive
126,negative
117,negative
35,negative
46,negative
2,positive
44,negative
48,negative
40,negative
45,negative
20,negative
22,negative
41,negative
112,positive
45,positive
75,positive
43,negative
301,negative
35,negative
122,negative
130,negative
46,negative
27,negative
8,negative
3,negative
35,negative
47,negative
31,negative
16,negative
122,negative
21,negative
8,negative
9,negative
8,negative
21,negative
157,positive
38,negative
36,negative
20,negative
96,negative
49,negative
32,positive
52,positive
13,positive
23,negative
37,negative
20,negative
79,negative
81,negative
67,negative
32,negative
2,positive
11,negative
64,negative
83,negative
73,negative
17,negative
12,negative
82,negative
53,negative
83,negative
81,negative
82,negative
100,negative
71,negative
82,negative
97,negative
32,negative
82,negative
13,negative
8,negative
43,negative
75,negative
84,negative
123,positive
36,positive
123,negative
6,negative
65,negative
37,negative
20,negative
8,negative
100,negative
32,negative
82,negative
101,negative
116,negative
126,negative
86,negative
115,negative
2,positive
44,negative
46,negative
40,negative
45,negative
45,negative
41,negative
19,positive
9,positive
42,negative
339,negative
123,negative
446,positive
3,positive
131,negative
4,positive
3,positive
7,positive
236,positive
61,positive
14,negative
174,negative
45,negative
27,negative
9,negative
122,negative
96,negative
402,positive
463,positive
20,negative
97,negative
21,negative
80,negative
85,negative
76,negative
2,negative
33,negative
120,negative
118,negative
207,negative
92,negative
93,negative
43,negative
213,positive
465,positive
79,positive
9,negative
7,negative
152,positive
51,positive
17,negative
22,negative
29,negative
46,negative
30,negative
16,negative
45,negative
27,negative
122,negative
49,negative
35,negative
462,positive
38,negative
36,negative
98,negative
21,negative
49,negative
49,negative
52,positive
52,positive
24,negative
36,negative
21,negative
78,negative
67,negative
33,negative
79,negative
80,negative
97,negative
82,negative
69,negative
84,negative
82,negative
11,negative
63,negative
102,negative
82,negative
26,negative
47,negative
53,negative
40,negative
82,negative
34,negative
81,negative
13,negative
8,negative
43,negative
75,negative
86,negative
33,positive
124,positive
75,positive
6,negative
64,negative
36,negative
34,negative
98,negative
121,negative
100,negative
118,negative
126,negative
85,negative
43,negative
47,negative
40,negative
44,negative
47,negative
41,negative
8,positive
40,positive
55,positive
39,negative
340,negative
123,negative
115,positive
131,negative
11,positive
46,positive
64,positive
47,negative
27,negative
17,negative
59,negative
47,negative
32,negative
16,negative
115,positive
16,negative
100,negative
8,negative
8,negative
8,negative
8,negative
7,negative
23,negative
463,positive
18,negative
51,negative
24,negative
22,negative
37,negative
101,negative
34,negative
98,negative
83,negative
114,negative
101,negative
87,negative
98,negative
84,negative
47,negative
33,negative
78,negative
8,negative
43,negative
86,negative
5,negative
146,positive
2,positive
7,negative
21,negative
121,negative
118,negative
37,negative
47,negative
92,negative
21,negative
47,negative
41,negative
18,negative
47,negative
41,negative
45,negative
48,positive
29,positive
17,positive
46,negative
31,negative
17,negative
59,negative
17,negative
28,negative
45,negative
123,negative
9,negative
8,negative
61,negative
330,positive
464,positive
38,negative
36,negative
98,negative
21,negative
49,negative
286,positive
23,negative
37,negative
21,negative
79,negative
66,negative
34,negative
82,negative
79,negative
98,negative
83,negative
11,negative
53,negative
85,negative
82,negative
80,negative
102,negative
82,negative
26,negative
47,negative
99,negative
83,negative
34,negative
82,negative
13,negative
8,negative
42,negative
86,negative
76,negative
6,negative
65,negative
36,negative
7,negative
22,negative
99,negative
85,negative
32,negative
100,negative
118,negative
125,negative
85,negative
43,negative
48,negative
40,negative
44,negative
47,negative
42,negative
18,positive
7,positive
117,positive
42,negative
340,negative
77,positive
40,positive
130,negative
28,positive
35,positive
13,negative
18,negative
42,negative
31,negative
16,negative
23,negative
8,negative
2,negative
7,negative
11,negative
121,negative
21,negative
9,negative
8,negative
8,negative
7,negative
8,negative
14,positive
38,negative
20,negative
36,negative
98,negative
49,negative
23,positive
19,positive
78,negative
14,negative
106,negative
24,negative
36,negative
22,negative
12,negative
6,negative
38,negative
34,negative
12,negative
63,negative
104,negative
75,negative
17,negative
82,negative
16,positive
12,negative
53,negative
85,negative
12,negative
63,negative
82,negative
10,positive
102,negative
90,negative
26,negative
41,negative
99,negative
81,negative
26,negative
46,negative
34,negative
26,negative
43,negative
75,negative
86,negative
79,positive
6,negative
11,positive
98,positive
13,positive
64,negative
36,negative
8,negative
21,negative
99,negative
121,negative
100,negative
118,negative
126,negative
117,negative
14,negative
71,negative
44,negative
48,negative
40,negative
45,negative
47,negative
42,negative
17,positive
43,negative
300,negative
35,negative
122,negative
130,negative
45,negative
31,negative
14,negative
18,negative
58,negative
40,negative
28,negative
15,negative
38,negative
31,negative
77,negative
33,negative
19,negative
121,negative
22,negative
9,negative
8,negative
21,negative
8,negative
461,positive
38,negative
36,negative
21,negative
97,negative
49,negative
15,positive
23,negative
37,negative
21,negative
91,negative
67,negative
32,negative
92,negative
12,negative
64,negative
98,negative
100,negative
12,negative
53,negative
84,negative
81,negative
13,positive
80,negative
101,negative
81,negative
9,negative
72,negative
84,negative
52,negative
41,negative
27,negative
46,negative
33,negative
81,negative
7,positive
14,negative
8,negative
43,negative
75,negative
48,negative
9,negative
18,negative
6,negative
1,positive
64,negative
36,negative
33,negative
99,negative
122,negative
101,negative
118,negative
125,negative
117,negative
85,negative
43,negative
47,negative
40,negative
44,negative
46,negative
42,negative
37,positive
46,positive
42,positive
42,negative
300,negative
35,negative
122,negative
176,positive
3,positive
130,negative
17,positive
39,positive
44,positive
14,positive
36,positive
17,positive
52,negative
17,negative
31,negative
23,negative
44,negative
56,negative
32,negative
16,negative
14,positive
183,positive
77,negative
34,negative
22,negative
67,negative
123,negative
8,negative
8,negative
9,negative
9,negative
9,negative
8,negative
8,negative
29,positive
14,positive
45,positive
39,negative
21,negative
97,negative
36,negative
300,positive
49,negative
50,positive
79,negative
24,negative
37,negative
21,negative
81,negative
67,negative
32,negative
11,negative
99,negative
12,negative
64,negative
94,negative
2,positive
99,negative
83,negative
12,negative
54,negative
95,negative
12,negative
64,negative
101,negative
82,negative
73,negative
98,negative
81,negative
27,negative
47,negative
32,negative
75,negative
27,negative
43,negative
61,negative
19,negative
204,positive
29,negative
65,negative
36,negative
21,negative
7,negative
100,negative
32,negative
83,negative
101,negative
118,negative
126,negative
86,negative
116,negative
43,negative
46,negative
41,negative
44,negative
45,negative
42,negative
35,positive
455,negative
43,negative
301,negative
35,negative
123,negative
142,positive
30,positive
130,negative
14,positive
3,negative
5,negative
14,negative
50,negative
3,negative
23,negative
15,negative
14,negative
2,negative
21,negative
6,negative
2,negative
3,negative
14,negative
59,negative
121,negative
9,negative
8,negative
7,negative
8,negative
8,negative
9,negative
8,negative
69,positive
38,negative
36,negative
97,negative
21,negative
49,negative
148,positive
20,negative
36,negative
21,negative
80,negative
11,negative
50,negative
33,negative
83,negative
11,negative
63,negative
74,negative
17,negative
84,negative
12,negative
82,negative
53,negative
84,negative
12,negative
63,negative
101,negative
83,negative
72,negative
97,negative
83,negative
26,negative
46,negative
83,negative
33,negative
26,negative
43,negative
62,negative
18,negative
76,negative
6,negative
84,positive
73,positive
64,negative
36,negative
8,negative
21,negative
99,negative
83,negative
32,negative
100,negative
118,negative
126,negative
86,negative
116,negative
43,negative
47,negative
40,negative
43,negative
46,negative
42,negative
2,positive
41,negative
70,positive
342,negative
123,negative
147,positive
131,negative
17,positive
1,positive
89,negative
31,negative
230,negative
43,negative
172,positive
72,negative
76,negative
190,negative
71,negative
71,negative
116,negative
93,negative
109,negative
64,negative
133,negative
100,negative
49,negative
43,negative
29,negative
48,negative
35,negative
37,negative
85,negative
217,negative
487,negative
440,negative
168,negative
1,positive
65,negative
1,positive
1,positive
121,negative
118,negative
1,positive
106,negative
9,positive
72,positive
1,positive
34,negative
1,positive
6,positive
1,positive
108,negative
185,negative
39,negative
1,positive
116,negative
89,negative
46,negative
29,negative
172,negative
17,negative
1,positive
54,positive
72,negative
76,negative
181,negative
71,negative
72,negative
94,negative
71,negative
108,negative
64,negative
33,negative
132,negative
54,negative
44,negative
99,negative
61,negative
59,negative
137,negative
407,negative
408,negative
410,negative
86,negative
409,negative
307,negative
410,negative
34,negative
410,negative
151,negative
66,negative
117,negative
115,negative
103,negative
79,positive
33,negative
63,negative
14,negative
79,negative
75,negative
107,negative
114,negative
39,negative
114,negative
90,negative
28,negative
1,positive
46,negative
17,negative
28,negative
175,negative
168,negative
58,negative
71,negative
136,negative
76,negative
181,negative
70,negative
217,negative
71,negative
87,negative
93,negative
107,negative
62,negative
84,negative
133,negative
100,negative
51,negative
43,negative
29,negative
35,negative
40,negative
44,negative
80,negative
89,negative
418,negative
129,negative
77,negative
119,negative
116,negative
104,negative
70,positive
33,negative
128,negative
14,negative
84,negative
107,negative
115,negative
39,negative
114,negative
90,negative
172,negative
17,negative
45,negative
27,negative
71,negative
190,negative
76,negative
70,negative
71,negative
77,negative
93,negative
107,negative
29,negative
62,negative
130,negative
100,negative
50,negative
44,negative
29,negative
35,negative
40,negative
42,negative
83,negative
234,negative
409,negative
412,negative
152,negative
147,negative
9,negative
124,negative
121,negative
90,negative
409,negative
128,negative
410,negative
142,negative
410,negative
291,negative
277,negative
67,negative
119,negative
117,negative
11,positive
71,positive
33,negative
108,negative
183,negative
39,negative
116,negative
90,negative
337,negative
16,negative
304,positive
69,negative
74,negative
189,negative
69,negative
70,negative
91,negative
77,negative
106,negative
62,negative
30,negative
132,negative
101,negative
50,negative
46,negative
29,negative
35,negative
37,negative
43,negative
84,negative
160,negative
498,negative
58,negative
35,negative
176,negative
442,positive
259,positive
22,negative
124,negative
13,negative
12,negative
37,negative
13,negative
122,negative
5,negative
38,negative
13,negative
497,negative
498,negative
54,negative
37,negative
497,negative
50,negative
61,negative
500,negative
497,negative
25,negative
108,negative
184,negative
39,negative
116,negative
89,negative
46,negative
27,negative
172,negative
17,negative
71,negative
75,negative
189,negative
70,negative
70,negative
76,negative
93,negative
108,negative
63,negative
34,negative
123,negative
99,negative
50,negative
43,negative
28,negative
42,negative
35,negative
40,negative
286,positive
386,negative
60,negative
67,negative
118,negative
115,negative
96,positive
33,negative
107,negative
183,negative
39,negative
115,negative
88,negative
27,negative
337,negative
17,negative
333,positive
70,negative
74,negative
191,negative
68,negative
69,negative
127,negative
91,negative
105,negative
61,negative
127,negative
30,negative
29,negative
100,negative
50,negative
43,negative
42,negative
35,negative
40,negative
84,negative
249,negative
410,negative
232,negative
67,negative
119,negative
116,negative
104,negative
62,positive
33,negative
101,negative
6,positive
108,negative
185,negative
38,negative
116,negative
89,negative
27,negative
174,negative
17,negative
28,negative
46,negative
71,negative
75,negative
192,negative
70,negative
121,negative
71,negative
23,negative
115,negative
90,negative
71,negative
83,negative
132,negative
101,negative
51,negative
45,negative
44,negative
35,negative
42,negative
104,negative
414,negative
181,negative
413,negative
348,negative
414,negative
20,negative
413,negative
51,negative
69,negative
121,negative
118,negative
105,negative
28,positive
60,positive
33,negative
50,negative
98,negative
1,positive
108,negative
186,negative
39,negative
89,negative
65,negative
389,negative
3,negative
45,negative
96,negative
79,negative
64,negative
48,negative
64,negative
10,negative
35,negative
77,negative
21,negative
23,negative
26,negative
264,negative
7,positive
197,negative
68,negative
17,positive
8,positive
69,positive
13,positive
55,negative
41,negative
67,negative
12,negative
26,negative
35,negative
272,negative
272,negative
19,positive
19,positive
271,negative
271,negative
272,negative
14,positive
271,negative
271,negative
24,positive
271,negative
12,positive
5,positive
271,negative
5,positive
272,negative
15,positive
271,negative
13,positive
198,negative
7,positive
5,positive
3,positive
4,negative
65,negative
271,negative
29,negative
7,negative
11,negative
69,negative
55,negative
240,negative
22,negative
272,negative
272,negative
271,negative
213,negative
272,negative
9,positive
34,negative
7,negative
15,negative
21,negative
28,negative
60,negative
12,negative
6,negative
7,negative
17,negative
49,positive
30,positive
7,positive
54,negative
179,negative
5,positive
25,negative
12,positive
49,positive
271,negative
271,negative
6,positive
9,positive
272,negative
68,positive
271,negative
47,positive
8,positive
271,negative
1,positive
9,positive
272,negative
272,negative
49,positive
10,negative
9,negative
10,negative
9,negative
25,negative
37,negative
51,negative
100,negative
31,negative
5,negative
240,negative
11,negative
236,negative
135,negative
272,negative
62,negative
38,negative
272,negative
261,negative
271,negative
245,negative
272,negative
272,negative
271,negative
108,negative
125,negative
24,negative
37,negative
98,negative
93,negative
23,negative
271,negative
271,negative
71,negative
60,negative
47,negative
7,negative
38,negative
12,negative
234,negative
271,negative
189,negative
65,negative
147,negative
271,negative
261,negative
271,negative
173,negative
197,negative
258,negative
96,negative
271,negative
271,negative
48,negative
243,negative
88,negative
78,negative
175,negative
17,negative
14,negative
46,negative
34,negative
7,negative
11,negative
14,negative
21,negative
8,negative
29,negative
271,negative
71,negative
25,negative
238,negative
187,negative
17,negative
15,negative
215,negative
103,negative
263,negative
15,negative
26,negative
7,negative
7,negative
30,negative
18,negative
29,negative
20,negative
18,negative
8,negative
7,negative
12,negative
126,negative
21,negative
99,negative
81,negative
69,negative
80,negative
128,negative
10,negative
11,positive
129,negative
52,negative
12,negative
21,negative
6,negative
38,negative
13,negative
6,negative
15,negative
53,negative
34,negative
30,negative
25,negative
2,negative
12,negative
14,negative
14,negative
8,negative
9,negative
4,negative
32,negative
29,negative
4,negative
8,negative
11,negative
50,negative
28,negative
43,negative
75,negative
18,negative
16,negative
79,negative
158,negative
114,positive
41,positive
6,negative
49,negative
32,negative
37,negative
19,negative
28,negative
12,negative
28,negative
33,positive
29,negative
106,positive
12,negative
16,negative
16,negative
11,negative
27,negative
6,negative
13,negative
41,negative
41,negative
7,negative
13,negative
41,negative
40,negative
7,negative
12,negative
41,negative
40,negative
12,negative
11,negative
12,negative
41,negative
40,negative
23,negative
23,negative
17,negative
37,negative
54,negative
32,negative
13,negative
17,negative
13,negative
14,negative
14,negative
17,negative
13,negative
13,negative
14,negative
24,negative
13,negative
41,negative
41,negative
27,positive
41,positive
12,negative
21,negative
15,negative
17,negative
19,negative
12,negative
16,negative
16,negative
22,positive
9,negative
58,negative
182,negative
73,negative
107,negative
18,negative
125,negative
53,negative
43,negative
8,negative
30,negative
59,negative
7,negative
17,negative
3,negative
6,negative
33,negative
19,negative
17,negative
16,negative
19,negative
18,negative
6,negative
11,negative
16,negative
8,negative
29,negative
21,negative
46,negative
8,negative
55,negative
23,negative
49,negative
17,negative
3,negative
26,negative
27,negative
14,negative
18,negative
9,negative
4,negative
14,negative
19,negative
27,negative
4,negative
38,negative
33,negative
9,negative
6,negative
30,negative
8,negative
46,negative
220,negative
38,negative
251,negative
151,negative
29,negative
13,negative
54,negative
7,negative
11,negative
49,negative
27,negative
21,negative
19,negative
41,negative
63,negative
47,negative
56,negative
22,negative
5,negative
22,negative
16,negative
81,negative
15,negative
5,negative
135,negative
21,negative
87,negative
8,negative
35,negative
14,negative
11,negative
13,negative
9,negative
41,negative
46,negative
20,negative
14,negative
262,negative
49,negative
21,negative
49,negative
23,negative
5,negative
37,negative
17,negative
11,negative
6,negative
214,negative
43,negative
56,negative
11,negative
33,negative
23,negative
23,negative
11,negative
20,negative
49,negative
38,negative
15,negative
66,negative
54,negative
49,negative
11,negative
36,negative
29,negative
11,negative
26,negative
9,negative
31,negative
9,negative
27,negative
4,negative
5,negative
5,negative
15,negative
37,negative
9,negative
11,negative
19,negative
8,negative
55,negative
29,negative
4,negative
14,negative
17,negative
38,negative
23,negative
41,negative
33,negative
4,negative
19,negative
49,negative
13,negative
13,negative
30,negative
14,negative
14,negative
18,negative
7,negative
26,negative
17,negative
9,negative
26,negative
5,negative
48,negative
31,negative
42,negative
46,negative
11,negative
21,negative
58,negative
49,negative
8,negative
22,negative
32,negative
19,negative
18,negative
15,negative
16,negative
32,negative
56,negative
16,negative
7,negative
33,negative
10,negative
25,negative
19,negative
29,negative
49,negative
13,negative
57,negative
54,negative
11,negative
24,negative
38,negative
23,negative
49,negative
43,negative
8,negative
19,negative
7,negative
6,negative
262,negative
17,negative
9,negative
40,negative
48,negative
25,negative
13,negative
16,negative
38,negative
7,negative
9,negative
47,negative
16,negative
6,negative
26,negative
65,negative
18,negative
21,negative
13,negative
93,negative
21,negative
27,negative
44,negative
19,negative
24,negative
39,negative
11,negative
15,negative
13,negative
4,negative
18,negative
13,negative
40,negative
47,negative
7,negative
11,negative
30,negative
20,negative
11,negative
23,negative
9,negative
13,negative
19,negative
28,negative
32,negative
24,negative
19,negative
54,negative
39,negative
57,negative
10,negative
32,negative
6,negative
21,negative
7,negative
5,negative
13,negative
9,negative
35,negative
14,negative
11,negative
20,negative
31,negative
23,negative
39,negative
7,negative
39,negative
54,negative
32,negative
51,negative
48,negative
13,negative
8,negative
17,negative
10,negative
11,negative
13,negative
11,negative
19,negative
14,negative
20,negative
26,negative
30,negative
10,negative
13,negative
39,negative
18,negative
16,negative
27,negative
8,negative
17,negative
11,negative
11,negative
23,negative
7,negative
8,negative
13,negative
16,negative
28,negative
34,negative
18,negative
11,negative
21,negative
14,negative
52,negative
14,negative
18,negative
36,negative
11,negative
29,negative
37,negative
16,negative
26,negative
11,negative
13,negative
7,negative
14,negative
30,negative
9,negative
16,negative
11,negative
27,negative
7,negative
21,negative
33,negative
17,negative
12,negative
19,negative
30,negative
8,negative
11,negative
24,negative
24,negative
20,negative
30,negative
19,negative
11,negative
16,negative
7,negative
22,negative
17,negative
33,negative
14,negative
18,negative
5,negative
41,negative
20,negative
6,negative
4,negative
14,negative
15,negative
21,negative
72,negative
21,negative
38,negative
11,negative
32,negative
36,negative
63,negative
43,negative
24,negative
19,negative
30,negative
7,negative
11,negative
28,negative
20,negative
14,negative
11,negative
19,negative
32,negative
10,negative
14,negative
24,negative
24,negative
11,negative
8,negative
20,negative
4,negative
51,negative
11,negative
44,negative
24,negative
38,negative
4,negative
25,negative
22,negative
21,negative
27,negative
13,negative
8,negative
33,negative
9,negative
11,negative
40,negative
11,negative
31,negative
38,negative
43,negative
7,negative
21,negative
11,negative
14,negative
13,negative
10,negative
6,negative
12,negative
49,negative
13,negative
11,negative
13,negative
16,negative
11,negative
30,negative
20,negative
22,negative
21,negative
29,negative
34,negative
6,negative
41,negative
46,negative
8,negative
14,negative
20,negative
20,negative
7,negative
17,negative
19,negative
19,negative
14,negative
16,negative
14,negative
11,negative
33,negative
36,negative
251,negative
6,negative
19,negative
15,negative
6,negative
17,negative
20,negative
24,negative
19,negative
7,negative
11,negative
42,negative
14,negative
22,negative
4,negative
11,negative
34,negative
6,negative
45,negative
16,negative
11,negative
74,negative
31,negative
11,negative
47,negative
56,negative
24,negative
40,negative
27,negative
44,negative
26,negative
20,negative
19,negative
25,negative
11,negative
16,negative
33,negative
37,negative
11,negative
17,negative
5,negative
26,negative
21,negative
11,negative
86,negative
33,negative
9,negative
11,negative
22,negative
47,negative
11,negative
19,negative
25,negative
207,negative
51,negative
26,negative
28,negative
13,negative
11,negative
30,negative
12,negative
11,negative
20,negative
43,negative
19,negative
41,negative
11,negative
15,negative
65,negative
11,negative
44,negative
7,negative
23,negative
7,negative
11,negative
6,negative
4,negative
17,negative
40,negative
38,negative
19,negative
18,negative
23,negative
7,negative
41,negative
24,negative
39,negative
52,negative
26,negative
45,negative
8,negative
12,negative
9,negative
48,negative
43,negative
40,negative
17,negative
34,negative
59,negative
91,negative
103,negative
13,negative
13,negative
32,negative
28,negative
6,negative
3,negative
23,negative
5,negative
13,negative
12,negative
18,negative
10,negative
11,negative
30,negative
33,negative
44,negative
157,negative
11,negative
19,negative
18,negative
16,negative
7,negative
4,negative
26,negative
35,negative
37,negative
48,negative
86,negative
4,negative
27,negative
15,negative
26,negative
20,negative
17,negative
82,negative
65,negative
92,negative
48,negative
52,negative
43,negative
4,negative
20,negative
14,negative
11,negative
13,negative
30,negative
31,negative
262,negative
36,negative
18,negative
11,negative
25,negative
33,negative
17,negative
6,negative
13,negative
18,negative
38,negative
262,negative
19,negative
32,negative
23,negative
5,negative
41,negative
10,negative
54,negative
16,negative
8,negative
11,negative
18,negative
53,negative
53,negative
107,negative
17,negative
32,negative
33,negative
16,negative
11,negative
25,negative
14,negative
14,negative
10,negative
50,negative
16,negative
23,negative
16,negative
18,negative
31,negative
68,negative
23,negative
41,negative
47,negative
20,negative
13,negative
55,negative
37,negative
9,negative
16,negative
17,negative
11,negative
25,negative
7,negative
14,negative
35,negative
23,negative
58,negative
11,negative
47,negative
7,negative
40,negative
8,negative
11,negative
13,negative
41,negative
18,negative
10,negative
41,negative
45,negative
201,negative
202,negative
9,negative
10,negative
19,negative
19,negative
42,negative
17,negative
7,negative
29,negative
184,negative
35,negative
5,negative
5,negative
32,negative
11,negative
33,negative
42,negative
7,negative
39,negative
8,negative
4,negative
31,negative
54,negative
18,negative
11,negative
54,negative
13,negative
23,negative
31,negative
23,negative
10,negative
20,negative
3,negative
10,negative
21,negative
29,negative
13,negative
53,negative
44,negative
10,negative
19,negative
20,negative
7,negative
29,negative
4,negative
44,negative
6,negative
43,negative
398,negative
10,negative
65,positive
39,negative
15,negative
20,negative
19,negative
46,negative
9,negative
48,negative
12,negative
7,negative
8,negative
9,negative
9,negative
6,positive
25,negative
8,negative
10,negative
36,negative
12,negative
17,negative
35,negative
34,negative
28,negative
7,negative
12,positive
18,positive
9,negative
10,negative
13,negative
43,negative
29,negative
12,negative
33,negative
12,negative
18,negative
25,negative
6,negative
17,positive
22,positive
4,positive
271,negative
1,positive
21,positive
9,negative
43,negative
5,positive
26,negative
16,negative
10,negative
13,negative
16,negative
37,negative
30,negative
11,positive
8,negative
48,positive
48,positive
271,negative
48,positive
9,negative
25,negative
42,negative
7,negative
19,negative
35,negative
20,negative
13,negative
23,negative
30,negative
48,positive
57,negative
59,negative
4,negative
79,negative
36,negative
11,negative
4,positive
32,negative
27,negative
12,negative
17,negative
34,negative
60,negative
12,negative
42,negative
9,negative
36,negative
23,negative
13,negative
29,negative
22,negative
19,negative
16,negative
39,negative
16,negative
4,positive
47,positive
271,negative
46,positive
9,positive
46,positive
15,negative
94,negative
141,negative
127,positive
13,positive
22,negative
16,negative
15,negative
46,negative
9,negative
19,negative
32,negative
33,negative
4,negative
17,negative
6,negative
129,positive
7,positive
13,negative
9,negative
13,negative
5,positive
91,negative
6,negative
14,negative
24,negative
116,negative
9,positive
9,negative
12,negative
19,negative
18,negative
35,negative
9,negative
25,negative
42,negative
23,negative
10,negative
4,positive
18,negative
9,positive
15,negative
19,negative
4,positive
39,negative
19,negative
4,negative
25,negative
27,negative
31,negative
27,negative
4,positive
13,negative
4,positive
5,positive
32,negative
6,negative
12,negative
33,negative
23,negative
12,negative
18,negative
18,negative
34,negative
35,negative
13,positive
11,positive
20,negative
36,negative
30,negative
48,positive
48,positive
48,positive
52,negative
87,negative
59,negative
49,negative
4,positive
26,negative
56,negative
47,negative
9,negative
4,negative
25,negative
38,negative
10,negative
14,negative
1,positive
12,negative
45,negative
43,negative
25,negative
41,negative
30,negative
15,negative
12,negative
6,negative
84,negative
53,negative
56,negative
12,negative
47,negative
1,positive
134,negative
36,negative
79,negative
8,negative
47,positive
19,positive
272,negative
47,positive
86,positive
17,positive
19,positive
271,negative
21,negative
30,negative
11,negative
240,negative
11,negative
9,negative
29,negative
28,negative
15,negative
7,negative
29,negative
8,negative
22,negative
18,negative
244,negative
23,negative
12,negative
37,negative
9,negative
34,negative
22,negative
25,negative
272,negative
14,negative
16,negative
35,negative
15,negative
25,negative
10,negative
12,negative
36,negative
4,negative
31,negative
4,negative
271,negative
272,negative
1,negative
25,negative
32,negative
21,negative
10,negative
31,negative
49,negative
23,negative
18,negative
12,negative
27,negative
14,negative
12,negative
32,negative
25,negative
86,negative
12,negative
17,negative
98,negative
50,negative
28,negative
37,negative
51,negative
6,negative
8,negative
5,negative
44,negative
38,negative
25,negative
51,negative
35,negative
12,negative
35,negative
38,negative
25,negative
7,negative
4,negative
14,negative
16,negative
31,negative
20,negative
19,negative
25,negative
16,negative
52,negative
36,negative
24,negative
17,negative
13,negative
53,negative
47,negative
31,negative
5,negative
18,negative
4,negative
150,negative
202,negative
272,negative
