Region_centroid_col,Region_centroid_row,Rawblue_mean,Rawgreen_mean,Exred_mean,Exblue_mean,Exgreen_mean,Saturatoin_mean,Hue_mean,field19
218,178,75.22222,51.22222,-21.555555,46.77778,-25.222221,0.31899637,-2.0405545,negative
202,41,139.77779,117.44444,-33.444443,50.22222,-16.777779,0.19934683,-2.2999177,negative
32,173,52.88889,38.333336,-12.111111,27.88889,-15.777778,0.26691392,-1.9988575,negative
113,130,2.5555556,0.11111111,-2.6666667,5,-2.3333333,1,-2.123254,negative
61,197,61.555557,43,-16.11111,35.88889,-19.777779,0.30292457,-2.0222743,negative
149,185,59.555557,43.11111,-12,30.666666,-18.666666,0.2758892,-1.9527698,negative
197,229,17.88889,21.222221,-10.888889,0.44444445,10.444445,0.3357168,2.651605,negative
29,111,6.3333335,3,4.4444447,2.7777777,-7.2222223,0.56415343,-0.89785874,positive
1,81,30.555555,19.444445,-22,27.666666,-5.6666665,0.5952822,-2.438409,negative
69,85,28.11111,15.777778,-3,20,-17,0.43740398,-1.6598793,positive
152,83,33.22222,23,-9.555555,20.11111,-10.555555,0.30741498,-2.0632424,negative
248,153,1.1111112,0,-1.1111112,2.2222223,-1.1111112,0.8888889,-2.0943952,negative
137,141,0.11111111,0,-0.11111111,0.22222222,-0.11111111,0.11111111,-2.0943952,negative
220,220,5.3333335,8.333334,-2.3333333,-3.3333333,5.6666665,0.42735383,1.9843658,negative
86,197,77.77778,55.666668,-21,43.666668,-22.666666,0.28533262,-2.06802,negative
207,115,2.8888888,0.33333334,-2.3333333,5,-2.6666667,0.93333334,-2.0655363,negative
6,51,25.666666,14.333333,-2.4444444,18.222221,-15.777778,0.44286063,-1.6812904,positive
203,182,68.111115,47.22222,-16.444445,39.555557,-23.11111,0.3067216,-1.9803478,negative
243,120,56.333332,42.444443,-9.222222,25.444445,-16.222221,0.2453213,-1.9107349,negative
146,97,54.333332,43.555557,-5.888889,19.11111,-13.222222,0.19711515,-1.8407352,negative
184,145,1.2222222,0.11111111,-0.6666667,2,-1.3333334,0.5277778,-1.9209436,negative
178,128,6.4444447,3.4444444,5.888889,1.5555556,-7.4444447,0.56371254,-0.7213002,positive
132,134,11.444445,4.888889,-11.888889,15.777778,-3.8888888,0.8339346,-2.3866115,negative
225,58,14.111111,5.3333335,-8.333333,17.333334,-9,0.62222224,-2.0685637,negative
126,237,4.2222223,8.888889,-4.6666665,-4.6666665,9.333333,0.5538119,2.0972314,negative
83,28,131.11111,108.333336,-40.555557,54.444443,-13.888889,0.24151142,-2.3878844,negative
14,120,3.8888888,0.8888889,-4.7777777,6.888889,-2.1111112,1,-2.3157208,negative
5,210,64.333336,44.11111,-17.555555,39.11111,-21.555555,0.3175664,-2.0208955,negative
79,62,127.111115,102.77778,-28.555555,50.77778,-22.222221,0.20801263,-2.178149,negative
18,83,22.666666,11.444445,-16.11111,24.88889,-8.777778,0.6647845,-2.2742054,negative
214,246,15.444445,22.88889,-9.888889,-6.2222223,16.11111,0.39154765,2.2328491,negative
94,140,6.111111,1.2222222,-3.7777777,9.222222,-5.4444447,0.79788357,-1.9857694,negative
54,142,3.6666667,0.8888889,-2.7777777,5.5555553,-2.7777777,0.76944447,-2.0943952,negative
107,146,29.666666,17.666668,-13.777778,24.88889,-11.111111,0.43278608,-2.1649706,negative
93,236,10.777778,17.222223,-8.888889,-5.2222223,14.111111,0.44724658,2.2671974,negative
245,249,15.333333,18.11111,-11.888889,1.7777778,10.111111,0.40621215,2.7435553,negative
48,173,16.444445,24.777779,-8.333333,-8.333333,16.666666,0.34965578,2.0995574,negative
239,122,6.6666665,3,4.3333335,3.3333333,-7.6666665,0.5813492,-0.95343477,positive
184,145,5.7777777,2.1111112,-3.2222223,7.111111,-3.8888888,0.65661377,-2.0365057,negative
109,146,0.11111111,0,-0.11111111,0.22222222,-0.11111111,0.11111111,-2.0943952,negative
111,246,22.444445,34.11111,-14.333333,-10.333333,24.666666,0.38897294,2.2140112,negative
155,40,1.5555556,1,-0.11111111,0.8888889,-0.7777778,0.11666667,-1.5707964,negative
192,157,17.222223,23.88889,-13.333333,-3.3333333,16.666666,0.41818407,2.4386153,negative
209,249,8.111112,15.888889,-8.888889,-7.2222223,16.11111,0.5333069,2.1567793,negative
118,125,3.1111112,0.33333334,-3.4444444,5.888889,-2.4444444,1,-2.1756468,negative
43,152,2.8888888,0.6666667,-1.5555556,4.111111,-2.5555556,0.64867723,-1.9332389,negative
247,92,20.555555,8.111112,-13.555555,25.444445,-11.888889,0.6321268,-2.1378512,negative
63,201,76.44444,53.555557,-20.222221,44.444443,-24.222221,0.29921305,-2.0341187,negative
33,117,3.1111112,0.11111111,-3.2222223,6.111111,-2.8888888,1,-2.132635,negative
118,85,14.888889,6.111111,-13.888889,20.11111,-6.2222223,0.7741213,-2.3290927,negative
121,60,35.22222,20.333334,-6.2222223,25.444445,-19.222221,0.4223002,-1.776113,positive
218,115,29.444445,20,-10.555555,19.444445,-8.888889,0.33914888,-2.1486697,negative
209,11,150.11111,139.44444,-19.333334,25.666666,-6.3333335,0.09983583,-2.4015868,negative
55,209,10.333334,16.88889,-6.5555553,-6.5555553,13.111111,0.40790388,2.0992203,negative
50,199,69.77778,48.11111,-19.666666,42.333332,-22.666666,0.31241447,-2.0454311,negative
160,41,1.2222222,0.33333334,-0.44444445,1.5555556,-1.1111112,0.537037,-1.8451205,negative
