Region_centroid_row,Rawgreen_mean,Exred_mean,Exgreen_mean,Saturatoin_mean,Hue_mean,field19
178,51.22222,-21.555555,-25.222221,0.31899637,-2.0405545,negative
41,117.44444,-33.444443,-16.777779,0.19934683,-2.2999177,negative
173,38.333336,-12.111111,-15.777778,0.26691392,-1.9988575,negative
130,0.11111111,-2.6666667,-2.3333333,1,-2.123254,negative
197,43,-16.11111,-19.777779,0.30292457,-2.0222743,negative
185,43.11111,-12,-18.666666,0.2758892,-1.9527698,negative
229,21.222221,-10.888889,10.444445,0.3357168,2.651605,negative
111,3,4.4444447,-7.2222223,0.56415343,-0.89785874,positive
81,19.444445,-22,-5.6666665,0.5952822,-2.438409,negative
85,15.777778,-3,-17,0.43740398,-1.6598793,positive
83,23,-9.555555,-10.555555,0.30741498,-2.0632424,negative
153,0,-1.1111112,-1.1111112,0.8888889,-2.0943952,negative
141,0,-0.11111111,-0.11111111,0.11111111,-2.0943952,negative
220,8.333334,-2.3333333,5.6666665,0.42735383,1.9843658,negative
197,55.666668,-21,-22.666666,0.28533262,-2.06802,negative
115,0.33333334,-2.3333333,-2.6666667,0.93333334,-2.0655363,negative
51,14.333333,-2.4444444,-15.777778,0.44286063,-1.6812904,positive
182,47.22222,-16.444445,-23.11111,0.3067216,-1.9803478,negative
120,42.444443,-9.222222,-16.222221,0.2453213,-1.9107349,negative
97,43.555557,-5.888889,-13.222222,0.19711515,-1.8407352,negative
145,0.11111111,-0.6666667,-1.3333334,0.5277778,-1.9209436,negative
128,3.4444444,5.888889,-7.4444447,0.56371254,-0.7213002,positive
134,4.888889,-11.888889,-3.8888888,0.8339346,-2.3866115,negative
58,5.3333335,-8.333333,-9,0.62222224,-2.0685637,negative
237,8.888889,-4.6666665,9.333333,0.5538119,2.0972314,negative
28,108.333336,-40.555557,-13.888889,0.24151142,-2.3878844,negative
120,0.8888889,-4.7777777,-2.1111112,1,-2.3157208,negative
210,44.11111,-17.555555,-21.555555,0.3175664,-2.0208955,negative
62,102.77778,-28.555555,-22.222221,0.20801263,-2.178149,negative
83,11.444445,-16.11111,-8.777778,0.6647845,-2.2742054,negative
246,22.88889,-9.888889,16.11111,0.39154765,2.2328491,negative
140,1.2222222,-3.7777777,-5.4444447,0.79788357,-1.9857694,negative
142,0.8888889,-2.7777777,-2.7777777,0.76944447,-2.0943952,negative
146,17.666668,-13.777778,-11.111111,0.43278608,-2.1649706,negative
236,17.222223,-8.888889,14.111111,0.44724658,2.2671974,negative
249,18.11111,-11.888889,10.111111,0.40621215,2.7435553,negative
173,24.777779,-8.333333,16.666666,0.34965578,2.0995574,negative
122,3,4.3333335,-7.6666665,0.5813492,-0.95343477,positive
145,2.1111112,-3.2222223,-3.8888888,0.65661377,-2.0365057,negative
146,0,-0.11111111,-0.11111111,0.11111111,-2.0943952,negative
246,34.11111,-14.333333,24.666666,0.38897294,2.2140112,negative
40,1,-0.11111111,-0.7777778,0.11666667,-1.5707964,negative
157,23.88889,-13.333333,16.666666,0.41818407,2.4386153,negative
249,15.888889,-8.888889,16.11111,0.5333069,2.1567793,negative
125,0.33333334,-3.4444444,-2.4444444,1,-2.1756468,negative
152,0.6666667,-1.5555556,-2.5555556,0.64867723,-1.9332389,negative
92,8.111112,-13.555555,-11.888889,0.6321268,-2.1378512,negative
201,53.555557,-20.222221,-24.222221,0.29921305,-2.0341187,negative
117,0.11111111,-3.2222223,-2.8888888,1,-2.132635,negative
85,6.111111,-13.888889,-6.2222223,0.7741213,-2.3290927,negative
60,20.333334,-6.2222223,-19.222221,0.4223002,-1.776113,positive
115,20,-10.555555,-8.888889,0.33914888,-2.1486697,negative
11,139.44444,-19.333334,-6.3333335,0.09983583,-2.4015868,negative
209,16.88889,-6.5555553,13.111111,0.40790388,2.0992203,negative
199,48.11111,-19.666666,-22.666666,0.31241447,-2.0454311,negative
41,0.33333334,-0.44444445,-1.1111112,0.537037,-1.8451205,negative
140,23.555555,-9,-8.666667,0.2850997,-2.1004875,negative
146,0,0,0,0,0,negative
94,105.111115,-18.88889,-24.222221,0.17678948,-2.015307,negative
107,44.88889,-10.777778,-14.777778,0.23045462,-1.9914447,negative
176,43.333332,-14,-22,0.30857325,-1.9514097,negative
103,54.333332,-15.777778,-20.777779,0.25960675,-2.0029202,negative
136,12.222222,-19.555555,-9.888889,0.66081303,-2.3075109,negative
58,6,-8.555555,-8.555555,0.6077675,-2.0853417,negative
101,14.888889,0.7777778,-15.555555,0.40403765,-1.5201249,positive
224,20.555555,-10.555555,16.11111,0.4433746,2.2982552,negative
13,128.44444,-29,-10,0.1565683,-2.386251,negative
90,58.11111,-22.555555,-21.222221,0.27834544,-2.108813,negative
58,5.3333335,-8.333333,-9,0.62222224,-2.0685637,negative
89,16.88889,-2,-16.333334,0.40368655,-1.6255869,positive
182,46.77778,-16.88889,-22.222221,0.30405003,-2.0040817,negative
120,13.555555,-16.88889,-9.888889,0.5621582,-2.2308207,negative
42,31.777779,-14,-17,0.3346618,-2.029552,negative
130,0,0,0,0,0,negative
140,7.2222223,-13.666667,-3.3333333,0.73447025,-2.4423232,negative
120,1.1111112,-5.111111,-2.4444444,0.962963,-2.298085,negative
72,84,-42.666668,-28.333334,0.3234209,-2.2257798,negative
88,15.666667,0.8888889,-16.444445,0.40511805,-1.5125551,positive
180,27.222221,-12,14.666667,0.3273826,2.4538307,negative
120,18.444445,-4.6666665,-15.666667,0.39486286,-1.7648901,positive
124,1.2222222,-6.888889,-3.8888888,0.97376543,-2.267462,negative
81,104.22222,-21.777779,-26.11111,0.19307978,-2.0334873,negative
138,2.6666667,5.4444447,-6.888889,0.603836,-0.72289366,positive
130,3.3333333,4.4444447,-7.5555553,0.5701058,-0.96304834,positive
182,40.11111,-11.111111,-18.777779,0.28764573,-1.9300476,negative
238,13.888889,-7.7777777,14.888889,0.59701496,2.1260629,negative
138,0.44444445,-4.2222223,-2.8888888,1,-2.1739607,negative
84,7.5555553,-4.6666665,-4,0.38048342,-2.1369402,negative
196,41.444443,-16.444445,-17.444445,0.29423782,-2.0746155,negative
87,37.22222,-16.333334,-18.333334,0.319706,-2.050388,negative
210,42.77778,-16.555555,-20.88889,0.3142778,-2.0144343,negative
41,133.55556,-19.444445,-10.777778,0.112421244,-2.2685292,negative
114,2.8888888,2,-7.6666665,0.6031746,-1.3145328,positive
123,0.22222222,-3.5555556,-2.8888888,1,-2.142674,negative
157,19.222221,-14.777778,-11.777778,0.43023896,-2.169368,negative
