Region_centroid_row,Exred_mean,Exgreen_mean,Saturatoin_mean,field19
178,-21.555555,-25.222221,0.31899637,negative
41,-33.444443,-16.777779,0.19934683,negative
173,-12.111111,-15.777778,0.26691392,negative
130,-2.6666667,-2.3333333,1,negative
197,-16.11111,-19.777779,0.30292457,negative
185,-12,-18.666666,0.2758892,negative
229,-10.888889,10.444445,0.3357168,negative
111,4.4444447,-7.2222223,0.56415343,positive
81,-22,-5.6666665,0.5952822,negative
85,-3,-17,0.43740398,positive
83,-9.555555,-10.555555,0.30741498,negative
153,-1.1111112,-1.1111112,0.8888889,negative
141,-0.11111111,-0.11111111,0.11111111,negative
220,-2.3333333,5.6666665,0.42735383,negative
197,-21,-22.666666,0.28533262,negative
115,-2.3333333,-2.6666667,0.93333334,negative
51,-2.4444444,-15.777778,0.44286063,positive
182,-16.444445,-23.11111,0.3067216,negative
120,-9.222222,-16.222221,0.2453213,negative
97,-5.888889,-13.222222,0.19711515,negative
145,-0.6666667,-1.3333334,0.5277778,negative
128,5.888889,-7.4444447,0.56371254,positive
134,-11.888889,-3.8888888,0.8339346,negative
58,-8.333333,-9,0.62222224,negative
237,-4.6666665,9.333333,0.5538119,negative
28,-40.555557,-13.888889,0.24151142,negative
120,-4.7777777,-2.1111112,1,negative
210,-17.555555,-21.555555,0.3175664,negative
62,-28.555555,-22.222221,0.20801263,negative
83,-16.11111,-8.777778,0.6647845,negative
246,-9.888889,16.11111,0.39154765,negative
140,-3.7777777,-5.4444447,0.79788357,negative
142,-2.7777777,-2.7777777,0.76944447,negative
146,-13.777778,-11.111111,0.43278608,negative
236,-8.888889,14.111111,0.44724658,negative
249,-11.888889,10.111111,0.40621215,negative
173,-8.333333,16.666666,0.34965578,negative
122,4.3333335,-7.6666665,0.5813492,positive
145,-3.2222223,-3.8888888,0.65661377,negative
146,-0.11111111,-0.11111111,0.11111111,negative
246,-14.333333,24.666666,0.38897294,negative
40,-0.11111111,-0.7777778,0.11666667,negative
157,-13.333333,16.666666,0.41818407,negative
249,-8.888889,16.11111,0.5333069,negative
125,-3.4444444,-2.4444444,1,negative
152,-1.5555556,-2.5555556,0.64867723,negative
92,-13.555555,-11.888889,0.6321268,negative
201,-20.222221,-24.222221,0.29921305,negative
117,-3.2222223,-2.8888888,1,negative
85,-13.888889,-6.2222223,0.7741213,negative
60,-6.2222223,-19.222221,0.4223002,positive
115,-10.555555,-8.888889,0.33914888,negative
11,-19.333334,-6.3333335,0.09983583,negative
209,-6.5555553,13.111111,0.40790388,negative
199,-19.666666,-22.666666,0.31241447,negative
41,-0.44444445,-1.1111112,0.537037,negative
140,-9,-8.666667,0.2850997,negative
146,0,0,0,negative
94,-18.88889,-24.222221,0.17678948,negative
107,-10.777778,-14.777778,0.23045462,negative
176,-14,-22,0.30857325,negative
103,-15.777778,-20.777779,0.25960675,negative
136,-19.555555,-9.888889,0.66081303,negative
58,-8.555555,-8.555555,0.6077675,negative
101,0.7777778,-15.555555,0.40403765,positive
224,-10.555555,16.11111,0.4433746,negative
13,-29,-10,0.1565683,negative
90,-22.555555,-21.222221,0.27834544,negative
58,-8.333333,-9,0.62222224,negative
89,-2,-16.333334,0.40368655,positive
182,-16.88889,-22.222221,0.30405003,negative
120,-16.88889,-9.888889,0.5621582,negative
42,-14,-17,0.3346618,negative
130,0,0,0,negative
140,-13.666667,-3.3333333,0.73447025,negative
120,-5.111111,-2.4444444,0.962963,negative
72,-42.666668,-28.333334,0.3234209,negative
88,0.8888889,-16.444445,0.40511805,positive
180,-12,14.666667,0.3273826,negative
120,-4.6666665,-15.666667,0.39486286,positive
124,-6.888889,-3.8888888,0.97376543,negative
81,-21.777779,-26.11111,0.19307978,negative
138,5.4444447,-6.888889,0.603836,positive
130,4.4444447,-7.5555553,0.5701058,positive
182,-11.111111,-18.777779,0.28764573,negative
238,-7.7777777,14.888889,0.59701496,negative
138,-4.2222223,-2.8888888,1,negative
84,-4.6666665,-4,0.38048342,negative
196,-16.444445,-17.444445,0.29423782,negative
87,-16.333334,-18.333334,0.319706,negative
210,-16.555555,-20.88889,0.3142778,negative
41,-19.444445,-10.777778,0.112421244,negative
114,2,-7.6666665,0.6031746,positive
123,-3.5555556,-2.8888888,1,negative
157,-14.777778,-11.777778,0.43023896,negative
161,-9.888889,14.111111,0.39095718,negative
188,-18.333334,-21.666666,0.29629385,negative
142,6.3333335,-7,0.662037,positive
72,-8.777778,-19.11111,0.4368953,positive
107,-14.888889,-12.222222,0.5471734,negative
125,3.4444444,-7.888889,0.5456349,positive
13,-32.22222,-12.888889,0.17719091,negative
107,-5.6666665,-3.6666667,0.94708997,negative
85,2.7777777,-14.555555,0.39975148,positive
250,-8,13.666667,0.5633903,negative
128,-20.777779,-20.777779,0.31292745,negative
143,4.5555553,-7.111111,0.5952381,positive
64,-4,-14.666667,0.44109204,positive
134,-19.11111,-13.111111,0.45775157,negative
121,-10.777778,-14.444445,0.28057775,negative
42,-39.77778,-12.111111,0.24193405,negative
130,-3.7777777,-2.1111112,0.9777778,negative
71,-27,-23.333334,0.21226363,negative
192,-18.333334,-16.333334,0.27272084,negative
167,-5.111111,7.5555553,0.24844901,negative
75,-2.2222223,-17.555555,0.4235012,positive
119,-0.7777778,-16.444445,0.40821064,positive
116,-12.222222,-10.555555,0.39566323,negative
108,-24.11111,-9.777778,0.35897508,negative
118,-10.666667,-11.333333,0.29394883,negative
42,-15,-13.666667,0.27157217,negative
131,4.4444447,-6.888889,0.56613755,positive
28,-37.77778,-24.11111,0.25329855,negative
125,-5.111111,-11.777778,0.19248421,negative
125,-11.111111,-15.777778,0.27063802,negative
120,-25.555555,-16.555555,0.6812664,negative
64,-19,-2,0.40074632,negative
95,-2.5555556,-6.888889,0.51256585,negative
19,-21.555555,-19.222221,0.35522667,negative
108,-24.11111,-9.777778,0.35897508,negative
220,-9.222222,13.777778,0.41670507,negative
109,5.888889,-14.111111,0.38499743,positive
89,-6.3333335,-7.3333335,0.548545,negative
111,-25.11111,-11.111111,0.67951304,negative
123,4.4444447,-8.222222,0.5244709,positive
61,-7.2222223,-8.222222,0.64589113,negative
169,-6.4444447,15.555555,0.46356925,negative
96,-8,-4.6666665,0.91006523,negative
81,-1.1111112,-15.777778,0.41266233,positive
184,-10.333333,-17.333334,0.2758183,negative
136,-11.666667,-4,0.6950877,negative
123,-10.888889,-10.222222,0.4089133,negative
19,-32.88889,-13.888889,0.1855386,negative
35,-34.22222,-14.222222,0.19485293,negative
211,-10.555555,15.444445,0.37555233,negative
163,-16.333334,-7.6666665,0.2638465,negative
154,0,0,0,negative
175,-21.222221,-23.555555,0.31283396,negative
75,-49.666668,-32.333332,0.37868166,negative
190,-18.777779,-21.11111,0.3036015,negative
113,-10.444445,-8.444445,0.3500821,negative
128,-8.555555,-4.2222223,0.8047243,negative
194,-12.555555,-14.888889,0.28055963,negative
229,-7.888889,11.111111,0.3476919,negative
57,-4.888889,-19.555555,0.42569095,positive
183,-8.444445,-12.111111,0.2664361,negative
200,-20.777779,-25.444445,0.31254068,negative
188,-18.444445,-24.777779,0.3002418,negative
117,-16.444445,-15.777778,0.33502588,negative
120,-11.666667,-13.666667,0.2727516,negative
208,-11.111111,15.888889,0.36886615,negative
172,-13,-13.666667,0.26545405,negative
38,-24,-25,0.33601543,negative
125,-7.111111,-4.4444447,0.85319865,negative
154,-1.4444444,-2.1111112,1,negative
15,-19.222221,-8.555555,0.10463921,negative
46,-30.11111,-14.777778,0.17719495,negative
135,-12.444445,-12.444445,0.30882394,negative
102,-16.444445,-21.444445,0.30700684,negative
158,-4.888889,-6.888889,0.5205782,negative
13,-14.111111,-7.111111,0.07980576,negative
85,-19.333334,-18.666666,0.31522787,negative
39,-6.5555553,-7.888889,0.5760211,negative
95,-7.111111,-5.7777777,0.9195971,negative
92,-11.666667,-6.3333335,0.56489813,negative
182,-8.888889,-14.222222,0.29320765,negative
184,-6.2222223,12.111111,0.40555555,negative
32,-38.666668,-11,0.22074823,negative
61,-7.6666665,-8.333333,0.66625965,negative
107,-11.444445,-6.111111,0.69722587,negative
189,-8.222222,-10.222222,0.2712077,negative
146,1.6666666,-6.6666665,0.5714286,positive
129,-13.444445,-13.777778,0.3384073,negative
193,-23.222221,-22.222221,0.29957896,negative
68,-32,-25.333334,0.23914346,negative
52,-31.88889,-20.88889,0.21837935,negative
202,-20.444445,-22.777779,0.2978795,negative
94,-2.8888888,-3.2222223,0.9777778,negative
87,-24.777779,-24.11111,0.30969977,negative
92,-3.3333333,-17.333334,0.422223,positive
153,-1.1111112,-0.44444445,0.08501683,negative
194,-10.666667,11,0.35213172,negative
174,-11.888889,15.777778,0.38186744,negative
111,2.8888888,-7.7777777,0.56291884,positive
147,-1.4444444,-7.111111,0.6984448,positive
53,-19.666666,-13.333333,0.12111875,negative
100,-3.3333333,-1.3333334,0.9777778,negative
216,-11,13.666667,0.43169576,negative
25,-29.333334,-26.333334,0.3181906,negative
63,-7.888889,-7.2222223,0.54770046,negative
94,-15.222222,-12.555555,0.57665956,negative
94,-2.8888888,-3.2222223,0.9777778,negative
183,-15.444445,-22.11111,0.2986217,negative
131,0,0,0,negative
75,-7.888889,-18.555555,0.4296633,positive
85,-36.77778,-27.777779,0.2754667,negative
169,-11.444445,14.222222,0.40075645,negative
205,-18.88889,-22.222221,0.30391166,negative
187,-6.2222223,16.444445,0.46332908,negative
116,-1.4444444,-16.11111,0.40736422,positive
191,-5.2222223,-8.555555,0.2371126,negative
94,-6.4444447,-4.7777777,0.9861111,negative
226,-9.777778,14.555555,0.44245604,negative
31,-39.22222,-13.555555,0.23132005,negative
143,-1.2222222,-1.2222222,0.7777778,negative
144,-0.33333334,-0.6666667,0.37037036,negative
137,-3,-3.3333333,0.91798943,negative
118,3.6666667,-7.3333335,0.61706346,positive
189,-12,-14,0.30988368,negative
111,-11.333333,-9.333333,0.40922624,negative
139,-1.3333334,-1.3333334,0.7777778,negative
87,-24.777779,-24.11111,0.30969977,negative
86,-13.666667,-12.666667,0.63092834,negative
83,0.33333334,-15.333333,0.41007325,positive
57,-31,-12,0.17560509,negative
95,-14.222222,-3.5555556,0.6989016,negative
94,-12.666667,-13,0.45154575,negative
127,-16.444445,-13.777778,0.6014436,negative
78,-14.333333,-15.333333,0.33970988,negative
109,4.3333335,-14,0.37602362,positive
173,-20.666666,-23.666666,0.3183665,negative
151,-0.33333334,-0.33333334,0.22222222,negative
60,-29,-15,0.17584375,negative
36,0,0,0,negative
162,-17.222221,-10.222222,0.28552282,negative
40,0,0,0,negative
232,-5.111111,16.222221,0.50096595,negative
144,-3,-3,1,negative
187,-6.888889,12.777778,0.42836255,negative
141,-0.11111111,-0.11111111,0.11111111,negative
200,-19.11111,-23.11111,0.30018097,negative
113,-13.333333,-9.666667,0.32738453,negative
51,-28,-13.666667,0.1655495,negative
146,-7.7777777,-7.4444447,0.48786426,negative
120,-2.7777777,-2.7777777,1,negative
129,-16.777779,-13.777778,0.44974732,negative
136,-4.6666665,-5,0.84708995,negative
