Exred_mean,Saturatoin_mean,field19
-21.555555,0.31899637,negative
-33.444443,0.19934683,negative
-12.111111,0.26691392,negative
-2.6666667,1,negative
-16.11111,0.30292457,negative
-12,0.2758892,negative
-10.888889,0.3357168,negative
4.4444447,0.56415343,positive
-22,0.5952822,negative
-3,0.43740398,positive
-9.555555,0.30741498,negative
-1.1111112,0.8888889,negative
-0.11111111,0.11111111,negative
-2.3333333,0.42735383,negative
-21,0.28533262,negative
-2.3333333,0.93333334,negative
-2.4444444,0.44286063,positive
-16.444445,0.3067216,negative
-9.222222,0.2453213,negative
-5.888889,0.19711515,negative
-0.6666667,0.5277778,negative
5.888889,0.56371254,positive
-11.888889,0.8339346,negative
-8.333333,0.62222224,negative
-4.6666665,0.5538119,negative
-40.555557,0.24151142,negative
-4.7777777,1,negative
-17.555555,0.3175664,negative
-28.555555,0.20801263,negative
-16.11111,0.6647845,negative
-9.888889,0.39154765,negative
-3.7777777,0.79788357,negative
-2.7777777,0.76944447,negative
-13.777778,0.43278608,negative
-8.888889,0.44724658,negative
-11.888889,0.40621215,negative
-8.333333,0.34965578,negative
4.3333335,0.5813492,positive
-3.2222223,0.65661377,negative
-0.11111111,0.11111111,negative
-14.333333,0.38897294,negative
-0.11111111,0.11666667,negative
-13.333333,0.41818407,negative
-8.888889,0.5333069,negative
-3.4444444,1,negative
-1.5555556,0.64867723,negative
-13.555555,0.6321268,negative
-20.222221,0.29921305,negative
-3.2222223,1,negative
-13.888889,0.7741213,negative
-6.2222223,0.4223002,positive
-10.555555,0.33914888,negative
-19.333334,0.09983583,negative
-6.5555553,0.40790388,negative
-19.666666,0.31241447,negative
-0.44444445,0.537037,negative
-9,0.2850997,negative
0,0,negative
-18.88889,0.17678948,negative
-10.777778,0.23045462,negative
-14,0.30857325,negative
-15.777778,0.25960675,negative
-19.555555,0.66081303,negative
-8.555555,0.6077675,negative
0.7777778,0.40403765,positive
-10.555555,0.4433746,negative
-29,0.1565683,negative
-22.555555,0.27834544,negative
-8.333333,0.62222224,negative
-2,0.40368655,positive
-16.88889,0.30405003,negative
-16.88889,0.5621582,negative
-14,0.3346618,negative
0,0,negative
-13.666667,0.73447025,negative
-5.111111,0.962963,negative
-42.666668,0.3234209,negative
0.8888889,0.40511805,positive
-12,0.3273826,negative
-4.6666665,0.39486286,positive
-6.888889,0.97376543,negative
-21.777779,0.19307978,negative
5.4444447,0.603836,positive
4.4444447,0.5701058,positive
-11.111111,0.28764573,negative
-7.7777777,0.59701496,negative
-4.2222223,1,negative
-4.6666665,0.38048342,negative
-16.444445,0.29423782,negative
-16.333334,0.319706,negative
