Saturatoin_mean,field19
0.31899637,negative
0.19934683,negative
0.26691392,negative
1,negative
0.30292457,negative
0.2758892,negative
0.3357168,negative
0.56415343,positive
0.5952822,negative
0.43740398,positive
0.30741498,negative
0.8888889,negative
0.11111111,negative
0.42735383,negative
0.28533262,negative
0.93333334,negative
0.44286063,positive
0.3067216,negative
0.2453213,negative
0.19711515,negative
0.5277778,negative
0.56371254,positive
0.8339346,negative
0.62222224,negative
0.5538119,negative
0.24151142,negative
1,negative
0.3175664,negative
0.20801263,negative
0.6647845,negative
0.39154765,negative
0.79788357,negative
0.76944447,negative
0.43278608,negative
0.44724658,negative
0.40621215,negative
0.34965578,negative
0.5813492,positive
0.65661377,negative
0.11111111,negative
0.38897294,negative
0.11666667,negative
0.41818407,negative
0.5333069,negative
1,negative
0.64867723,negative
0.6321268,negative
0.29921305,negative
1,negative
0.7741213,negative
0.4223002,positive
0.33914888,negative
0.09983583,negative
0.40790388,negative
0.31241447,negative
0.537037,negative
0.2850997,negative
0,negative
0.17678948,negative
0.23045462,negative
0.30857325,negative
0.25960675,negative
0.66081303,negative
0.6077675,negative
0.40403765,positive
0.4433746,negative
0.1565683,negative
0.27834544,negative
0.62222224,negative
0.40368655,positive
0.30405003,negative
0.5621582,negative
0.3346618,negative
0,negative
0.73447025,negative
0.962963,negative
0.3234209,negative
0.40511805,positive
0.3273826,negative
0.39486286,positive
0.97376543,negative
0.19307978,negative
0.603836,positive
0.5701058,positive
0.28764573,negative
0.59701496,negative
1,negative
0.38048342,negative
0.29423782,negative
0.319706,negative
0.3142778,negative
0.112421244,negative
0.6031746,positive
1,negative
0.43023896,negative
0.39095718,negative
0.29629385,negative
0.662037,positive
0.4368953,positive
0.5471734,negative
0.5456349,positive
0.17719091,negative
0.94708997,negative
0.39975148,positive
0.5633903,negative
0.31292745,negative
0.5952381,positive
0.44109204,positive
0.45775157,negative
0.28057775,negative
0.24193405,negative
0.9777778,negative
0.21226363,negative
0.27272084,negative
0.24844901,negative
0.4235012,positive
0.40821064,positive
0.39566323,negative
0.35897508,negative
0.29394883,negative
0.27157217,negative
0.56613755,positive
0.25329855,negative
0.19248421,negative
0.27063802,negative
0.6812664,negative
0.40074632,negative
0.51256585,negative
0.35522667,negative
0.35897508,negative
0.41670507,negative
0.38499743,positive
0.548545,negative
0.67951304,negative
0.5244709,positive
0.64589113,negative
0.46356925,negative
0.91006523,negative
0.41266233,positive
0.2758183,negative
0.6950877,negative
0.4089133,negative
0.1855386,negative
0.19485293,negative
0.37555233,negative
0.2638465,negative
0,negative
0.31283396,negative
0.37868166,negative
0.3036015,negative
0.3500821,negative
0.8047243,negative
0.28055963,negative
0.3476919,negative
0.42569095,positive
0.2664361,negative
0.31254068,negative
0.3002418,negative
0.33502588,negative
0.2727516,negative
0.36886615,negative
0.26545405,negative
0.33601543,negative
0.85319865,negative
1,negative
0.10463921,negative
0.17719495,negative
0.30882394,negative
0.30700684,negative
0.5205782,negative
0.07980576,negative
0.31522787,negative
0.5760211,negative
0.9195971,negative
0.56489813,negative
0.29320765,negative
0.40555555,negative
0.22074823,negative
0.66625965,negative
0.69722587,negative
0.2712077,negative
0.5714286,positive
0.3384073,negative
0.29957896,negative
0.23914346,negative
0.21837935,negative
0.2978795,negative
0.9777778,negative
0.30969977,negative
0.422223,positive
0.08501683,negative
0.35213172,negative
0.38186744,negative
0.56291884,positive
0.6984448,positive
0.12111875,negative
0.9777778,negative
0.43169576,negative
0.3181906,negative
0.54770046,negative
0.57665956,negative
0.9777778,negative
0.2986217,negative
0,negative
0.4296633,positive
0.2754667,negative
0.40075645,negative
0.30391166,negative
0.46332908,negative
0.40736422,positive
0.2371126,negative
0.9861111,negative
0.44245604,negative
0.23132005,negative
0.7777778,negative
0.37037036,negative
0.91798943,negative
0.61706346,positive
0.30988368,negative
0.40922624,negative
0.7777778,negative
0.30969977,negative
0.63092834,negative
0.41007325,positive
0.17560509,negative
0.6989016,negative
0.45154575,negative
0.6014436,negative
0.33970988,negative
0.37602362,positive
0.3183665,negative
0.22222222,negative
0.17584375,negative
0,negative
0.28552282,negative
0,negative
0.50096595,negative
1,negative
0.42836255,negative
0.11111111,negative
0.30018097,negative
0.32738453,negative
0.1655495,negative
0.48786426,negative
1,negative
0.44974732,negative
0.84708995,negative
0.63492066,negative
0.27838665,negative
0.2899971,negative
0.39975148,positive
0.35148725,negative
0.25891644,negative
0.74729437,negative
0.4351852,negative
0.6137184,negative
0.099060155,negative
0.30251354,negative
0.89084005,negative
0.3006237,negative
0.11065291,negative
1,negative
0.8135803,negative
0.30094525,negative
0.1761556,negative
0.8783951,negative
0.48786426,negative
0.27165923,negative
0.7305922,negative
0.3181372,negative
0.30252522,negative
0.17608316,negative
0.45768142,positive
0.26060534,negative
0.2807636,negative
0.27568987,negative
0.30559286,negative
0.21508773,negative
0.91798943,negative
0.40115124,negative
0.5746032,positive
0.24072178,negative
0.29552308,negative
0.41042024,negative
0.6197129,negative
0.17494753,negative
0.28623843,negative
0.22118697,negative
0.24010754,negative
0.12738518,negative
0.32513812,negative
0.31752294,negative
0.36533174,negative
0.4005362,negative
0.3882103,negative
0.48219234,negative
0.47822163,negative
0.6304714,negative
0.29685017,negative
0.31450674,negative
0.5634669,negative
0.29632849,negative
0.36658052,negative
0.19121477,negative
0.8148148,negative
0.2759571,negative
0.56613755,positive
0.29404518,negative
0.8292328,negative
0.27405116,negative
0.3114367,negative
0.3004298,negative
0.47623578,negative
0.4456523,positive
0.2973408,negative
0.45454717,negative
0.2984709,negative
0.42550126,negative
0.42076695,negative
0.3112005,negative
0.5515873,positive
0.26505277,negative
0.43238926,negative
0.24233662,negative
0.4047922,positive
0.5813492,positive
0.5203994,negative
0.51339465,negative
0.31801003,negative
0.53858024,positive
0.5481241,negative
0.28569087,negative
0.5282187,positive
0.4967188,negative
0.62726945,negative
0.44603544,negative
0,negative
0.4204864,positive
0.6703704,negative
0.39043593,positive
0.54473305,positive
0.28352436,negative
0.6152501,negative
0.37191358,negative
0.42162097,negative
0.31471258,negative
0.50381,negative
0.43502074,positive
0.40134683,negative
0.14110672,negative
0.27198678,negative
0,negative
0.53272784,negative
0.2656194,negative
0.19892381,negative
0.33047688,negative
0.30134642,negative
0.2546684,negative
0.316474,negative
0.42816728,positive
0.25013667,negative
0.37655354,negative
0.5751263,negative
0.24229442,negative
0.3066086,negative
0.984127,negative
0.43121487,negative
0.2638465,negative
0.9861111,negative
0.79721206,negative
0.19366461,negative
0.7777778,negative
0.30741948,negative
0.09626316,negative
0.30013013,negative
0.30596185,negative
0.1794131,negative
0.5694444,positive
0.43312526,negative
0.30702683,negative
0.28187475,negative
